Acadian Flycatcher, 05-15
Alder Flycatcher, 05-12
American Black Duck, 02-28
American Avocet, 04-22
American Bittern, 04-02
American Crow, 02-19
American Goldfinch, 03-22
American Kestrel, 03-19
American Pipit, 05-11
American Redstart, 05-03
American Robin, 03-02
American Wigeon, 03-03
American Woodcock, 03-06
American Golden-Plover, 05-15
American Tree Sparrow, 03-07
American White Pelican, 04-15
Arctic Tern, 05-15
Bay-breasted Warbler, 05-05
Baird's Sandpiper, 05-10
Bald Eagle, 02-28
Baltimore Oriole, 04-27
Bank Swallow, 04-17
Barrow's Goldeneye, 03-21
Barn Swallow, 04-07
Black-and-white Warbler, 04-21
Black-bellied Whistling-Duck, 01-01
Black-crowned Night-Heron, 03-31
Belted Kingfisher, 03-21
Black-billed Cuckoo, 05-09
Black-bellied Plover, 05-10
Blackburnian Warbler, 04-29
Black-backed Woodpecker, 03-22
Black-capped Chickadee, 02-28
Black-necked Stilt, 05-15
Blackpoll Warbler, 05-09
Common/Black Scoter, 01-01
Black Scoter, 03-15
Black Tern, 05-06
Black Vulture, 04-05
Blue Jay, 04-14
Brown-headed Cowbird, 03-16
Bobolink, 04-25
Bohemian Waxwing, 03-17
Bonaparte's Gull, 03-28
Boreal Chickadee, 02-28
Brant, 05-07
Barred Owl, 03-14
Brown Creeper, 03-22
Brown Pelican, 05-15
Brown Thrasher, 04-09
Broad-winged Hawk, 04-14
Black-throated Blue Warbler, 04-26
Black-throated Green Warbler, 04-22
Buff-breasted Sandpiper, 05-15
Bufflehead, 02-23
Blue-gray Gnatcatcher, 04-18
Blue-headed Vireo, 04-18
Blue-winged Teal, 03-16
Blue-winged Warbler, 04-23
Cackling Goose, 03-01
Cape May Warbler, 04-28
Canada Goose, 02-20
Canvasback, 03-03
Canada Warbler, 05-07
Carolina Wren, 03-04
Caspian Tern, 04-08
Cattle Egret, 04-08
Cedar Waxwing, 05-07
Cerulean Warbler, 04-21
Chipping Sparrow, 04-06
Chimney Swift, 04-24
Chestnut-sided Warbler, 05-01
Chuck-will's-widow, 01-01
Clay-colored Sparrow, 04-22
Cliff Swallow, 04-20
