Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-17,05-31,08-21
American Black Duck,03-31,04-21,05-09
American Bittern,04-26,05-21,06-29
American Crow,03-03,03-21,10-31
American Goldfinch,05-05,05-21,06-29
American Kestrel,04-02,04-30,10-06
American Pipit,04-28,05-14,05-30
American Redstart,05-13,05-31,09-06
American Robin,03-31,04-30,09-14
American Wigeon,04-11,05-07,06-19
American Woodcock,03-31,05-14,05-28
American Golden-Plover,05-15,05-31,06-06
American Herring Gull,03-20,05-21,11-25
American Tree Sparrow,04-01,04-21,05-12
Arctic Tern,05-20,05-31,06-07
American Three-toed Woodpecker,03-05,03-07,03-09
Bay-breasted Warbler,05-09,05-21,09-04
Bald Eagle,03-16,05-21,06-09
Baltimore Oriole,05-09,05-21,06-05
Bank Swallow,05-08,05-21,06-30
Barn Swallow,04-27,05-21,09-02
Black-and-white Warbler,05-05,05-21,09-10
Belted Kingfisher,04-15,05-14,09-28
Black-billed Cuckoo,05-16,05-31,08-11
Black-bellied Plover,05-14,05-21,06-05
Blackburnian Warbler,05-08,05-31,08-27
Black-backed Woodpecker,03-12,03-14,03-15
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-13,05-21,06-06
Black Scoter,05-01,05-14,05-29
Black Tern,05-18,05-31,06-07
Blue Grosbeak,04-22,04-30,05-06
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,04-14,05-21,06-06
Bobolink,05-08,05-21,06-29
Bohemian Waxwing,03-26,04-14,04-20
Bonaparte's Gull,05-01,05-21,09-13
Boreal Chickadee,03-05,03-07,03-10
Boreal Owl,03-25,03-31,04-10
Brant,05-03,05-21,06-13
Barred Owl,03-03,03-07,03-11
Brewer's Blackbird,04-22,04-30,05-06
Brown Creeper,04-27,05-14,06-04
Brown Thrasher,04-19,04-30,06-11
Broad-winged Hawk,04-22,05-21,09-13
Black-throated Blue Warbler,05-07,05-21,07-10
Black-throated Green Warbler,05-08,05-21,07-07
Buff-breasted Sandpiper,05-15,05-21,05-29
Bufflehead,04-15,05-07,05-26
Blue-headed Vireo,05-04,05-31,09-12
Bullock's Oriole,05-15,05-21,05-30
Blue-winged Teal,04-21,05-21,06-27
Cackling Goose,04-08,04-14,04-28
Cape May Warbler,05-05,05-21,07-05
Canada Goose,03-24,04-14,06-14
Canvasback,05-01,05-07,05-13
Canada Warbler,05-15,05-31,07-13
Caspian Tern,05-15,05-21,05-29
Cedar Waxwing,05-16,05-31,09-14
Chipping Sparrow,04-29,05-31,09-06
Chimney Swift,05-15,05-31,06-20
Chestnut-sided Warbler,05-13,05-21,07-17
Clay-colored Sparrow,05-05,05-21,09-12
Cliff Swallow,05-02,05-21,08-27
Common Gallinule,05-22,05-31,06-06
Common Goldeneye,03-25,05-07,06-21
Common Grackle,03-31,04-30,10-15
Common Loon,04-22,05-21,11-11
Common Merganser,03-31,04-30,05-30
Common Nighthawk,05-19,05-31,09-05
Common Raven,03-21,03-21,03-21
Common Tern,05-09,05-31,09-15
Common Yellowthroat,05-14,05-31,09-22
Connecticut Warbler,05-17,05-31,07-16
Dark-eyed Junco,04-02,04-21,05-10
Dickcissel,05-08,05-14,05-20
Double-crested Cormorant,04-16,05-21,10-07
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-08,05-21,05-31
Eastern Bluebird,05-04,05-31,10-06
Eastern Kingbird,05-09,05-31,09-04
Eastern Meadowlark,05-08,05-14,05-20
Eastern Phoebe,05-15,05-21,06-01
Eastern Towhee,02-28,02-28,02-28
Eastern Whip-poor-will,05-22,05-31,07-07
Eastern Wood-Pewee,05-23,05-31,06-06
European Starling,03-16,04-07,06-06
Eurasian Wigeon,05-14,05-21,05-31
Evening Grosbeak,02-28,02-28,02-28
Fox Sparrow,04-07,04-21,05-14
Franklin's Gull,04-15,04-21,04-29
Gadwall,04-15,05-21,06-12
