Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-13,05-21,08-10
American Black Duck,03-03,03-31,04-28
American Bittern,04-13,05-14,07-11
American Crow,02-19,03-31,07-11
American Goldfinch,04-21,05-07,09-25
American Kestrel,03-18,04-14,05-06
American Pipit,04-22,05-14,05-21
American Redstart,05-03,05-21,07-19
American Robin,03-09,05-14,10-27
American Wigeon,03-10,04-07,05-06
American Woodcock,03-03,03-21,04-25
American Golden-Plover,04-22,04-30,05-06
American Herring Gull,02-24,04-21,09-28
American Tree Sparrow,04-01,04-14,04-15
American White Pelican,04-15,04-21,04-29
Bay-breasted Warbler,05-01,05-14,05-24
Bald Eagle,03-14,03-21,04-15
Baltimore Oriole,04-30,05-14,07-04
Bank Swallow,04-24,05-21,07-14
Barn Swallow,04-16,05-21,09-02
Black-and-white Warbler,04-23,05-07,07-09
Black-crowned Night Heron,04-22,04-30,05-06
Belted Kingfisher,03-29,04-30,10-14
Black-billed Cuckoo,05-10,05-21,08-14
Black-bellied Plover,05-15,05-21,05-30
Blackburnian Warbler,05-01,05-07,05-30
Black-capped Chickadee,04-29,05-07,05-11
Blackpoll Warbler,05-12,05-21,05-30
Black Tern,05-10,05-21,08-06
Black Vulture,05-22,05-31,06-06
Blue Jay,04-24,05-07,05-28
Brown-headed Cowbird,03-21,04-30,07-28
Bobolink,04-28,05-21,07-29
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,04-04,04-21,04-29
Barred Owl,02-25,02-28,03-03
Brown Creeper,04-10,04-14,04-22
Brown Thrasher,04-15,05-07,07-08
Broad-winged Hawk,04-13,04-21,05-28
Black-throated Blue Warbler,04-30,05-14,07-08
Black-throated Green Warbler,04-23,05-07,07-09
Bufflehead,03-17,04-21,05-11
Blue-gray Gnatcatcher,04-16,04-30,05-20
Blue-headed Vireo,04-21,05-07,06-29
Blue-winged Teal,04-01,04-21,06-10
Blue-winged Warbler,05-01,05-14,06-20
Cackling Goose,03-02,03-07,04-07
Cape May Warbler,04-29,05-14,05-23
Canada Goose,02-25,04-21,06-18
Canvasback,03-22,03-31,04-19
Canada Warbler,05-09,05-21,06-20
Caspian Tern,04-21,04-30,09-16
Cedar Waxwing,05-15,05-31,09-25
Chipping Sparrow,04-11,05-07,08-25
Chimney Swift,05-04,05-21,06-30
Chestnut-sided Warbler,05-02,05-21,07-12
Chukar,02-28,02-28,02-28
Clay-colored Sparrow,05-01,05-21,07-31
Cliff Swallow,04-22,05-21,08-21
Common Gallinule,05-09,05-21,09-06
Common Goldeneye,03-06,03-14,04-29
Common Grackle,03-06,05-31,08-25
Common Loon,04-09,04-30,09-06
Common Merganser,03-05,04-14,05-07
Common Nighthawk,05-15,05-21,06-02
Common Raven,04-29,05-07,05-10
Common Tern,05-08,05-14,05-26
Common Yellowthroat,05-02,05-21,09-23
Cooper's Hawk,03-05,03-07,03-09
Dark-eyed Junco,04-14,04-14,04-14
Dickcissel,05-15,05-21,05-30
Double-crested Cormorant,04-08,05-21,11-06
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-07,05-21,05-30
Eastern Bluebird,04-15,05-21,07-13
Eastern Kingbird,04-30,05-21,08-30
Eastern Meadowlark,03-21,04-30,07-31
Eastern Screech-Owl,03-09,03-14,03-26
Eastern Phoebe,03-24,05-07,10-16
Eastern Towhee,04-15,05-07,07-14
Eastern Whip-poor-will,05-08,05-14,05-20
Eastern Wood-Pewee,05-11,05-31,09-10
European Starling,03-01,04-30,08-07
Eurasian Wigeon,04-17,04-30,05-06
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,04-12,04-30,08-05
Fox Sparrow,03-21,03-31,04-20
Gadwall,03-21,04-21,05-12
Great Black-backed Gull,04-12,04-14,04-16
Green-winged Teal,03-17,04-07,05-06
Golden-crowned Kinglet,03-22,04-14,04-28
Golden Eagle,02-21,02-28,03-07
Golden-winged Warbler,05-08,05-14,06-10
Grasshopper Sparrow,04-27,05-21,07-26
Great Blue Heron,03-24,05-21,11-13
Great Crested Flycatcher,05-02,05-21,07-07
Great Egret,04-14,05-21,11-20
Greater Scaup,03-12,03-31,05-08
Greater Yellowlegs,04-08,04-21,05-08
Great Horned Owl,04-11,04-14,04-17
Green Heron,04-25,05-14,10-05
Gray Catbird,05-01,05-21,10-01
Greater White-fronted Goose,03-01,03-07,03-16
Gray-cheeked Thrush,05-15,05-21,05-30
Hairy Woodpecker,04-30,04-30,04-30
Hermit Thrush,04-07,04-14,07-05
Hooded Merganser,03-09,03-31,07-07
Hooded Warbler,05-15,05-21,07-13
Horned Grebe,04-08,04-21,05-02
Horned Lark,02-19,03-07,03-16
House Finch,05-21,05-21,05-21
House Sparrow,05-21,05-21,05-21
Northern House Wren,04-23,05-31,08-18
Indigo Bunting,05-08,05-31,08-14
Killdeer,03-09,05-07,10-14
Lapland Longspur,05-13,05-14,05-15
Lesser Black-backed Gull,04-20,04-30,05-06
Least Bittern,05-15,05-21,07-14
Least Flycatcher,04-30,05-21,07-15
Least Sandpiper,05-02,05-14,05-25
Lesser Scaup,03-22,04-21,05-14
Lesser Yellowlegs,04-10,04-30,05-17
Lincoln's Sparrow,05-01,05-07,06-01
Long-billed Dowitcher,04-22,04-30,05-06
Long-eared Owl,03-22,03-31,04-06
Long-tailed Duck,04-22,04-30,05-06
Louisiana Waterthrush,05-08,05-21,06-04
Magnolia Warbler,05-02,05-14,06-03
Mallard,03-09,04-21,11-12
Marsh Wren,05-02,05-31,10-04
Merlin,04-10,04-14,04-18
Mourning Dove,04-23,04-30,08-22
Mourning Warbler,05-15,05-31,07-09
Mute Swan,04-14,04-30,05-06
Nashville Warbler,04-24,05-14,06-29
Northern Cardinal,04-28,05-07,05-13
