Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-13,05-31,06-14
Alder Flycatcher,05-12,05-31,08-03
American Black Duck,03-07,03-14,04-02
American Avocet,04-01,04-07,04-14
American Bittern,03-29,04-21,06-29
American Crow,02-18,03-31,05-14
American Goldfinch,03-31,05-07,11-27
American Kestrel,03-16,03-31,05-01
American Pipit,02-23,03-07,03-15
American Redstart,05-02,05-14,07-11
American Robin,03-01,04-30,11-15
American Wigeon,03-03,03-31,04-29
American Woodcock,03-02,03-21,05-28
American Golden-Plover,04-25,05-07,05-14
American Herring Gull,03-03,03-07,03-11
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-22,05-31,06-10
Arctic Tern,05-15,05-21,05-30
American Three-toed Woodpecker,02-28,02-28,02-28
Bay-breasted Warbler,05-04,05-14,05-25
Baird's Sandpiper,05-15,05-21,05-29
Bald Eagle,03-13,03-14,03-15
Baltimore Oriole,04-26,05-14,07-12
Bank Swallow,04-16,05-21,08-21
Barrow's Goldeneye,03-07,03-07,03-07
Barnacle Goose,03-08,03-14,03-20
Barn Swallow,04-08,05-21,09-09
Black-and-white Warbler,04-21,05-07,06-04
Black-crowned Night Heron,04-07,04-21,11-07
Belted Kingfisher,03-20,04-21,11-16
Black-billed Cuckoo,05-12,05-31,07-10
Black-bellied Plover,05-08,05-21,06-06
Blackburnian Warbler,04-28,05-14,05-27
Black-backed Woodpecker,05-14,05-14,05-14
Black-capped Chickadee,04-16,04-30,05-12
Black-headed Gull,04-22,04-30,05-06
Black-legged Kittiwake,05-01,05-07,05-13
Blackpoll Warbler,05-07,05-21,05-31
Black Scoter,02-28,02-28,02-28
Black Tern,05-04,05-21,08-31
Black Vulture,03-24,04-14,04-25
Blue Jay,04-20,05-07,06-15
Brown-headed Cowbird,03-20,04-30,07-14
Bobolink,04-30,05-31,07-16
Bohemian Waxwing,03-28,03-31,04-03
Bonaparte's Gull,03-24,04-21,06-19
Boreal Chickadee,02-28,02-28,02-28
Boreal Owl,03-08,03-14,03-20
Brant,05-08,05-21,05-30
Barred Owl,03-14,03-14,03-14
Brewer's Blackbird,02-22,02-28,03-06
Brown Creeper,03-25,04-07,05-02
Brown Pelican,05-15,05-21,05-30
Brown Thrasher,04-11,04-30,06-13
Broad-winged Hawk,04-09,05-31,10-14
Black-throated Blue Warbler,04-24,05-14,05-21
Black-throated Green Warbler,04-22,05-14,06-23
Black-throated Gray Warbler,02-28,02-28,02-28
Budgerigar,02-28,02-28,02-28
