Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-12,05-31,06-30
Alder Flycatcher,05-08,05-21,06-27
American Black Duck,02-27,03-14,03-26
American Avocet,04-08,04-14,04-28
American Bittern,05-01,05-07,06-16
American Crow,02-19,02-28,03-20
American Goldfinch,04-23,05-14,10-09
American Kestrel,03-21,03-31,04-18
American Pipit,04-29,05-07,05-09
American Redstart,05-01,05-14,07-07
American Robin,02-25,05-31,09-02
American Wigeon,02-22,03-21,04-24
American Woodcock,02-26,03-21,04-27
American Golden-Plover,05-08,05-14,05-29
American Herring Gull,04-07,04-07,04-07
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-05,05-14,05-21
Bald Eagle,03-25,03-31,04-04
Baltimore Oriole,04-24,05-14,08-26
Bank Swallow,04-21,05-21,08-24
Barnacle Goose,03-08,03-14,03-21
Barn Swallow,04-10,05-21,09-11
Black-and-white Warbler,04-22,05-07,05-21
Black-crowned Night Heron,04-05,05-21,06-10
Belted Kingfisher,03-17,04-14,10-30
Black-billed Cuckoo,05-07,05-21,08-14
Black-billed Magpie,04-08,04-14,04-20
Black-bellied Plover,05-07,05-21,05-31
Blackburnian Warbler,04-27,05-14,05-25
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-07,05-14,05-31
Black Tern,04-29,05-21,06-03
Black Vulture,03-11,03-14,03-17
Blue Jay,04-30,04-30,04-30
Brown-headed Cowbird,03-20,04-30,07-15
Bobolink,04-24,05-14,07-05
Bohemian Waxwing,02-25,02-28,03-03
Bonaparte's Gull,03-20,04-14,05-06
Brant,05-15,05-21,05-29
Barred Owl,03-14,03-14,03-14
Brewer's Blackbird,03-23,03-31,04-06
Brown Creeper,03-23,04-07,04-20
Brown Thrasher,04-04,04-30,07-21
Broad-winged Hawk,04-11,04-30,05-26
Black-throated Blue Warbler,04-24,05-14,05-21
Black-throated Green Warbler,04-21,05-07,05-27
Bufflehead,02-27,03-31,05-05
Blue-gray Gnatcatcher,04-15,05-14,07-12
Blue-headed Vireo,04-18,05-07,05-20
Blue-winged Teal,03-16,04-07,05-30
Blue-winged Warbler,04-23,05-14,07-01
Cackling Goose,02-24,03-14,03-27
Cape May Warbler,04-26,05-14,05-21
Canada Goose,02-22,03-14,05-31
Canvasback,03-03,03-21,04-03
Canada Warbler,05-06,05-14,06-01
