Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,04-26,05-31,06-16
Alder Flycatcher,05-06,05-21,06-04
American Black Duck,03-11,03-14,03-18
American Avocet,04-08,04-21,05-20
American Bittern,04-14,04-30,06-21
American Crow,02-16,03-14,04-02
American Goldfinch,04-10,04-30,01-01
American Kestrel,02-28,02-28,02-28
American Pipit,04-22,04-30,05-12
American Redstart,04-26,05-14,05-31
American Robin,02-25,04-07,11-13
American Wigeon,02-20,03-14,04-27
American Woodcock,04-02,05-07,05-21
American Golden-Plover,04-03,05-07,05-28
American Herring Gull,04-11,05-07,05-18
American Tree Sparrow,03-07,03-07,03-07
American White Pelican,05-03,05-31,07-13
Arctic Tern,05-22,05-31,06-06
Bay-breasted Warbler,04-30,05-14,05-25
Baird's Sandpiper,05-01,05-07,05-13
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-22,05-14,09-01
Bank Swallow,04-14,05-07,09-12
Barrow's Goldeneye,03-22,03-31,04-06
Barn Swallow,04-10,05-14,09-14
Black-and-white Warbler,04-19,05-07,05-21
Black-bellied Whistling-Duck,04-15,04-21,04-29
Black-crowned Night Heron,04-04,05-31,11-08
Belted Kingfisher,03-20,04-14,05-04
Bell's Vireo,05-01,05-14,05-21
Black-billed Cuckoo,05-03,05-14,06-27
Black-billed Magpie,05-08,05-14,05-21
Black-bellied Plover,04-16,05-14,06-03
Blackburnian Warbler,04-24,05-14,05-26
Black-capped Chickadee,04-05,04-14,04-15
Black-headed Grosbeak,03-07,03-07,03-07
Black-headed Gull,05-14,05-21,05-29
Black-legged Kittiwake,05-05,05-07,05-09
Black-necked Stilt,04-01,04-07,04-21
Blackpoll Warbler,05-02,05-14,05-30
Black Scoter,03-08,04-21,05-10
Black Swift,05-08,05-14,05-20
Black Tern,04-30,05-14,08-05
Black Vulture,03-09,03-14,03-19
Blue Grosbeak,05-02,05-14,05-20
Blue Jay,03-27,05-07,05-26
Brown-headed Cowbird,03-19,05-14,07-19
Bobolink,04-23,05-31,09-21
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,03-16,04-14,06-02
Boreal Chickadee,02-28,02-28,02-28
Brant,05-15,05-21,05-29
Brewer's Blackbird,04-07,04-07,04-07
