Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-15,05-21,05-29
Alder Flycatcher,05-14,05-31,06-21
American Black Duck,03-07,03-07,03-07
American Bittern,04-03,04-30,06-29
American Crow,02-18,03-07,05-06
American Goldfinch,04-10,05-07,05-30
American Kestrel,03-14,03-31,05-09
American Pipit,04-22,05-07,05-19
American Redstart,04-30,05-21,07-15
American Robin,02-28,04-30,11-06
American Wigeon,03-04,03-14,04-14
American Woodcock,03-06,04-07,06-14
American Herring Gull,03-06,03-14,03-22
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-02,05-14,05-27
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-28,05-14,08-28
Bank Swallow,04-22,05-14,08-29
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-12,05-21,08-28
Black-and-white Warbler,04-22,05-14,09-17
Black-crowned Night Heron,04-07,05-14,11-11
Belted Kingfisher,03-30,04-30,10-18
Black-billed Cuckoo,05-09,05-21,08-24
Black-bellied Plover,05-15,05-21,06-04
Blackburnian Warbler,04-30,05-14,07-03
Black-backed Woodpecker,05-14,05-14,05-14
Black-capped Chickadee,04-28,04-30,05-01
Blackpoll Warbler,05-09,05-21,05-31
Black Scoter,03-28,03-31,04-02
Black Tern,04-28,05-14,07-30
Black Vulture,03-15,03-21,03-30
Blue Jay,04-22,05-14,05-29
Brown-headed Cowbird,03-17,04-30,07-05
Bobolink,04-30,05-21,07-20
Bohemian Waxwing,03-12,03-14,03-16
Bonaparte's Gull,03-25,04-07,04-29
Boreal Owl,02-28,02-28,02-28
Brant,04-30,05-14,05-28
Barred Owl,04-10,05-14,05-31
Brown Creeper,03-19,04-07,04-29
Brown Thrasher,04-10,04-30,08-12
Broad-winged Hawk,04-12,04-21,09-24
Black-throated Blue Warbler,04-24,05-07,05-21
Black-throated Green Warbler,04-22,05-14,07-17
Bufflehead,03-08,03-31,04-27
Blue-gray Gnatcatcher,04-21,04-30,06-21
Blue-headed Vireo,04-17,04-30,06-01
Blue-winged Teal,03-19,04-07,05-30
Blue-winged Warbler,05-04,05-21,06-26
Cackling Goose,02-28,02-28,02-28
Cape May Warbler,04-24,05-07,05-21
Canada Goose,02-23,03-21,05-21
Canvasback,03-14,03-14,03-14
Canada Warbler,05-06,05-21,06-09
Carolina Wren,04-12,04-14,04-17
Caspian Tern,04-07,04-30,10-09
Western Cattle-Egret,05-23,05-31,06-14
Cedar Waxwing,05-11,05-31,11-04
Cerulean Warbler,05-04,05-21,06-27
Chipping Sparrow,04-09,04-30,10-09
Chimney Swift,04-26,05-14,08-21
Chestnut-sided Warbler,05-01,05-14,07-15
Clay-colored Sparrow,05-08,05-21,06-21
Cliff Swallow,04-24,05-21,08-26
Common Gallinule,04-13,04-30,10-03
Common Goldeneye,03-14,03-14,03-14
Common Grackle,03-02,04-30,10-18
Common Loon,03-29,05-21,12-05
Common Merganser,03-10,03-21,03-28
Common Nighthawk,05-08,05-21,09-07
Common Raven,04-12,04-30,05-05
Common Tern,04-22,05-14,09-26
Common Yellowthroat,04-30,05-21,09-26
Connecticut Warbler,05-15,05-21,05-29
Cooper's Hawk,04-21,04-21,04-21
Dark-eyed Junco,04-06,04-07,04-08
Double-crested Cormorant,03-20,04-30,11-15
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-07,05-21,06-06
Eastern Bluebird,03-05,05-21,11-10
Eastern Kingbird,04-30,05-21,08-27
Eastern Meadowlark,03-11,04-30,08-09
Eastern Screech-Owl,03-21,03-21,03-21
Eastern Phoebe,03-21,04-14,10-19
Eastern Towhee,04-08,04-30,10-12
Eastern Whip-poor-will,04-25,05-21,09-14
Eastern Wood-Pewee,05-09,05-21,09-18
European Starling,02-20,04-07,05-25
Eurasian Wigeon,03-25,04-07,04-11
Evening Grosbeak,03-13,03-14,03-15
Field Sparrow,04-07,04-30,10-13
Fish Crow,03-09,03-14,03-27
Forster's Tern,03-23,03-31,04-06
Fox Sparrow,03-23,04-07,04-25
Gadwall,03-21,03-21,03-21
Great Black-backed Gull,03-07,03-07,03-07
Glaucous Gull,02-28,02-28,02-28
Green-winged Teal,03-02,04-07,04-30
Golden-crowned Kinglet,03-21,04-07,04-25
Golden Eagle,03-02,03-07,03-17
Golden-winged Warbler,05-01,05-21,06-27
Graylag Goose,02-28,02-28,02-28
Grasshopper Sparrow,04-24,05-14,07-28
Great Blue Heron,03-15,05-21,11-10
Great Crested Flycatcher,04-29,05-21,09-02
Great Egret,04-01,04-30,11-06
Greater Scaup,03-17,03-21,03-26
Greater Yellowlegs,03-27,04-21,05-15
Great Gray Owl,04-21,04-21,04-21
Great Horned Owl,04-10,04-21,04-30
Green Heron,04-23,05-21,09-30
