Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-08,05-14,05-20
Alder Flycatcher,05-14,05-31,06-27
American Black Duck,03-14,03-31,04-05
American Bittern,04-08,05-14,06-18
American Crow,02-19,03-21,04-26
American Goldfinch,04-23,05-07,09-17
American Kestrel,03-13,04-14,05-10
American Pipit,04-23,05-07,05-21
American Redstart,05-03,05-21,09-17
American Robin,02-25,04-30,11-03
American Wigeon,03-05,03-31,05-01
American Woodcock,03-09,04-07,04-28
American Herring Gull,02-20,03-07,03-21
American Tree Sparrow,03-19,03-21,04-01
Bay-breasted Warbler,05-02,05-14,05-27
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-28,05-14,08-20
Bank Swallow,04-25,05-14,08-15
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-10,05-21,08-31
Black-and-white Warbler,04-24,05-14,07-20
Black-bellied Whistling-Duck,04-22,04-30,05-06
Black-crowned Night Heron,04-08,04-21,04-29
Belted Kingfisher,03-19,04-21,11-06
Black-billed Cuckoo,05-10,05-31,08-04
Black-bellied Plover,05-01,05-07,05-13
Blackburnian Warbler,04-30,05-14,06-03
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-08,05-14,05-29
Black Scoter,03-01,03-07,04-06
Black Tern,05-06,05-14,05-27
Blue Jay,04-25,05-07,05-20
Brown-headed Cowbird,03-20,04-30,07-18
Bobolink,05-01,05-21,07-14
Bohemian Waxwing,03-01,03-07,03-11
Bonaparte's Gull,04-03,05-14,06-03
Brant,05-15,05-21,05-29
Barred Owl,04-04,04-14,04-25
Brewer's Blackbird,04-15,04-21,05-11
Brown Creeper,03-29,04-14,05-03
Brown Thrasher,04-14,04-30,08-14
Broad-winged Hawk,04-15,04-30,07-13
Black-throated Blue Warbler,04-28,05-14,07-19
Black-throated Green Warbler,04-25,05-14,07-20
Bufflehead,03-15,03-31,04-20
Blue-gray Gnatcatcher,05-08,05-14,05-29
Blue-headed Vireo,04-17,05-14,07-03
Blue-winged Teal,03-20,04-30,06-05
Blue-winged Warbler,05-02,05-31,07-13
Cackling Goose,03-07,03-14,04-09
Cape May Warbler,04-26,05-07,05-21
Canada Goose,02-22,03-21,05-28
Canvasback,03-14,03-14,03-14
Canada Warbler,05-08,05-21,07-18
Carolina Wren,02-27,02-28,03-01
Caspian Tern,04-16,05-07,09-14
Cedar Waxwing,05-14,05-31,09-17
Chipping Sparrow,04-09,05-07,08-31
Chimney Swift,04-27,05-21,08-26
Chestnut-sided Warbler,05-02,05-14,07-06
Clay-colored Sparrow,04-23,05-31,08-06
Cliff Swallow,04-26,05-31,08-21
Common Gallinule,04-22,04-30,05-06
Common Goldeneye,03-07,03-07,03-07
Common Grackle,02-28,04-30,09-04
Common Loon,04-07,04-21,05-07
Common Merganser,03-08,03-21,04-05
Common Nighthawk,05-09,05-21,06-07
Common Raven,03-07,04-21,04-29
Common Tern,04-26,05-14,08-05
Common Yellowthroat,05-03,05-31,09-26
Cooper's Hawk,03-06,03-07,03-09
Dark-eyed Junco,04-14,04-14,04-14
Double-crested Cormorant,04-01,04-30,11-13
Downy Woodpecker,02-28,02-28,02-28
Dunlin,04-16,05-21,06-04
Eared Grebe,02-26,02-28,03-02
Eastern Bluebird,03-14,05-14,11-01
Eastern Kingbird,05-01,05-21,08-31
Eastern Meadowlark,03-12,05-21,08-01
Eastern Screech-Owl,02-25,02-28,03-10
Eastern Phoebe,03-23,04-07,10-10
Eastern Towhee,04-09,04-30,08-13
Eastern Whip-poor-will,04-22,04-30,05-06
Eastern Wood-Pewee,05-11,05-31,09-13
European Starling,02-19,03-14,07-27
Eurasian Wigeon,03-15,03-21,03-29
Evening Grosbeak,04-07,04-07,04-07
Field Sparrow,04-04,05-31,08-07
Fish Crow,04-08,04-14,04-20
Forster's Tern,05-15,05-21,05-29
Fox Sparrow,03-17,04-07,04-28
Gadwall,02-23,04-14,05-03
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,03-07,03-07,03-07
Green-winged Teal,03-16,03-31,05-02
Golden-crowned Kinglet,03-24,04-07,04-24
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,05-07,05-14,06-18
Graylag Goose,03-21,03-21,03-21
Grasshopper Sparrow,05-10,05-31,07-21
Great Blue Heron,03-19,05-14,11-23
Great Crested Flycatcher,04-30,05-14,08-31
Great Egret,04-07,05-14,10-21
Greater Scaup,03-21,03-21,03-21
Greater Yellowlegs,03-31,04-21,05-14
Great Horned Owl,04-14,04-14,04-14
Green Heron,04-21,05-14,09-27
Gray Catbird,05-01,05-14,09-30
Greater White-fronted Goose,03-12,03-31,04-12
Gray-cheeked Thrush,05-05,05-14,05-27
Hairy Woodpecker,02-28,02-28,02-28
Harlequin Duck,03-14,03-14,03-14
Hermit Thrush,04-03,04-21,08-05
Hooded Merganser,03-14,03-21,04-06
Horned Grebe,04-10,04-14,04-22
Horned Lark,03-02,03-07,03-25
House Finch,03-07,03-14,03-21
House Sparrow,04-26,05-07,08-17
Northern House Wren,04-23,05-14,09-05
Indigo Bunting,05-06,05-31,08-07
Killdeer,03-03,03-31,10-04
King Rail,04-22,04-30,05-06
Lapland Longspur,04-04,04-07,04-10
Lesser Black-backed Gull,03-23,03-31,04-13
Least Bittern,05-09,05-21,07-21
Least Flycatcher,04-29,05-14,07-11
Least Sandpiper,05-03,05-14,05-26
Lesser Scaup,03-17,03-31,04-28
Lesser Yellowlegs,04-08,04-30,05-19
Lincoln's Sparrow,04-23,05-07,05-20
Little Gull,04-01,04-07,04-13
Long-billed Dowitcher,04-17,04-30,05-06
Long-eared Owl,05-05,05-07,05-09
Long-tailed Duck,02-28,02-28,02-28
Louisiana Waterthrush,04-17,04-30,05-06
Magnolia Warbler,05-02,05-14,05-28
Mallard,03-01,03-21,05-03
Marsh Wren,05-08,05-14,10-12
Merlin,03-15,04-14,05-19
Mountain Bluebird,02-28,02-28,02-28
Mourning Dove,04-08,05-07,05-19
Mourning Warbler,05-09,05-31,07-14
Muscovy Duck,02-28,02-28,02-28
Mute Swan,03-19,03-21,03-22
Nashville Warbler,04-24,05-14,06-18
Northern Bobwhite,05-22,05-31,06-13
Northern Cardinal,02-24,02-28,03-02
Northern Flicker,03-30,04-21,10-07
American Goshawk,02-28,03-07,03-11
Northern Harrier,03-15,04-14,05-13
Northern Mockingbird,05-22,05-31,06-12
