Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-15,05-21,05-29
Alder Flycatcher,05-09,05-31,06-28
American Black Duck,03-12,03-21,03-23
American Bittern,05-15,05-21,05-29
American Crow,03-09,03-31,05-24
American Goldfinch,03-23,04-30,01-01
American Kestrel,02-28,02-28,02-28
American Pipit,04-29,04-30,05-02
American Redstart,05-01,05-14,06-19
American Robin,03-01,04-30,11-06
American Wigeon,03-02,03-14,05-04
American Woodcock,03-14,04-14,06-04
American Golden-Plover,05-08,05-14,05-25
American Herring Gull,03-18,04-07,06-01
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-08,05-14,05-20
Bay-breasted Warbler,05-01,05-14,05-21
Baird's Sandpiper,05-19,05-31,06-06
Bald Eagle,03-20,04-21,05-22
Baltimore Oriole,04-23,05-14,09-05
Bank Swallow,04-17,05-14,06-12
Barn Swallow,04-09,05-14,09-12
Black-and-white Warbler,04-21,05-07,05-20
Black-crowned Night Heron,03-27,04-21,04-29
Belted Kingfisher,03-23,04-21,06-01
Black-billed Cuckoo,05-09,05-21,05-31
Black-bellied Plover,05-07,05-14,05-29
Blackburnian Warbler,04-24,05-14,05-26
Black-capped Chickadee,03-22,03-31,05-08
Black-necked Stilt,05-16,05-31,06-06
Blackpoll Warbler,05-07,05-14,05-30
Black Scoter,02-23,02-28,03-06
Black Tern,05-08,05-14,05-20
Black Vulture,02-22,02-28,03-06
Blue Jay,03-17,04-30,05-27
Brown-headed Cowbird,03-15,04-21,08-11
Bobolink,04-22,05-14,09-14
Bonaparte's Gull,03-25,04-07,05-12
Brant,03-01,03-07,03-13
Barred Owl,03-20,03-21,03-23
Brown Creeper,03-22,04-07,04-24
American Barn Owl,02-28,02-28,02-28
Brown Thrasher,04-04,04-30,07-03
Broad-winged Hawk,04-07,04-30,05-23
Black-throated Blue Warbler,04-23,05-07,05-21
Black-throated Green Warbler,04-20,05-07,05-22
Bufflehead,03-11,04-07,04-30
Blue-gray Gnatcatcher,04-12,05-14,05-31
Blue-headed Vireo,04-18,04-30,05-19
Blue-winged Teal,03-21,04-21,06-06
Blue-winged Warbler,04-23,05-14,06-02
Cackling Goose,03-13,03-14,03-15
Cape May Warbler,04-24,05-07,05-20
Canada Goose,02-21,04-14,05-28
Canvasback,02-21,03-14,03-30
Canada Warbler,05-04,05-14,05-29
Carolina Wren,03-21,05-07,06-05
Caspian Tern,04-06,04-30,06-07
Cedar Waxwing,04-18,05-21,11-07
Cerulean Warbler,04-22,04-30,05-06
Chipping Sparrow,04-03,04-30,10-22
Chimney Swift,04-23,05-14,09-01
Chestnut-sided Warbler,04-28,05-14,05-29
Clay-colored Sparrow,04-20,04-30,05-23
Cliff Swallow,04-25,05-31,08-21
Common Gallinule,04-22,04-30,05-10
Common Goldeneye,02-24,02-28,03-03
Common Grackle,02-25,04-30,10-25
Common Loon,03-31,04-21,05-14
Common Merganser,03-19,03-31,04-12
Common Nighthawk,05-04,05-14,05-31
Common Raven,03-01,03-07,03-12
Common Tern,04-16,05-14,09-18
Common Yellowthroat,04-23,05-14,10-06
