Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-09,05-31,07-20
American Black Duck,03-04,03-14,04-16
American Bittern,04-08,05-14,06-21
American Crow,05-09,05-21,08-07
American Goldfinch,04-23,05-07,09-23
American Kestrel,03-04,04-07,04-28
American Pipit,04-15,04-30,05-19
American Redstart,05-02,05-14,08-04
American Robin,03-03,05-21,11-05
American Wigeon,03-02,04-14,05-05
American Woodcock,02-27,03-21,05-02
American Golden-Plover,04-15,04-21,04-29
American Herring Gull,04-09,04-21,04-27
American Tree Sparrow,04-07,04-07,04-07
American White Pelican,05-01,05-07,05-13
Ash-throated Flycatcher,05-08,05-14,05-20
Bay-breasted Warbler,05-03,05-14,05-23
Bald Eagle,04-07,04-07,04-07
Baltimore Oriole,04-25,05-14,08-20
Bank Swallow,04-17,05-14,09-12
Barn Swallow,04-10,05-14,09-13
Black-and-white Warbler,04-22,05-07,06-03
Black-crowned Night Heron,05-14,05-14,05-14
Belted Kingfisher,03-21,04-21,10-12
Black-billed Cuckoo,05-08,05-21,08-01
Black-bellied Plover,05-07,05-14,05-25
Blackburnian Warbler,04-30,05-14,05-27
Black-capped Chickadee,05-07,05-07,05-07
Black-legged Kittiwake,02-28,02-28,02-28
Blackpoll Warbler,05-03,05-14,05-28
Black Scoter,03-08,03-14,03-20
Black Tern,04-27,05-14,06-27
Black Vulture,05-08,05-14,05-20
Blue Grosbeak,05-01,05-07,05-13
Blue Jay,04-18,05-14,05-28
Brown-headed Cowbird,03-16,05-14,07-18
Bobolink,04-26,05-14,09-07
Bohemian Waxwing,03-07,03-07,03-07
Bonaparte's Gull,03-24,04-21,05-04
Brewer's Blackbird,04-15,04-21,04-29
Brown Creeper,03-25,04-14,05-01
Brown Thrasher,04-08,04-30,07-15
Broad-winged Hawk,04-09,04-30,05-19
Black-throated Blue Warbler,04-25,05-07,05-21
Black-throated Green Warbler,04-22,05-14,05-28
Budgerigar,05-15,05-21,05-29
Bufflehead,03-08,04-07,05-05
Blue-gray Gnatcatcher,04-15,05-14,06-03
Blue-headed Vireo,04-18,04-30,05-23
Blue-winged Teal,03-22,04-14,06-05
Blue-winged Warbler,05-02,05-14,05-29
Cackling Goose,02-27,03-07,03-20
Cape May Warbler,04-30,05-07,05-20
Canada Goose,03-04,04-14,05-26
Canvasback,03-03,03-14,04-17
Canada Warbler,05-05,05-14,05-29
Carolina Wren,02-25,02-28,03-03
Caspian Tern,04-08,04-21,05-21
Western Cattle-Egret,04-22,04-30,05-06
Cedar Waxwing,05-04,05-31,11-10
Cerulean Warbler,04-23,05-07,05-13
Chipping Sparrow,04-09,05-07,08-10
Chimney Swift,04-17,05-14,09-12
Chestnut-sided Warbler,05-01,05-14,05-26
Chukar,04-22,04-30,05-06
Clay-colored Sparrow,04-26,05-14,05-29
Cliff Swallow,04-15,05-07,09-11
Common Gallinule,05-03,05-21,06-28
Common Goldeneye,03-10,03-14,04-02
Common Grackle,02-27,05-07,08-24
Common Loon,04-03,04-21,05-21
Common Merganser,03-05,04-07,04-26
Common Nighthawk,05-14,05-21,06-02
Common Raven,04-15,04-21,04-27
Common Tern,05-07,05-14,05-27
Common Yellowthroat,04-28,05-14,08-12
Connecticut Warbler,05-08,05-14,05-20
Cooper's Hawk,04-16,04-21,04-25
Dark-eyed Junco,03-31,03-31,03-31
Dickcissel,05-15,05-21,05-29
Double-crested Cormorant,03-26,04-21,05-27
Downy Woodpecker,04-30,04-30,04-30
Dunlin,04-25,05-14,06-02
Eared Grebe,05-01,05-07,05-13
Eastern Bluebird,03-10,05-14,07-12
Eastern Kingbird,04-26,05-14,08-31
Eastern Meadowlark,03-10,04-21,08-07
Eastern Screech-Owl,02-28,03-07,03-17
Eastern Phoebe,03-21,04-07,08-08
Eastern Towhee,04-07,05-14,08-16
Eastern Whip-poor-will,04-22,05-07,05-13
Eastern Wood-Pewee,05-09,05-31,09-12
European Starling,02-28,04-21,11-12
Eurasian Wigeon,04-14,04-14,04-14
Evening Grosbeak,04-02,04-30,05-14
Field Sparrow,04-05,05-14,08-14
Fish Crow,04-22,04-30,05-06
Forster's Tern,04-15,04-21,05-19
Fox Sparrow,03-20,04-07,04-20
Franklin's Gull,05-08,05-14,05-20
Gadwall,03-04,04-07,05-12
Great Black-backed Gull,04-14,04-14,04-14
Glaucous Gull,04-16,04-21,04-26
Glossy Ibis,04-15,04-21,04-29
Green-winged Teal,03-06,04-14,05-12
Golden-crowned Kinglet,03-22,04-07,04-28
Golden Eagle,02-24,02-28,03-11
Golden-winged Warbler,04-28,05-07,06-02
Grasshopper Sparrow,04-17,05-21,07-28
Great Blue Heron,03-17,05-07,11-12
Great Crested Flycatcher,04-29,05-14,08-30
Great Egret,03-26,05-07,05-31
Greater Scaup,03-04,04-14,04-29
Greater Yellowlegs,03-30,04-21,05-18
Great Horned Owl,03-14,03-21,03-27
Green Heron,04-23,05-14,09-20
Gray Catbird,04-26,05-14,10-02
Greater White-fronted Goose,03-07,03-07,03-07
Gray-cheeked Thrush,05-15,05-21,05-29
Gyrfalcon,03-08,03-14,03-20
Hairy Woodpecker,04-13,04-21,04-24
Harlequin Duck,04-14,04-14,04-14
Hermit Thrush,04-03,04-14,05-07
Hooded Merganser,03-08,03-31,05-19
Hooded Warbler,05-01,05-07,05-29
Horned Grebe,03-21,04-07,05-06
Horned Lark,02-18,03-07,03-31
House Finch,05-07,05-07,05-07
House Sparrow,05-07,05-07,05-07
Northern House Wren,04-21,05-14,08-28
Indigo Bunting,05-03,05-21,08-17
Killdeer,03-02,05-14,10-24
King Eider,02-28,02-28,02-28
Lapland Longspur,03-06,04-21,04-29
Lesser Black-backed Gull,03-22,04-21,05-20
Least Bittern,05-22,05-31,06-30
Least Flycatcher,04-27,05-14,06-25
Least Sandpiper,05-01,05-14,05-22
Lesser Scaup,03-07,04-14,05-11
Lesser Yellowlegs,04-14,04-30,05-21
Lincoln's Sparrow,04-18,05-14,05-20
Little Gull,04-04,04-14,04-20
Long-billed Dowitcher,04-22,04-30,05-11
Long-tailed Duck,03-31,03-31,03-31
Magnolia Warbler,04-30,05-14,05-26
Mallard,03-07,04-07,05-26
Marbled Godwit,04-22,04-30,05-06
Marsh Wren,04-30,05-07,08-07
Merlin,03-16,04-21,05-21
Mourning Dove,03-19,05-14,09-28
Mourning Warbler,05-09,05-21,07-12
Mute Swan,03-18,03-21,03-27
Nashville Warbler,04-22,05-07,05-21
Northern Bobwhite,05-22,05-31,06-13
Northern Cardinal,04-10,04-30,05-26
Northern Flicker,03-20,04-21,10-19
American Goshawk,03-22,03-31,04-06
Northern Harrier,03-12,04-14,05-03
Northern Mockingbird,03-01,03-07,03-13
Northern Parula,04-27,05-14,05-21
Northern Pintail,03-02,04-07,04-26
Northern Shoveler,03-08,04-07,05-12
