Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-12,05-21,06-29
Alder Flycatcher,05-10,05-21,06-09
American Black Duck,03-14,03-14,03-14
American Avocet,04-14,04-21,05-05
American Bittern,03-29,05-21,07-14
American Crow,03-02,03-07,03-09
American Goldfinch,04-12,04-30,05-30
American Kestrel,04-05,04-14,04-16
American Pipit,05-07,05-07,05-07
American Redstart,04-29,05-14,06-20
American Robin,02-24,04-07,11-09
American Wigeon,02-19,03-14,04-14
American Woodcock,03-03,05-07,06-06
American Golden-Plover,04-08,04-21,05-30
American Herring Gull,03-21,03-21,03-21
American Tree Sparrow,03-31,03-31,03-31
American White Pelican,05-22,05-31,06-07
Bay-breasted Warbler,05-02,05-14,05-27
Baird's Sandpiper,04-22,04-30,05-06
Bald Eagle,03-31,03-31,03-31
Baltimore Oriole,04-22,05-14,09-01
Bank Swallow,04-14,05-07,09-11
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-09,05-21,09-15
Black-and-white Warbler,04-20,05-07,05-24
Black-bellied Whistling-Duck,04-08,04-14,04-20
Black-crowned Night Heron,04-13,05-31,10-07
Belted Kingfisher,03-20,04-07,06-14
Bell's Vireo,05-08,05-14,05-20
Black-billed Cuckoo,05-07,05-21,09-10
Black-billed Magpie,03-07,03-14,04-03
Black-bellied Plover,04-30,05-21,06-02
Blackburnian Warbler,04-25,05-14,05-28
Black-capped Chickadee,04-28,04-30,05-03
Black-headed Gull,05-13,05-21,05-29
Black-necked Stilt,05-01,05-07,05-24
Blackpoll Warbler,05-04,05-14,05-31
Black Scoter,03-21,03-21,03-21
Black Tern,05-01,05-21,08-12
Black Vulture,03-31,04-07,04-18
Blue Grosbeak,05-01,05-07,05-15
Blue Jay,04-14,05-07,05-20
Brown-headed Cowbird,03-18,05-07,07-21
Bobolink,04-24,05-31,09-16
Bonaparte's Gull,03-15,04-14,06-02
Brant,05-15,05-21,05-29
Barred Owl,02-28,02-28,02-28
Brewer's Blackbird,04-21,04-21,04-21
Brown Creeper,03-19,04-07,04-28
Brown Thrasher,03-31,04-21,06-26
Broad-winged Hawk,04-11,05-21,06-03
Black-throated Blue Warbler,04-24,05-14,05-24
Black-throated Green Warbler,04-18,05-14,05-27
Bufflehead,02-26,03-31,04-28
Blue-gray Gnatcatcher,04-15,05-07,06-09
Blue-headed Vireo,04-15,04-30,05-22
Blue-winged Teal,03-15,04-14,05-12
Blue-winged Warbler,04-18,04-30,05-28
Cackling Goose,02-23,02-28,03-02
Cape May Warbler,04-27,05-14,05-21
Canada Goose,02-19,03-21,04-27
Canvasback,02-18,03-21,04-02
Canada Warbler,05-04,05-14,05-29
Carolina Wren,03-27,04-30,05-27
Cassin's Kingbird,05-22,05-31,06-06
Caspian Tern,04-06,05-31,10-10
Western Cattle-Egret,04-22,04-30,05-19
Cedar Waxwing,05-08,05-31,10-03
Cerulean Warbler,04-23,05-21,05-29
Chipping Sparrow,03-30,04-30,11-01
Chimney Swift,04-22,05-14,09-10
Chestnut-sided Warbler,04-27,05-14,05-28
Chuck-will's-widow,05-22,05-31,06-06
Clay-colored Sparrow,04-08,05-07,05-21
Cliff Swallow,04-15,05-14,09-16
Common Gallinule,04-15,05-31,10-13
Common Goldeneye,02-23,02-28,03-02
Common Grackle,02-22,04-07,11-02
Common Loon,03-17,04-14,06-02
Common Merganser,02-19,02-28,03-06
Common Nighthawk,05-04,05-21,05-31
Common Raven,03-31,03-31,03-31
Common Tern,04-20,05-21,10-26
Common Yellowthroat,04-22,05-14,10-06
Connecticut Warbler,05-13,05-21,05-29
Cooper's Hawk,04-07,04-07,04-07
Dark-eyed Junco,03-31,03-31,03-31
Dickcissel,05-17,05-31,08-06
Double-crested Cormorant,03-23,04-21,11-28
Downy Woodpecker,03-27,04-14,05-02
Dunlin,04-10,05-21,06-05
Eared Grebe,04-16,05-07,05-17
Eastern Bluebird,03-13,05-14,06-06
Eastern Kingbird,04-26,05-21,09-08
Eastern Meadowlark,03-10,04-21,05-09
Eastern Screech-Owl,05-11,05-14,05-16
Eastern Phoebe,03-16,03-31,06-16
Eastern Towhee,03-20,04-21,08-09
Eastern Whip-poor-will,04-16,05-07,06-19
Eastern Wood-Pewee,05-04,05-21,10-01
Eurasian Collared-Dove,03-11,03-31,04-14
European Goldfinch,05-01,05-07,05-13
European Starling,02-19,04-07,04-29
Eurasian Wigeon,03-08,03-14,04-10
Evening Grosbeak,04-24,04-30,05-05
Ferruginous Hawk,05-01,05-07,05-13
Field Sparrow,03-22,04-14,08-15
Fish Crow,04-15,04-21,05-05
Forster's Tern,04-02,04-21,08-08
Fox Sparrow,03-16,04-07,04-16
Franklin's Gull,05-15,05-21,05-30
Gadwall,02-20,03-21,04-22
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,02-28,02-28,02-28
Glossy Ibis,04-30,05-07,05-14
Green-winged Teal,02-23,03-21,04-27
Golden-crowned Kinglet,03-17,04-07,04-22
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,04-24,05-14,05-20
Grasshopper Sparrow,04-14,04-30,05-20
Great Blue Heron,03-20,05-31,12-03
Great Crested Flycatcher,04-26,05-14,08-05
Great Egret,03-19,04-21,10-28
Greater Scaup,03-08,03-21,04-12
Greater Yellowlegs,03-25,04-21,05-14
Great Horned Owl,04-21,04-21,04-21
Green Heron,04-17,05-21,10-04
Gray Catbird,04-21,05-14,10-08
Greater White-fronted Goose,03-14,03-14,03-14
Gray-cheeked Thrush,04-27,05-14,05-29
Hairy Woodpecker,03-30,05-14,05-24
Harlequin Duck,02-28,02-28,02-28
Harris's Sparrow,04-30,04-30,04-30
Henslow's Sparrow,05-21,05-31,07-11
Hermit Thrush,04-01,04-21,05-09
Hooded Merganser,02-25,03-21,04-07
Hooded Warbler,04-19,04-30,05-29
Horned Grebe,03-09,03-31,05-01
Horned Lark,03-01,03-07,03-11
House Finch,02-24,02-28,03-02
House Sparrow,04-07,04-07,04-07
Northern House Wren,04-15,05-14,10-05
Hudsonian Godwit,05-01,05-07,05-19
Indigo Bunting,04-30,05-14,08-20
Ivory Gull,02-28,02-28,02-28
Kentucky Warbler,04-22,04-30,05-24
Killdeer,02-22,03-21,10-31
King Eider,03-08,03-14,03-20
King Rail,04-09,05-14,05-20
Kirtland's Warbler,05-07,05-14,05-26
Lapland Longspur,02-28,02-28,02-28
Lark Sparrow,04-08,04-14,04-28
Laughing Gull,05-14,05-21,06-14
Lesser Black-backed Gull,05-17,05-21,06-03
Least Bittern,04-27,05-21,09-07
Least Flycatcher,04-23,05-14,05-30
Least Sandpiper,04-24,05-14,05-30
LeConte's Sparrow,05-02,05-14,05-20
Lesser Scaup,02-26,03-21,04-29
Lesser Yellowlegs,04-05,05-07,05-22
Little Blue Heron,04-15,04-21,04-29
Limpkin,02-28,02-28,02-28
Lincoln's Sparrow,04-22,05-14,05-27
Little Gull,05-14,05-21,06-21
Long-billed Dowitcher,04-22,04-30,05-12
Long-eared Owl,03-21,03-21,03-21
Loggerhead Shrike,05-08,05-14,05-20
Long-tailed Duck,03-13,03-31,04-05
Louisiana Waterthrush,04-05,04-21,05-07
Magnolia Warbler,04-29,05-14,05-28
Mallard,02-20,03-21,04-25
Marbled Godwit,04-13,04-21,05-06
Marsh Wren,04-18,05-31,10-19
Merlin,04-21,04-21,04-21
Mississippi Kite,04-25,05-21,05-29
Mourning Dove,02-24,04-07,10-06
Mourning Warbler,05-05,05-21,05-30
Muscovy Duck,05-07,05-07,05-07
Mute Swan,02-22,03-31,04-29
Nashville Warbler,04-19,05-07,05-21
Neotropic Cormorant,05-14,05-21,05-30
Northern Cardinal,03-19,04-07,05-21
Northern Flicker,03-17,04-14,10-25
American Goshawk,04-30,04-30,04-30
Northern Harrier,03-31,03-31,03-31
Northern Mockingbird,04-09,05-21,05-29
Northern Parula,04-25,05-14,05-26
Northern Pintail,02-19,03-14,03-20
Northern Shoveler,02-26,03-31,04-27
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-19,05-14,05-24
Northern Rough-winged Swallow,04-07,04-21,09-08
Nelson's Sparrow,05-21,05-21,05-21
Northern Saw-whet Owl,04-21,04-21,04-21
Olive-sided Flycatcher,05-07,05-21,06-02
Orchard Oriole,04-21,05-14,08-06
Orange-crowned Warbler,04-26,05-14,05-20
Osprey,04-05,05-14,11-01
Ovenbird,04-22,05-14,05-29
Pacific Loon,04-15,04-21,04-29
Palm Warbler,04-16,05-07,05-20
Pectoral Sandpiper,03-25,04-14,05-16
Peregrine Falcon,05-14,05-14,05-14
Philadelphia Vireo,05-03,05-14,05-30
Pied-billed Grebe,03-14,03-31,05-03
Pileated Woodpecker,03-21,05-14,05-29
Pine Siskin,02-28,02-28,02-28
Pine Warbler,04-04,04-21,06-10
Piping Plover,05-15,05-21,05-30
Prairie Warbler,04-17,04-30,05-29
Prothonotary Warbler,04-25,05-14,06-25
Purple Finch,04-05,04-21,05-05
Purple Martin,04-05,05-21,09-05
Purple Sandpiper,03-03,03-07,03-11
Red-breasted Merganser,03-17,04-21,05-02
Red-breasted Nuthatch,04-24,04-30,05-14
Red-bellied Woodpecker,04-02,05-07,05-24
Redhead,02-18,03-14,04-01
Red Knot,05-14,05-21,06-04
Redpoll,03-14,03-14,03-14
Red-eyed Vireo,05-02,05-21,08-05
Red-headed Woodpecker,04-18,05-07,06-13
Red-necked Grebe,03-17,03-21,04-02
Red-necked Phalarope,05-08,05-21,05-30
Red-shouldered Hawk,03-14,03-14,03-14
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,04-14,04-14,04-14
Red-winged Blackbird,02-20,04-07,09-06
Ring-billed Gull,02-20,03-21,04-25
Ring-necked Duck,02-20,03-14,04-15
Rose-breasted Grosbeak,04-21,05-14,07-18
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-21,03-21,03-21
Ruby-throated Hummingbird,04-24,05-14,09-30
Ruby-crowned Kinglet,04-03,04-30,05-16
Ruddy Duck,03-09,04-07,04-28
Ruddy Turnstone,05-07,05-21,06-03
Ruff,05-01,05-07,05-13
Ruffed Grouse,04-22,04-30,05-07
Rusty Blackbird,03-14,04-07,05-05
Sandhill Crane,02-23,03-31,06-05
Sanderling,05-10,05-21,06-05
Savannah Sparrow,03-29,05-31,11-03
Scarlet Tanager,04-29,05-14,05-30
Scissor-tailed Flycatcher,04-22,04-30,05-06
Sedge Wren,04-15,04-21,05-20
Semipalmated Plover,05-02,05-21,06-06
Semipalmated Sandpiper,05-08,05-21,06-11
Short-billed Dowitcher,04-30,05-14,05-21
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,02-28,02-28,02-28
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-15,04-21,04-29
Snow Goose,02-23,02-28,03-03
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-13,04-30,05-22
Song Sparrow,03-01,04-07,09-09
Sora,04-07,04-21,05-21
Spotted Sandpiper,04-15,05-21,09-21
Spotted Towhee,05-08,05-14,05-20
Stilt Sandpiper,05-07,05-21,05-29
Summer Tanager,04-19,05-07,05-27
Surf Scoter,03-19,03-21,03-25
Swainson's Hawk,04-15,04-21,05-05
Swamp Sparrow,04-06,04-21,05-21
Swainson's Thrush,04-24,05-14,05-29
Swallow-tailed Kite,05-15,05-21,05-29
Tennessee Warbler,05-01,05-14,05-27
Townsend's Solitaire,04-15,04-21,04-29
Townsend's Warbler,05-22,05-31,06-06
Tree Swallow,03-21,04-21,09-17
Tricolored Heron,05-22,05-31,06-06
Trumpeter Swan,03-07,03-07,03-07
Tufted Titmouse,04-17,05-07,05-23
Tundra Swan,02-19,02-28,03-15
Turkey Vulture,03-08,04-14,11-09
Veery,04-23,05-14,05-29
Vermilion Flycatcher,02-28,02-28,02-28
Vesper Sparrow,03-23,04-14,04-29
Virginia Rail,04-08,04-21,06-03
Warbling Vireo,04-24,05-21,09-14
Western Kingbird,05-01,05-07,05-28
White-breasted Nuthatch,05-01,05-07,05-09
White-crowned Sparrow,04-21,05-07,05-19
White-eyed Vireo,04-15,05-14,05-29
White-faced Ibis,04-22,04-30,05-06
Whimbrel,05-12,05-21,05-31
Whooper Swan,03-14,03-14,03-14
White-rumped Sandpiper,05-08,05-21,06-14
White-throated Sparrow,04-10,04-21,05-14
White-winged Crossbill,02-28,02-28,02-28
White-winged Dove,04-04,04-14,05-28
White-winged Scoter,03-21,03-21,03-21
Willow Flycatcher,05-09,05-31,08-25
Willet,04-14,04-21,05-15
Wilson's Phalarope,04-15,05-07,05-24
Willow Ptarmigan,05-01,05-07,05-13
Wilson's Snipe,03-29,04-14,04-26
Wild Turkey,03-25,05-14,06-12
Winter Wren,03-19,04-14,04-30
Wilson's Warbler,05-02,05-14,05-29
Worm-eating Warbler,05-01,05-07,05-27
Wood Duck,02-28,04-07,10-30
Wood Thrush,04-21,05-14,07-13
American Coot,03-09,03-31,04-29
Iceland Gull,02-23,02-28,03-04
Yellow-breasted Chat,04-16,04-30,05-29
Yellow-billed Cuckoo,05-13,05-31,09-12
Yellow-bellied Flycatcher,05-08,05-21,06-05
Yellow-bellied Sapsucker,03-22,04-07,04-28
Yellow-headed Blackbird,04-15,04-21,04-30
Yellow Rail,05-08,05-14,05-20
Yellow Warbler,04-19,05-07,08-23
Yellow-rumped Warbler,04-02,05-07,05-20
Yellow-throated Vireo,04-23,05-14,06-25
Yellow-throated Warbler,04-09,04-30,05-19
