Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-09,05-31,08-09
Alder Flycatcher,05-10,05-21,06-30
American Black Duck,03-02,03-07,03-11
American Bittern,05-21,05-31,06-24
American Crow,02-18,03-31,06-22
American Goldfinch,03-26,05-07,11-30
American Kestrel,03-29,04-07,04-13
American Pipit,04-18,04-30,05-16
American Redstart,05-01,05-14,07-11
American Robin,02-26,05-31,11-07
American Wigeon,02-28,03-21,05-05
American Woodcock,02-28,03-14,06-29
American Golden-Plover,04-16,05-14,05-25
American Herring Gull,03-21,03-21,03-21
American Tree Sparrow,03-23,03-31,04-04
American White Pelican,05-05,05-14,05-20
Bay-breasted Warbler,05-03,05-14,05-26
Baird's Sandpiper,04-15,04-21,04-29
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-24,05-14,08-30
Bank Swallow,04-16,05-14,08-30
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-08,04-30,09-12
Black-and-white Warbler,04-21,05-07,05-24
Black-crowned Night Heron,04-04,05-31,10-18
Belted Kingfisher,03-18,04-21,10-11
Black-billed Cuckoo,05-10,05-31,08-19
Black-bellied Plover,05-02,05-14,06-05
Blackburnian Warbler,04-29,05-14,05-27
Black-capped Chickadee,03-12,04-21,05-19
Black-legged Kittiwake,02-28,02-28,02-28
Black-necked Stilt,04-22,04-30,05-08
Blackpoll Warbler,05-05,05-14,06-01
Black Scoter,03-21,03-21,03-21
Black Tern,04-22,04-30,06-10
Black Vulture,04-08,04-14,04-20
Blue Grosbeak,05-08,05-14,05-20
Blue Jay,03-15,05-07,11-29
Brown-headed Cowbird,03-13,05-21,08-01
Bobolink,04-26,05-31,09-02
Bohemian Waxwing,04-14,04-14,04-14
Bonaparte's Gull,03-16,04-07,05-18
Barred Owl,03-08,03-14,03-20
Brewer's Blackbird,03-10,03-14,03-18
Brown Creeper,03-18,04-07,04-30
Brown Thrasher,04-03,04-21,07-26
Broad-winged Hawk,04-07,04-21,05-12
Black-throated Blue Warbler,04-27,05-14,05-23
Black-throated Green Warbler,04-21,05-14,05-27
Bufflehead,03-16,03-31,04-28
Blue-gray Gnatcatcher,04-14,05-07,07-05
Blue-headed Vireo,04-15,05-07,05-21
Blue-winged Teal,03-15,04-14,06-02
Blue-winged Warbler,04-23,05-31,06-19
Cackling Goose,02-25,02-28,03-15
Cape May Warbler,04-27,05-14,05-21
Canada Goose,02-19,03-21,05-16
Canvasback,02-28,02-28,02-28
Canada Warbler,05-04,05-14,05-30
Carolina Wren,03-14,05-07,05-28
Caspian Tern,04-05,04-21,09-27
Western Cattle-Egret,04-15,04-21,04-29
Cedar Waxwing,05-08,05-31,10-06
Cerulean Warbler,05-04,05-31,07-05
Chipping Sparrow,04-04,05-31,08-23
Chimney Swift,04-18,05-14,09-03
Chestnut-sided Warbler,05-01,05-14,06-01
Cinnamon Teal,04-08,04-21,04-29
Clay-colored Sparrow,04-24,05-31,06-30
Cliff Swallow,04-16,05-14,09-02
Common Gallinule,04-08,05-31,09-18
Common Goldeneye,02-28,02-28,02-28
Common Grackle,02-24,05-31,09-20
Common Loon,03-21,04-21,05-11
Common Merganser,03-01,03-07,03-23
Common Nighthawk,05-08,05-21,06-07
Common Raven,04-11,04-14,04-17
Common Tern,04-16,05-14,06-05
Common Yellowthroat,04-27,05-14,10-04
Connecticut Warbler,05-09,05-21,05-29
Cooper's Hawk,03-12,04-21,05-17
Dark-eyed Junco,03-20,03-31,04-13
Dickcissel,05-23,05-31,08-20
Double-crested Cormorant,03-25,04-21,06-07
Downy Woodpecker,03-15,04-21,05-18
Dunlin,04-19,05-14,05-30
Eared Grebe,04-15,04-21,04-29
Eastern Bluebird,03-08,04-21,08-08
Eastern Kingbird,04-28,05-31,08-29
Eastern Meadowlark,03-04,05-31,08-11
Eastern Screech-Owl,04-10,04-21,04-26
Eastern Phoebe,03-17,04-07,10-22
Eastern Towhee,03-28,05-31,10-11
Eastern Whip-poor-will,04-28,05-31,07-24
Eastern Wood-Pewee,05-09,05-31,09-16
European Starling,02-21,04-14,11-10
Eurasian Wigeon,03-02,03-07,03-16
Eurasian Tree Sparrow,04-15,04-21,04-29
Evening Grosbeak,03-10,03-14,03-18
Field Sparrow,03-30,05-31,10-12
Fish Crow,05-08,05-14,05-21
Forster's Tern,04-01,04-21,06-26
Fox Sparrow,03-15,03-31,04-21
Gadwall,03-04,04-30,05-06
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,02-28,02-28,02-28
Glossy Ibis,05-08,05-14,05-27
Green-winged Teal,03-03,04-30,05-07
Golden-crowned Kinglet,03-17,04-07,04-27
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,04-23,05-07,05-26
Grasshopper Sparrow,05-01,05-31,07-28
Great Blue Heron,03-18,05-31,11-15
Great Crested Flycatcher,04-30,05-31,09-03
Great Egret,03-23,05-31,11-03
Greater Scaup,03-21,03-21,03-21
Greater Yellowlegs,04-05,04-30,05-12
Great Horned Owl,03-12,03-14,03-17
Green Heron,04-15,05-07,09-26
Gray Catbird,04-22,05-14,10-07
Greater White-fronted Goose,02-23,02-28,03-07
Gray-cheeked Thrush,04-30,05-14,05-30
Gyrfalcon,02-21,02-28,03-20
Hairy Woodpecker,05-04,05-14,06-28
Harlequin Duck,03-21,03-21,03-21
Harris's Sparrow,02-28,02-28,02-28
Hermit Thrush,04-01,04-21,05-12
Hooded Merganser,03-13,03-14,03-16
Hooded Warbler,05-01,05-21,07-23
Horned Grebe,03-16,04-14,04-26
Horned Lark,02-18,03-07,03-17
House Finch,03-18,04-14,04-27
House Sparrow,04-12,04-21,04-24
Northern House Wren,04-18,05-31,10-01
Indigo Bunting,05-03,05-31,08-19
Kentucky Warbler,05-08,05-14,05-20
Killdeer,02-24,03-21,10-18
King Eider,03-10,03-14,03-17
King Rail,05-17,05-31,06-20
Kirtland's Warbler,05-01,05-07,05-13
Lapland Longspur,02-26,03-07,03-10
Laughing Gull,04-22,04-30,05-07
Lesser Black-backed Gull,03-19,03-21,03-22
Least Bittern,05-06,05-31,07-29
Least Flycatcher,04-29,05-14,06-07
Least Sandpiper,04-22,05-14,05-27
LeConte's Sparrow,04-15,04-21,04-29
Lesser Scaup,03-16,04-07,04-20
Lesser Yellowlegs,04-16,04-30,05-18
Lincoln's Sparrow,04-25,05-07,05-25
Little Gull,03-18,05-14,05-21
Long-billed Dowitcher,04-19,04-30,05-07
Long-eared Owl,02-19,02-28,03-01
Long-tailed Duck,02-28,02-28,02-28
Louisiana Waterthrush,03-25,04-07,04-14
Magnolia Warbler,05-01,05-14,05-27
Mallard,03-03,03-31,05-17
Marbled Godwit,05-15,05-21,05-29
Marsh Sandpiper,04-22,04-30,05-07
Marsh Wren,04-19,05-31,10-19
Merlin,03-07,04-07,05-17
Common Gull,02-28,02-28,02-28
Mississippi Kite,05-01,05-07,05-13
Mountain Bluebird,02-28,02-28,02-28
Mourning Dove,02-25,05-31,10-13
Mourning Warbler,05-04,05-21,06-25
Muscovy Duck,04-23,04-30,05-06
Mute Swan,04-30,04-30,04-30
Nashville Warbler,04-21,05-07,05-21
Neotropic Cormorant,03-22,03-31,04-06
Northern Bobwhite,05-17,05-31,06-06
Northern Cardinal,03-07,04-21,10-12
Northern Flicker,03-17,04-21,10-16
American Goshawk,03-27,03-31,04-03
Northern Harrier,03-31,03-31,03-31
Northern Mockingbird,02-23,02-28,03-04
Northern Parula,04-27,05-14,05-23
Northern Pintail,04-23,04-30,05-05
Northern Shoveler,03-04,03-21,05-10
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-18,05-07,05-21
Northern Rough-winged Swallow,04-07,04-21,08-21
Northern Saw-whet Owl,03-14,03-14,03-14
Olive-sided Flycatcher,05-09,05-21,06-11
Orchard Oriole,04-27,05-31,08-02
Orange-crowned Warbler,04-17,05-14,05-21
Osprey,03-25,05-14,10-11
Ovenbird,04-27,05-14,07-15
Pacific Loon,05-01,05-07,05-13
Palm Warbler,04-15,05-07,05-19
Pectoral Sandpiper,03-28,04-30,05-14
Peregrine Falcon,04-21,04-21,04-21
Philadelphia Vireo,05-07,05-14,05-29
Pied-billed Grebe,03-14,03-31,05-01
Pileated Woodpecker,03-14,05-21,06-28
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-08,04-14,05-04
Pine Warbler,04-07,04-21,07-21
Piping Plover,05-10,05-21,05-30
Prairie Warbler,05-03,05-21,07-12
Prothonotary Warbler,05-01,05-07,05-14
Purple Finch,03-27,04-30,05-11
Purple Martin,04-09,05-31,09-04
Red-breasted Merganser,04-10,04-21,04-24
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,03-14,05-14,06-05
Red Crossbill,05-31,05-31,05-31
Redhead,02-28,02-28,02-28
Red Knot,05-08,05-14,05-21
Redpoll,03-14,03-14,03-14
Red-eyed Vireo,05-05,05-21,09-27
Red-headed Woodpecker,04-19,05-14,09-18
Red-necked Grebe,03-23,03-31,04-05
Red-necked Phalarope,05-04,05-14,05-20
Red-shouldered Hawk,03-07,03-14,04-23
Red-tailed Hawk,03-09,03-14,03-25
Red-throated Loon,04-17,04-21,04-24
Red-winged Blackbird,02-22,05-31,09-06
Ring-billed Gull,02-25,03-21,05-05
Ring-necked Duck,02-27,03-31,05-03
Rose-breasted Grosbeak,04-25,05-14,09-20
Rock Pigeon,02-26,03-14,03-18
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,02-24,02-28,03-04
Ruby-throated Hummingbird,04-27,05-14,09-27
Ruby-crowned Kinglet,04-05,04-21,05-17
Ruddy Duck,03-12,04-30,05-15
Ruddy Turnstone,05-07,05-14,05-21
Ruff,04-26,05-07,05-13
Ruffed Grouse,05-01,05-31,06-06
Rusty Blackbird,02-26,04-07,05-07
Sandhill Crane,02-25,03-31,06-07
Sanderling,05-07,05-14,06-10
