Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-14,05-31,08-04
American Black Duck,03-15,03-31,04-07
American Bittern,04-09,04-30,09-25
American Crow,02-19,03-14,05-09
American Goldfinch,04-18,05-07,05-29
American Kestrel,03-16,04-21,05-21
American Pipit,04-20,04-30,05-08
American Redstart,05-01,05-14,09-15
American Robin,03-03,04-30,11-07
American Wigeon,03-11,03-31,04-23
American Woodcock,03-12,04-07,05-23
American Herring Gull,03-10,03-21,04-25
American Tree Sparrow,04-07,04-07,04-07
American White Pelican,04-22,04-30,05-10
Bay-breasted Warbler,05-07,05-14,05-25
Bald Eagle,03-12,03-31,04-02
Baltimore Oriole,04-30,05-14,07-12
Bank Swallow,04-16,05-21,07-14
Barrow's Goldeneye,03-21,03-21,03-21
Barn Swallow,04-15,05-21,09-03
Black-and-white Warbler,04-23,05-14,09-09
Black-crowned Night Heron,05-08,05-14,06-03
Belted Kingfisher,03-23,04-30,10-23
Black-billed Cuckoo,05-09,05-21,08-15
Black-bellied Plover,05-15,05-21,05-30
Blackburnian Warbler,05-02,05-14,07-07
Black-capped Chickadee,04-30,04-30,04-30
Blackpoll Warbler,05-08,05-21,05-31
Black Tern,04-29,05-14,08-04
Blue Jay,04-27,05-07,05-25
Brown-headed Cowbird,03-23,04-30,07-07
Bobolink,05-01,05-21,09-01
Bohemian Waxwing,02-23,02-28,03-12
Bonaparte's Gull,04-08,04-30,05-10
Brant,05-04,05-14,05-21
Barred Owl,03-14,04-07,06-03
Brown Creeper,04-02,04-07,05-01
Brown Thrasher,04-13,04-30,08-05
Broad-winged Hawk,04-12,04-30,09-17
Black-throated Blue Warbler,04-30,05-14,07-16
Black-throated Green Warbler,04-25,05-14,07-23
Bufflehead,03-07,03-31,05-05
Blue-gray Gnatcatcher,05-08,05-14,05-29
Blue-headed Vireo,04-17,05-14,07-31
Bullock's Oriole,02-28,02-28,02-28
Blue-winged Teal,03-25,05-14,10-21
Blue-winged Warbler,05-01,05-21,06-14
Cackling Goose,02-26,03-21,04-12
Cape May Warbler,05-02,05-14,05-21
Canada Goose,02-23,03-21,06-05
Canvasback,03-15,03-21,03-30
Canada Warbler,05-09,05-31,07-09
Carolina Wren,03-21,03-21,03-21
Caspian Tern,04-24,05-14,08-30
Cedar Waxwing,05-11,05-31,09-30
Cerulean Warbler,05-07,05-21,06-13
Chipping Sparrow,04-08,04-30,09-05
Chimney Swift,04-28,05-14,08-27
Chestnut-sided Warbler,05-02,05-31,08-06
Clay-colored Sparrow,05-03,05-31,08-02
Cliff Swallow,04-16,05-14,07-13
Common Gallinule,04-23,05-31,10-14
Common Goldeneye,02-19,03-14,04-03
Common Grackle,03-04,04-30,09-12
Common Loon,03-28,05-14,12-03
Common Merganser,03-01,03-21,04-11
Common Nighthawk,05-12,05-21,06-09
Common Raven,04-21,04-21,04-21
Common Tern,04-18,05-21,09-01
Common Yellowthroat,05-02,05-21,09-19
Cooper's Hawk,04-30,04-30,04-30
Dark-eyed Junco,04-02,04-07,04-21
Double-crested Cormorant,03-28,04-30,11-07
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-14,05-21,05-31
Eastern Bluebird,03-14,05-07,10-31
Eastern Kingbird,04-30,05-21,08-27
Eastern Meadowlark,03-21,04-30,08-03
Eastern Screech-Owl,03-16,03-21,04-16
Eastern Phoebe,03-22,04-07,10-07
Eastern Towhee,04-08,05-14,10-07
Eastern Whip-poor-will,04-26,05-21,07-30
Eastern Wood-Pewee,05-09,05-31,09-12
Eurasian Collared-Dove,04-22,04-30,05-06
European Starling,02-18,03-14,05-29
Evening Grosbeak,04-14,04-14,04-14
Field Sparrow,04-04,04-30,10-06
Fox Sparrow,03-25,04-14,04-27
Gadwall,03-16,03-31,04-07
Great Black-backed Gull,03-03,03-07,03-11
Glaucous Gull,02-28,02-28,02-28
Green-winged Teal,03-10,04-21,05-06
Golden-crowned Kinglet,03-27,04-07,04-26
Golden Eagle,03-02,03-07,03-19
Golden-winged Warbler,04-28,05-14,07-14
Graylag Goose,03-01,03-07,03-13
Grasshopper Sparrow,05-03,05-21,07-31
Great Blue Heron,03-17,05-21,10-31
Great Crested Flycatcher,04-30,05-21,09-01
Great Egret,04-12,04-21,05-12
Greater Scaup,03-13,03-31,05-02
Greater Yellowlegs,04-06,04-21,05-16
Great Gray Owl,03-14,03-14,03-14
Great Horned Owl,02-28,03-07,03-13
Green Heron,04-24,05-21,10-07
Gray Catbird,04-29,05-14,10-02
Canada Jay,02-28,02-28,02-28
Gray Partridge,04-08,04-14,04-20
Greater White-fronted Goose,02-22,02-28,03-07
Gray-cheeked Thrush,05-09,05-21,05-30
Gyrfalcon,02-28,02-28,02-28
Hairy Woodpecker,04-30,04-30,04-30
Harris's Sparrow,05-01,05-07,05-13
Helmeted Guineafowl,05-15,05-21,05-30
Hermit Thrush,04-07,05-14,08-07
Hooded Merganser,03-03,03-21,04-16
Horned Grebe,04-15,04-21,05-05
Horned Lark,02-22,02-28,03-11
House Finch,02-26,02-28,03-03
House Sparrow,03-14,03-14,03-14
Northern House Wren,04-22,05-31,08-28
Indigo Bunting,05-07,05-31,08-18
Killdeer,03-09,04-30,10-17
Lapland Longspur,02-28,02-28,02-28
Least Bittern,05-14,05-31,08-12
Least Flycatcher,05-01,05-14,07-20
Least Sandpiper,05-02,05-14,05-30
Lesser Scaup,03-05,04-21,05-11
Lesser Yellowlegs,04-13,04-30,05-21
Lincoln's Sparrow,04-22,04-30,05-26
Long-eared Owl,03-01,03-07,03-24
Loggerhead Shrike,04-01,04-07,04-27
Long-tailed Duck,04-01,04-07,04-13
Magnolia Warbler,05-03,05-14,07-18
Mallard,03-02,03-31,06-20
Marsh Wren,04-28,05-31,09-21
Merlin,03-25,04-21,05-14
Mourning Dove,04-02,05-07,05-27
Mourning Warbler,05-07,05-21,07-06
Mute Swan,03-07,03-14,04-06
Nashville Warbler,04-25,05-14,07-11
Northern Hawk Owl,03-07,03-07,03-07
Northern Bobwhite,02-28,02-28,02-28
