Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-10,05-21,07-14
Alder Flycatcher,05-10,05-21,06-28
American Black Duck,02-28,02-28,02-28
American Avocet,05-15,05-21,05-30
American Bittern,03-24,04-21,05-09
American Crow,02-19,03-07,04-06
American Goldfinch,04-03,04-30,01-01
American Kestrel,03-21,04-14,04-19
American Pipit,04-22,05-14,05-20
American Redstart,04-30,05-14,07-09
American Robin,02-28,04-30,11-12
American Wigeon,03-02,04-07,04-27
American Woodcock,03-01,03-14,05-05
American Golden-Plover,05-08,05-14,05-20
American Herring Gull,03-07,03-07,03-07
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,04-15,04-21,04-29
Bay-breasted Warbler,05-02,05-14,05-22
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-24,05-14,08-29
Bank Swallow,04-16,05-21,08-28
Barn Swallow,04-10,05-21,09-05
Band-tailed Pigeon,02-28,02-28,02-28
Black-and-white Warbler,04-21,05-07,05-20
Black-crowned Night Heron,04-01,04-07,04-14
Belted Kingfisher,03-27,04-14,05-21
Bell's Vireo,04-15,04-21,04-29
Black-billed Cuckoo,05-08,05-21,08-21
Black-billed Magpie,03-31,03-31,03-31
Black-bellied Plover,05-07,05-14,05-30
Blackburnian Warbler,04-24,05-14,05-24
Black-capped Chickadee,04-20,04-21,04-23
Black-necked Stilt,04-01,05-07,08-07
Blackpoll Warbler,05-06,05-14,05-29
Black Tern,04-23,05-07,05-13
Black Vulture,03-15,03-21,03-29
Blue Grosbeak,05-22,05-31,06-12
Blue Jay,04-08,04-30,06-04
Brown-headed Cowbird,03-17,04-30,07-23
Bobolink,05-02,05-31,07-18
Bohemian Waxwing,04-05,04-07,04-09
Bonaparte's Gull,03-23,04-14,04-30
Brant,05-22,05-31,06-06
Barred Owl,02-28,02-28,02-28
Brown Creeper,04-06,04-07,04-09
Brown Thrasher,04-08,04-21,07-14
Broad-winged Hawk,04-09,04-21,06-07
Black-throated Blue Warbler,04-26,05-07,05-20
Black-throated Green Warbler,04-22,05-07,05-21
Bufflehead,03-09,03-31,04-26
Blue-gray Gnatcatcher,04-17,05-07,07-12
Blue-headed Vireo,04-17,05-07,05-19
Blue-winged Teal,03-19,04-14,05-19
Blue-winged Warbler,04-23,05-14,07-04
Cackling Goose,02-25,02-28,03-04
Cape May Warbler,04-30,05-07,05-20
Canada Goose,02-20,03-31,05-21
Canvasback,02-19,03-21,03-31
Canada Warbler,05-06,05-14,05-28
Carolina Wren,04-07,04-30,05-21
Caspian Tern,04-03,04-14,04-30
Cedar Waxwing,05-09,05-31,11-13
Cerulean Warbler,05-02,05-21,07-07
Chipping Sparrow,04-04,04-30,08-30
Chimney Swift,04-22,05-14,09-16
Chestnut-sided Warbler,04-29,05-14,06-03
Clay-colored Sparrow,04-26,05-31,07-14
Cliff Swallow,04-21,05-21,09-03
Common Gallinule,04-16,05-07,07-14
Common Goldeneye,03-14,03-14,03-14
Common Grackle,02-24,05-07,10-22
Common Loon,03-13,04-14,05-14
Common Merganser,03-11,03-14,03-19
Common Nighthawk,05-10,05-21,06-13
Common Raven,03-04,03-07,03-09
Common Tern,04-22,04-30,05-11
Common Yellowthroat,04-27,05-21,10-06
Connecticut Warbler,05-03,05-21,05-30
Cooper's Hawk,04-07,04-21,05-08
Dark-eyed Junco,03-21,03-21,03-21
Dickcissel,05-22,05-31,07-31
Double-crested Cormorant,03-22,04-21,05-31
Downy Woodpecker,04-17,04-30,05-07
Dunlin,05-01,05-14,05-29
Eared Grebe,03-25,04-14,04-27
Eastern Bluebird,03-08,03-31,07-31
Eastern Kingbird,04-29,05-21,08-30
Eastern Meadowlark,03-09,04-07,08-04
Eastern Screech-Owl,03-14,03-14,03-14
Eastern Phoebe,03-18,04-07,10-24
Eastern Towhee,04-02,04-21,09-21
Eastern Whip-poor-will,04-21,04-30,05-11
Eastern Wood-Pewee,05-08,05-21,09-20
European Starling,02-20,04-14,11-11
Eurasian Wigeon,04-01,04-07,04-13
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,04-01,04-21,08-28
Forster's Tern,05-15,05-31,06-06
Fox Sparrow,03-23,03-31,04-14
Gadwall,03-07,04-07,04-24
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,02-28,02-28,02-28
Green-winged Teal,03-09,04-07,05-03
Golden-crowned Kinglet,03-21,04-07,04-21
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,04-30,05-07,05-19
Graylag Goose,03-14,03-14,03-14
Grasshopper Sparrow,04-24,05-31,08-05
Great Blue Heron,03-17,05-14,11-20
Great Crested Flycatcher,04-26,05-21,09-03
Great Egret,03-24,04-14,11-05
Greater Scaup,02-28,03-07,04-06
Greater Yellowlegs,04-02,04-21,05-19
Great Horned Owl,03-31,03-31,03-31
Green Heron,04-15,05-21,10-01
Gray Catbird,04-23,05-14,10-07
Greater White-fronted Goose,03-07,03-07,03-07
Gray-cheeked Thrush,05-02,05-14,05-27
Gyrfalcon,02-28,02-28,02-28
Hairy Woodpecker,04-20,05-07,05-17
Harlequin Duck,03-14,03-14,03-14
Helmeted Guineafowl,02-28,02-28,02-28
Hermit Thrush,04-05,04-21,05-09
Hooded Merganser,03-11,03-21,04-01
Hooded Warbler,05-05,05-31,07-22
Horned Grebe,03-15,03-31,04-26
Horned Lark,02-18,03-07,03-12
House Finch,02-28,02-28,02-28
House Sparrow,05-02,05-07,05-15
Northern House Wren,04-18,05-14,10-01
Indigo Bunting,05-04,05-31,08-21
Kentucky Warbler,05-15,05-21,05-30
Killdeer,02-28,05-21,10-23
Kirtland's Warbler,05-08,05-14,05-20
Lapland Longspur,04-12,04-14,04-17
Lesser Black-backed Gull,03-14,03-14,03-14
Least Bittern,05-09,05-21,05-30
Least Flycatcher,04-24,05-14,06-03
Least Sandpiper,04-30,05-14,05-29
Lesser Scaup,03-05,03-31,05-02
Lesser Yellowlegs,04-17,05-07,05-21
Lincoln's Sparrow,04-24,05-07,05-20
Little Gull,04-08,04-14,04-20
Long-billed Dowitcher,04-22,04-30,05-06
Long-eared Owl,03-07,03-07,03-07
Loggerhead Shrike,04-22,04-30,05-06
Long-tailed Duck,02-20,03-07,03-14
Louisiana Waterthrush,04-15,05-14,05-20
Magnolia Warbler,04-30,05-14,05-24
Mallard,03-06,04-14,05-21
Marsh Wren,04-04,04-21,11-05
Merlin,03-17,03-31,05-05
Mourning Dove,03-15,04-30,10-03
Mourning Warbler,05-07,05-21,07-07
Muscovy Duck,02-28,02-28,02-28
Mute Swan,02-26,03-31,04-09
Nashville Warbler,04-22,05-07,05-19
Northern Cardinal,03-18,04-21,06-04
Northern Flicker,03-23,04-21,10-22
American Goshawk,04-21,04-21,04-21
Northern Harrier,02-28,02-28,02-28
Northern Mockingbird,05-14,05-31,08-07
Northern Parula,04-26,05-14,05-21
Northern Pintail,02-22,03-14,03-29
Northern Shoveler,03-12,04-07,05-03
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-21,05-07,06-02
Northern Rough-winged Swallow,04-08,05-07,08-07
Northern Saw-whet Owl,04-07,04-07,04-07
Olive-sided Flycatcher,05-08,05-21,05-30
Orchard Oriole,04-27,05-14,07-24
Orange-crowned Warbler,04-21,05-07,05-19
Osprey,03-21,04-14,09-20
Ovenbird,04-24,05-07,07-07
Palm Warbler,04-17,04-30,05-18
Pectoral Sandpiper,04-09,04-21,05-19
Peregrine Falcon,04-21,04-21,04-21
Philadelphia Vireo,05-05,05-14,05-27
Pied-billed Grebe,03-16,04-07,04-29
Pileated Woodpecker,03-20,05-14,07-04
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-28,02-28,02-28
Pine Warbler,04-04,04-21,07-20
Prairie Warbler,05-08,05-14,05-20
Prothonotary Warbler,05-07,05-21,07-21
Purple Finch,04-07,04-30,05-11
Purple Martin,04-13,05-31,09-04
Red-breasted Merganser,02-19,03-07,03-11
Red-breasted Nuthatch,04-21,04-21,04-21
Red-bellied Woodpecker,03-28,04-30,05-25
Red Crossbill,04-14,04-14,04-14
Redhead,02-18,02-28,04-03
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-05,05-21,09-22
Red-headed Woodpecker,04-23,05-21,09-19
Red-necked Grebe,03-18,03-31,04-08
Red-necked Phalarope,05-08,05-14,05-29
Red-shouldered Hawk,03-18,03-31,04-03
Red-tailed Hawk,03-07,03-07,03-07
Red-throated Loon,04-15,04-21,04-29
Red-winged Blackbird,02-22,04-21,08-09
Ring-billed Gull,03-01,03-14,04-09
Ring-necked Duck,03-01,03-31,04-30
Rose-breasted Grosbeak,04-22,05-07,09-19
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-07,03-07,03-07
Ruby-throated Hummingbird,04-30,05-21,09-29
Ruby-crowned Kinglet,04-06,04-21,05-13
Ruddy Duck,03-17,04-07,05-19
Ruddy Turnstone,05-08,05-21,05-30
Ruffed Grouse,03-14,03-21,03-27
