Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-10,05-21,07-19
Alder Flycatcher,05-09,05-21,06-07
American Black Duck,02-21,03-21,04-02
American Avocet,04-08,04-14,05-06
American Bittern,03-30,04-30,06-17
American Crow,02-20,03-31,05-06
American Goldfinch,04-16,04-30,11-25
American Kestrel,03-15,04-14,04-29
American Pipit,04-23,05-07,05-15
American Redstart,04-30,05-14,06-18
American Robin,02-27,04-14,11-12
American Wigeon,02-20,03-14,04-17
American Woodcock,03-05,03-31,06-05
American Golden-Plover,05-07,05-21,05-30
American Herring Gull,03-02,03-31,05-11
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-14,05-14,05-14
Arctic Tern,05-08,05-14,05-20
Ash-throated Flycatcher,05-15,05-21,05-29
Bay-breasted Warbler,05-01,05-14,05-28
Bald Eagle,02-27,03-31,04-14
Baltimore Oriole,04-22,05-14,09-01
Bank Swallow,04-14,05-14,09-08
Barrow's Goldeneye,03-01,03-07,03-20
Barn Swallow,04-07,05-21,09-13
Black-and-white Warbler,04-19,05-07,05-23
Black-crowned Night Heron,03-31,04-07,05-18
Belted Kingfisher,03-23,04-14,11-03
Bell's Vireo,05-01,05-07,05-21
Bewick's Wren,04-15,04-21,04-29
Black-billed Cuckoo,05-06,05-21,09-08
Black-billed Magpie,04-01,04-07,04-13
Black-bellied Plover,05-04,05-21,06-04
Blackburnian Warbler,04-24,05-14,05-30
Black-backed Woodpecker,02-28,02-28,02-28
Black-capped Chickadee,04-22,04-30,05-04
Black-headed Gull,03-22,03-31,04-06
Black-necked Stilt,04-24,05-07,05-13
Blackpoll Warbler,05-07,05-21,06-02
Black Scoter,04-07,04-14,05-12
Black Swift,05-08,05-14,05-20
Black Tern,04-30,05-14,08-07
Black Vulture,05-12,05-14,05-17
Blue Grosbeak,04-15,04-21,05-11
Blue Jay,04-19,04-30,06-04
Brown-headed Cowbird,03-25,04-30,06-27
Bobolink,04-22,05-07,06-29
Bohemian Waxwing,03-22,03-31,04-06
Bonaparte's Gull,03-18,04-07,05-06
Brant,05-21,05-21,05-21
Brewer's Blackbird,04-05,04-07,04-09
Brown Creeper,03-20,04-07,05-01
Brown Pelican,05-15,05-21,05-30
Brown Thrasher,04-03,04-30,06-07
Broad-winged Hawk,04-16,05-07,10-13
Black-throated Blue Warbler,04-23,05-07,05-26
Black-throated Green Warbler,04-17,05-07,05-29
Buff-breasted Sandpiper,05-15,05-21,05-30
Bufflehead,02-28,03-31,04-26
Blue-gray Gnatcatcher,04-13,04-30,06-30
Blue-headed Vireo,04-16,04-30,05-21
Blue-winged Teal,03-16,04-14,05-07
Blue-winged Warbler,04-21,05-07,06-30
Cackling Goose,03-10,03-14,03-17
Cape May Warbler,04-23,05-07,05-21
Canada Goose,02-19,03-21,05-11
Canvasback,02-18,03-07,04-01
Canada Warbler,05-03,05-14,05-31
Carolina Wren,03-18,04-07,05-29
Cassin's Sparrow,04-15,04-21,04-29
Caspian Tern,04-07,04-21,10-17
Western Cattle-Egret,04-15,04-21,04-29
Cedar Waxwing,04-24,05-31,11-14
Cerulean Warbler,04-28,05-31,07-11
Chipping Sparrow,04-02,04-30,10-28
Chimney Swift,04-22,05-21,09-13
Chestnut-sided Warbler,04-29,05-14,06-05
Chuck-will's-widow,04-15,04-21,05-28
Clay-colored Sparrow,04-13,05-14,06-07
Cliff Swallow,04-16,05-14,09-10
Common Gallinule,04-16,05-14,10-14
Common Goldeneye,02-19,03-07,03-15
Common Grackle,02-22,04-14,11-12
Common Loon,03-26,04-21,05-31
Common Merganser,02-20,03-07,04-08
Common Nighthawk,05-02,05-21,06-06
Indian Peafowl,05-01,05-07,05-13
Common Raven,03-31,03-31,03-31
Common Tern,04-14,05-21,11-16
Common Yellowthroat,04-23,05-14,10-04
Connecticut Warbler,05-08,05-21,06-05
Cooper's Hawk,04-14,04-14,04-14
Dark-eyed Junco,04-07,04-07,04-07
Dickcissel,05-17,05-21,07-16
Double-crested Cormorant,03-28,04-21,06-13
Downy Woodpecker,04-16,04-21,05-01
Dunlin,05-01,05-21,06-06
Eared Grebe,03-16,03-31,04-12
Eastern Bluebird,03-16,04-14,07-13
Eastern Kingbird,04-25,05-21,09-06
Eastern Meadowlark,03-02,04-14,05-07
Eastern Screech-Owl,04-07,04-07,04-07
Eastern Phoebe,03-17,04-07,06-10
Eastern Towhee,03-23,04-21,08-07
Eastern Whip-poor-will,04-15,05-14,08-14
Eastern Wood-Pewee,05-06,05-21,09-28
Eurasian Collared-Dove,04-24,05-14,05-28
European Goldfinch,05-15,05-21,05-30
European Greenfinch,02-22,02-28,03-06
European Starling,02-18,04-21,07-04
Eurasian Wigeon,03-08,03-21,04-12
Eurasian Tree Sparrow,04-08,04-14,04-20
Evening Grosbeak,04-29,04-30,05-01
Field Sparrow,03-28,04-21,10-28
Fish Crow,03-31,04-14,05-07
Forster's Tern,03-31,04-14,08-21
Fork-tailed Flycatcher,04-08,04-14,04-20
Fox Sparrow,03-22,04-07,04-18
Franklin's Gull,05-20,05-31,06-06
Gadwall,02-20,03-31,04-20
Great Black-backed Gull,04-01,04-14,05-04
Glaucous Gull,04-07,04-14,04-29
Glossy Ibis,03-15,03-21,03-29
Green-winged Teal,02-28,03-31,05-01
Golden-crowned Kinglet,03-20,04-07,04-26
Golden Eagle,03-07,03-07,03-07
Golden-winged Warbler,04-22,05-07,06-04
Graylag Goose,02-28,02-28,02-28
Grasshopper Sparrow,04-19,05-31,07-31
Great Blue Heron,03-18,05-14,12-17
Great Crested Flycatcher,04-27,05-31,09-07
Great Egret,03-26,04-30,10-21
Greater Scaup,02-20,03-14,04-18
Greater Yellowlegs,03-23,04-14,05-10
Great Horned Owl,03-07,03-07,03-07
Green Heron,04-14,04-30,10-01
Great-tailed Grackle,02-28,02-28,02-28
Gray Catbird,04-21,05-14,10-14
Gray Partridge,05-20,05-21,05-22
Greater White-fronted Goose,03-10,03-14,03-17
Gray-cheeked Thrush,05-03,05-14,05-31
Hairy Woodpecker,05-31,05-31,05-31
Harlequin Duck,04-15,04-21,04-29
Harris's Sparrow,04-22,04-30,05-17
Helmeted Guineafowl,05-15,05-21,05-30
Henslow's Sparrow,05-23,05-31,06-26
Hermit Thrush,04-01,04-21,05-10
Hooded Merganser,02-23,03-14,04-09
Hooded Warbler,04-24,05-31,08-03
Horned Grebe,03-19,04-14,05-04
Horned Lark,02-16,02-28,03-09
House Finch,03-25,04-14,05-04
House Sparrow,04-05,04-07,04-08
Northern House Wren,04-15,04-30,10-12
Hudsonian Godwit,05-01,05-07,05-13
Indigo Bunting,04-30,05-31,08-24
Kentucky Warbler,04-15,04-21,05-04
Killdeer,02-24,03-31,10-15
King Rail,04-23,05-21,05-29
Kirtland's Warbler,05-02,05-14,05-20
Lapland Longspur,02-28,02-28,02-28
Lark Sparrow,04-03,04-14,04-20
Laughing Gull,05-15,05-31,06-21
Lesser Black-backed Gull,04-04,05-21,06-07
Least Bittern,04-25,05-21,09-10
Least Flycatcher,04-23,05-14,06-01
Least Sandpiper,04-26,05-14,05-29
Least Tern,05-01,05-07,05-13
LeConte's Sparrow,04-15,04-21,05-04
Lesser Scaup,02-24,03-21,04-26
Lesser Yellowlegs,04-02,04-30,05-19
Little Blue Heron,04-17,04-30,05-06
Lincoln's Sparrow,04-21,05-07,05-26
Little Gull,02-22,04-07,05-02
Long-billed Dowitcher,04-01,04-07,05-05
Long-eared Owl,04-07,04-07,04-07
Loggerhead Shrike,04-10,04-21,04-29
Long-tailed Duck,03-25,04-14,05-11
Louisiana Waterthrush,04-07,05-31,07-03
Magnolia Warbler,04-27,05-14,05-30
Mallard,02-20,03-21,04-30
Marbled Godwit,04-16,04-30,05-06
Marsh Wren,04-19,05-14,10-20
Merlin,03-27,04-14,05-07
Mississippi Kite,05-15,05-21,05-29
Mourning Dove,03-15,04-30,09-28
Mourning Warbler,05-06,05-21,06-06
Muscovy Duck,03-12,03-14,03-24
Mute Swan,02-25,04-07,05-27
Nashville Warbler,04-19,05-07,05-20
Neotropic Cormorant,04-15,04-21,04-29
Northern Cardinal,03-24,04-30,05-24
Northern Flicker,03-21,04-21,11-01
American Goshawk,04-10,04-14,04-17
Northern Harrier,03-31,03-31,03-31
Northern Mockingbird,04-18,04-30,06-08
Northern Parula,04-24,05-07,05-21
Northern Pintail,02-20,03-21,04-07
Northern Shoveler,03-01,03-31,04-30
Northern Shrike,03-10,03-14,03-22
Northern Waterthrush,04-20,05-14,06-23
Northern Rough-winged Swallow,04-08,04-30,08-28
Nelson's Sparrow,05-08,05-14,05-28
Northern Saw-whet Owl,04-12,04-14,04-16
Olive-sided Flycatcher,05-08,05-21,05-31
Orchard Oriole,04-21,05-14,07-07
Orange-crowned Warbler,04-21,05-14,05-23
Osprey,03-29,05-07,11-13
Ovenbird,04-22,05-07,07-16
Pacific Loon,05-14,05-21,06-01
Palm Warbler,04-16,04-30,05-18
Parasitic Jaeger,05-15,05-21,05-30
Pectoral Sandpiper,03-16,03-31,05-10
Peregrine Falcon,04-21,04-30,05-07
Philadelphia Vireo,05-03,05-14,05-30
Pied-billed Grebe,03-14,04-14,06-18
Pileated Woodpecker,04-29,05-31,07-07
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,03-29,03-31,04-09
Pine Warbler,04-02,04-21,07-20
Piping Plover,04-01,04-21,04-29
Prairie Warbler,04-16,05-07,06-05
Prothonotary Warbler,05-02,05-31,07-05
Purple Finch,04-07,04-14,05-04
Purple Martin,04-02,05-21,09-10
Red-breasted Merganser,03-21,04-14,05-11
Red-breasted Nuthatch,04-13,04-30,05-10
Red-bellied Woodpecker,04-12,04-30,05-12
Red Crossbill,03-21,03-21,03-21
Redhead,02-19,03-14,04-06
Red Knot,05-13,05-21,06-05
