Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-08,05-14,06-05
Alder Flycatcher,05-10,05-21,06-19
American Black Duck,02-28,02-28,02-28
American Avocet,04-08,04-14,04-20
American Bittern,04-07,04-14,05-15
American Crow,02-19,03-14,04-09
American Goldfinch,04-05,05-07,10-11
American Kestrel,04-05,04-07,04-08
American Pipit,04-10,04-14,05-11
American Redstart,05-01,05-14,06-13
American Robin,03-01,05-07,11-04
American Wigeon,02-19,03-14,04-16
American Woodcock,02-25,03-21,06-08
American Herring Gull,02-28,02-28,02-28
American Tree Sparrow,03-14,03-14,03-14
American White Pelican,05-08,05-14,05-27
Bay-breasted Warbler,05-02,05-14,05-24
Baird's Sandpiper,05-15,05-21,05-30
Bald Eagle,02-26,02-28,03-12
Baltimore Oriole,04-23,05-14,08-29
Bank Swallow,04-16,05-07,09-01
Barrow's Goldeneye,02-28,02-28,02-28
Barnacle Goose,02-28,02-28,02-28
Barn Swallow,04-09,05-21,09-04
Black-and-white Warbler,04-21,05-07,05-20
Black-bellied Whistling-Duck,02-28,02-28,02-28
Black-crowned Night Heron,04-16,05-21,10-01
Belted Kingfisher,03-21,04-14,05-31
Bell's Vireo,05-01,05-07,05-13
Black-billed Cuckoo,05-10,05-31,07-05
Black-bellied Plover,05-10,05-21,05-30
Blackburnian Warbler,04-26,05-14,05-23
Black-capped Chickadee,04-18,04-30,05-07
Black-headed Gull,04-30,04-30,04-30
Black-legged Kittiwake,03-21,03-21,03-21
Blackpoll Warbler,05-07,05-21,05-30
Black Scoter,03-07,03-07,03-07
Black Swan,05-01,05-07,05-13
Black Tern,05-07,05-14,05-20
Black Vulture,03-21,03-21,03-21
Blue Jay,03-13,05-07,07-11
Brown-headed Cowbird,03-19,05-07,07-21
Bobolink,04-26,05-31,07-18
Bohemian Waxwing,04-08,04-14,04-20
Bonaparte's Gull,04-07,04-07,04-07
Boreal Owl,02-19,02-28,03-05
Brant,05-14,05-21,05-29
Barred Owl,04-25,05-21,06-04
Brown Creeper,03-22,04-07,04-30
American Barn Owl,04-22,04-30,05-06
Brown Pelican,05-15,05-21,06-05
Brown Thrasher,04-06,04-21,06-13
Broad-winged Hawk,04-04,04-14,05-04
Black-throated Blue Warbler,04-23,05-07,05-21
Black-throated Green Warbler,04-20,05-07,05-22
Bufflehead,03-31,04-07,04-17
Blue-gray Gnatcatcher,04-15,04-30,05-31
Blue-headed Vireo,04-16,04-30,05-20
Blue-winged Teal,03-15,04-14,05-11
Blue-winged Warbler,04-23,05-14,06-24
Cackling Goose,02-23,02-28,03-05
California Gull,02-28,02-28,02-28
Cape May Warbler,04-24,05-07,05-20
Canada Goose,02-20,03-07,05-14
Canvasback,02-24,02-28,03-03
Canada Warbler,05-05,05-14,05-29
Carolina Wren,03-29,05-07,07-13
Caspian Tern,04-07,05-21,09-16
Western Cattle-Egret,05-01,05-07,05-22
Cedar Waxwing,04-24,05-31,09-30
Cerulean Warbler,05-02,05-14,05-20
Chipping Sparrow,04-03,04-30,08-22
Chimney Swift,04-22,05-21,09-04
Chestnut-sided Warbler,05-01,05-14,05-27
Chukar,02-28,02-28,02-28
Clay-colored Sparrow,04-23,05-21,06-11
Cliff Swallow,04-20,05-21,08-17
Cockatiel,04-22,04-30,05-06
Common Gallinule,04-07,04-14,10-09
Common Goldeneye,02-28,02-28,02-28
Common Grackle,02-26,05-07,09-05
Common Loon,03-22,04-14,04-28
Common Merganser,02-28,02-28,02-28
Common Nighthawk,05-09,05-21,06-06
Indian Peafowl,05-23,05-31,06-06
Common Raven,02-24,03-31,04-14
Common Tern,04-10,05-21,09-13
Common Yellowthroat,04-26,05-14,08-07
Cooper's Hawk,03-04,03-21,05-03
Dark-eyed Junco,03-31,03-31,03-31
Double-crested Cormorant,03-23,04-30,12-10
Downy Woodpecker,04-25,04-30,05-09
Dunlin,05-07,05-21,05-30
Eared Grebe,04-02,04-07,04-20
Eastern Bluebird,04-25,05-31,07-03
Eastern Kingbird,04-27,05-14,09-01
