Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-15,05-31,08-06
American Black Duck,03-16,04-07,06-21
American Avocet,05-08,05-14,05-29
American Bittern,04-17,05-21,06-20
American Crow,02-23,03-31,10-28
American Goldfinch,02-26,02-28,03-01
American Kestrel,03-25,04-21,05-21
American Pipit,04-29,05-14,05-24
American Redstart,05-03,05-21,09-13
American Robin,03-18,05-14,11-02
American Wigeon,04-08,04-21,05-30
American Woodcock,03-16,04-07,06-14
American Golden-Plover,05-15,05-21,06-02
American Herring Gull,03-10,04-30,12-07
American Tree Sparrow,03-31,04-14,04-26
American White Pelican,04-22,04-30,05-06
Arctic Tern,05-15,05-21,05-30
American Three-toed Woodpecker,02-18,02-28,03-09
Bay-breasted Warbler,05-05,05-14,07-05
Bald Eagle,03-09,04-21,05-07
Baltimore Oriole,05-01,05-21,06-24
Bank Swallow,04-30,05-21,06-20
Barn Swallow,04-18,05-31,08-20
Black-and-white Warbler,04-28,05-31,09-12
Black-bellied Whistling-Duck,05-15,05-21,05-30
Black-crowned Night Heron,05-15,05-21,05-30
Belted Kingfisher,04-03,04-30,10-12
Black-billed Cuckoo,05-13,05-31,08-30
Black-bellied Plover,05-14,05-21,06-04
Blackburnian Warbler,05-03,05-31,09-06
Black-backed Woodpecker,02-24,03-07,03-11
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-09,05-21,06-01
Black Tern,05-02,05-21,05-30
Black Vulture,04-22,04-30,05-06
Blue Grosbeak,05-15,05-21,05-30
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,03-24,04-14,05-28
Bobolink,05-02,05-14,06-30
Bohemian Waxwing,03-14,03-14,03-14
Bonaparte's Gull,05-01,05-21,06-05
Boreal Chickadee,02-23,03-14,03-16
Boreal Owl,03-28,03-31,04-02
Brant,05-09,05-21,05-31
Barred Owl,04-30,05-21,06-16
Brewer's Blackbird,04-22,04-30,05-06
Brown Creeper,04-06,04-30,11-01
Brown Thrasher,04-20,05-07,06-28
Broad-winged Hawk,04-14,04-30,09-14
Black-throated Blue Warbler,05-01,05-31,09-22
Black-throated Green Warbler,04-27,05-31,09-21
Bufflehead,04-01,04-21,05-12
Blue-headed Vireo,04-22,05-31,10-04
Blue-winged Teal,04-06,04-21,06-12
Cackling Goose,04-21,04-30,05-09
Cape May Warbler,05-01,05-14,06-21
Canada Goose,03-08,04-07,06-18
Canvasback,04-15,04-21,04-29
Canada Warbler,05-11,05-31,08-31
Carolina Wren,02-28,02-28,02-28
Caspian Tern,04-17,05-07,06-13
Cedar Waxwing,05-16,05-31,09-19
Cerulean Warbler,04-22,04-30,05-06
Chipping Sparrow,04-14,05-07,09-30
Chimney Swift,05-04,05-31,08-19
Chestnut-sided Warbler,05-04,05-31,09-01
Clay-colored Sparrow,05-12,05-21,07-06
Cliff Swallow,05-01,05-14,08-18
Common Gallinule,04-16,04-30,05-21
Common Goldeneye,03-16,04-14,05-07
Common Grackle,03-15,04-14,10-20
Common Loon,04-10,04-30,11-19
Common Merganser,03-18,04-21,12-03
Common Nighthawk,05-11,05-31,06-21
Common Raven,02-28,02-28,02-28
Common Tern,04-30,05-21,05-31
Common Yellowthroat,05-04,05-21,09-20
Cooper's Hawk,04-03,04-07,04-25
Dark-eyed Junco,03-28,04-14,05-03
Double-crested Cormorant,04-06,04-21,11-03
Downy Woodpecker,03-14,03-14,03-14
Dunlin,05-10,05-21,06-03
Eastern Bluebird,04-19,05-21,09-04
Eastern Kingbird,05-04,05-31,08-25
Eastern Meadowlark,03-18,04-21,06-30
Eastern Phoebe,04-01,04-30,09-26
Eastern Towhee,04-15,04-21,04-29
Eastern Whip-poor-will,05-01,05-21,08-07
Eastern Wood-Pewee,05-14,05-31,09-07
European Starling,03-07,05-07,06-15
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,05-16,05-31,06-13
Fish Crow,04-22,04-30,05-06
Fox Sparrow,04-03,04-14,04-29
Franklin's Gull,05-15,05-21,05-30
Gadwall,04-05,05-21,06-11
Great Black-backed Gull,03-19,04-07,06-01
Glaucous Gull,04-01,04-07,04-13
Green-winged Teal,04-02,04-21,05-14
Golden-crowned Kinglet,03-30,05-31,11-11
Golden Eagle,03-09,03-14,03-19
Golden-winged Warbler,05-13,05-21,05-29
Grasshopper Sparrow,05-15,05-21,05-30
Great Blue Heron,03-31,05-31,11-04
Great Crested Flycatcher,05-06,05-21,08-01
Greater Scaup,04-05,04-21,05-24
Greater Yellowlegs,04-13,04-21,05-16
Great Gray Owl,03-31,03-31,03-31
Great Horned Owl,03-22,03-31,05-04
Green Heron,04-27,05-14,06-30
Gray Catbird,05-03,05-21,09-28
Canada Jay,02-28,02-28,02-28
Greater White-fronted Goose,03-03,03-14,03-20
Gray-cheeked Thrush,05-09,05-21,06-03
Gyrfalcon,04-08,04-14,04-20
Hairy Woodpecker,02-28,02-28,02-28
Harris's Sparrow,02-28,02-28,02-28
Hermit Thrush,04-14,05-31,08-15
Hooded Merganser,03-17,04-07,06-11
