Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-08,05-21,06-30
American Black Duck,02-20,03-07,04-02
American Avocet,04-22,04-30,05-06
American Bittern,04-15,05-07,05-13
American Crow,02-19,02-28,03-11
American Goldfinch,04-26,05-14,05-20
American Kestrel,03-06,04-07,04-21
American Pipit,04-23,05-07,05-16
American Redstart,05-01,05-14,07-16
American Robin,02-24,05-21,11-07
American Wigeon,02-27,03-21,04-26
American Woodcock,02-22,04-07,05-04
American Herring Gull,02-27,03-07,03-10
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-03,05-14,05-24
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-24,05-14,08-24
Bank Swallow,04-21,05-07,09-01
Barn Swallow,04-13,05-14,09-06
Black-and-white Warbler,04-23,05-07,05-27
Black-crowned Night Heron,04-25,05-21,06-06
Belted Kingfisher,03-21,04-21,11-21
Black-billed Cuckoo,05-09,05-21,08-09
Black-bellied Plover,05-15,05-21,05-29
Blackburnian Warbler,04-30,05-14,05-21
Black-capped Chickadee,04-30,04-30,04-30
Blackpoll Warbler,05-03,05-14,05-28
Black Scoter,05-01,05-07,05-13
Black Tern,04-23,05-07,05-13
Black Vulture,04-08,04-14,04-20
Blue Jay,04-21,05-14,05-17
Brown-headed Cowbird,03-22,05-14,07-13
Bobolink,04-27,05-31,07-17
Bonaparte's Gull,03-24,04-14,04-29
Barred Owl,02-28,02-28,02-28
Brown Creeper,03-25,04-07,04-29
Brown Thrasher,04-08,04-30,07-23
Broad-winged Hawk,04-09,04-30,06-03
Black-throated Blue Warbler,04-29,05-14,05-20
Black-throated Green Warbler,04-23,05-14,05-21
Bufflehead,03-07,03-31,05-10
Blue-gray Gnatcatcher,04-18,05-14,06-22
Blue-headed Vireo,04-15,05-07,05-21
Blue-winged Teal,03-21,04-14,05-02
Blue-winged Warbler,04-27,05-14,06-19
Cackling Goose,03-01,03-07,03-18
Cape May Warbler,05-01,05-14,05-20
Canada Goose,02-20,03-14,05-21
Canvasback,02-26,03-21,04-13
Canada Warbler,05-05,05-14,06-02
Carolina Wren,04-15,05-14,05-20
Caspian Tern,04-08,04-21,05-05
Cedar Waxwing,05-09,05-31,11-03
Cerulean Warbler,04-22,04-30,05-06
Chipping Sparrow,04-05,05-07,08-13
Chimney Swift,04-24,05-14,08-14
Chestnut-sided Warbler,05-01,05-14,05-21
Chuck-will's-widow,04-22,04-30,05-06
Clay-colored Sparrow,05-15,05-21,05-29
Cliff Swallow,04-18,05-31,09-05
Common Gallinule,04-22,04-30,05-06
Common Goldeneye,02-22,02-28,04-03
Common Grackle,02-24,05-14,09-10
Common Loon,03-30,04-14,05-06
Common Merganser,02-22,03-14,04-07
Common Nighthawk,05-14,05-21,06-01
Indian Peafowl,05-08,05-14,05-20
Common Raven,02-19,02-28,03-05
Common Yellowthroat,04-26,05-21,10-03
Connecticut Warbler,04-22,04-30,05-06
Cooper's Hawk,02-28,02-28,02-28
Dark-eyed Junco,02-28,02-28,02-28
Double-crested Cormorant,03-31,04-14,05-23
Downy Woodpecker,02-28,02-28,02-28
Dunlin,04-28,05-14,05-30
Eared Grebe,05-01,05-14,05-21
Eastern Bluebird,03-15,04-14,06-06
Eastern Kingbird,04-28,05-14,08-29
Eastern Meadowlark,03-09,04-14,07-17
Eastern Screech-Owl,02-28,02-28,02-28
Eastern Phoebe,03-21,04-07,10-19
Eastern Towhee,04-06,05-07,06-14
Eastern Whip-poor-will,04-08,04-14,04-20
Eastern Wood-Pewee,05-09,05-31,09-18
European Starling,02-21,05-31,08-01
Evening Grosbeak,04-28,04-30,05-01
Field Sparrow,04-03,05-07,08-20
Forster's Tern,04-01,04-07,04-13
