Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-13,05-31,08-12
American Black Duck,03-02,03-21,04-08
American Bittern,04-05,04-30,06-28
American Crow,02-18,03-07,06-09
American Goldfinch,04-06,05-07,10-04
American Kestrel,03-15,03-31,05-07
American Pipit,04-22,05-07,05-20
American Redstart,05-02,05-14,07-26
American Robin,02-28,04-30,11-09
American Wigeon,02-28,03-21,05-03
American Woodcock,03-08,03-21,06-02
American Golden-Plover,04-22,04-30,05-06
American Herring Gull,03-01,03-07,03-16
American Tree Sparrow,03-31,03-31,03-31
Bay-breasted Warbler,05-04,05-14,05-26
Baird's Sandpiper,05-01,05-07,05-13
Bald Eagle,02-25,03-07,03-14
Baltimore Oriole,04-30,05-14,07-16
Bank Swallow,04-22,05-21,08-27
Barrow's Goldeneye,02-25,02-28,03-03
Barnacle Goose,04-08,04-14,04-21
Barn Swallow,04-11,05-14,09-05
Black-and-white Warbler,04-23,05-14,09-13
Black-crowned Night Heron,04-30,05-07,06-02
Belted Kingfisher,03-26,04-30,10-05
Black-billed Cuckoo,05-09,05-31,08-30
Black-bellied Plover,05-14,05-21,05-30
Blackburnian Warbler,04-30,05-14,07-05
Black-backed Woodpecker,03-07,03-07,03-07
Black-capped Chickadee,04-30,04-30,04-30
Blackpoll Warbler,05-08,05-21,05-31
Black Scoter,02-28,02-28,02-28
Black Tern,05-02,05-14,06-06
Blue Jay,04-07,05-07,11-25
Brown-headed Cowbird,03-20,04-30,07-16
Bobolink,04-29,05-14,07-07
Bohemian Waxwing,02-25,02-28,03-05
Bonaparte's Gull,04-01,04-07,04-21
Boreal Chickadee,02-28,02-28,02-28
Brant,05-02,05-14,05-29
Barred Owl,04-16,04-21,04-24
Brown Creeper,03-25,04-07,05-03
Brown Thrasher,04-13,04-30,07-10
Broad-winged Hawk,04-11,04-30,09-23
Black-throated Blue Warbler,04-28,05-14,07-18
Black-throated Green Warbler,04-23,05-14,07-19
Bufflehead,03-01,03-21,05-05
Blue-gray Gnatcatcher,04-24,05-07,07-02
Blue-headed Vireo,04-16,05-07,08-05
Blue-winged Teal,03-19,04-21,06-09
Blue-winged Warbler,05-01,05-21,06-26
Cackling Goose,03-01,03-14,04-03
Cape May Warbler,04-30,05-14,05-21
Canada Goose,02-22,03-21,05-28
Canvasback,03-14,03-14,03-14
Canada Warbler,05-07,05-21,07-08
Carolina Wren,02-28,02-28,02-28
Caspian Tern,04-10,04-30,05-21
Cedar Waxwing,05-09,05-31,10-11
Cerulean Warbler,05-13,05-31,06-30
