Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-09,05-21,05-29
Alder Flycatcher,05-14,05-21,06-20
American Black Duck,02-28,02-28,02-28
American Bittern,04-06,04-14,05-08
American Crow,02-20,03-14,05-08
American Goldfinch,03-31,05-07,12-15
American Kestrel,04-08,04-14,04-23
American Pipit,05-07,05-07,05-07
American Redstart,05-02,05-14,06-30
American Robin,03-01,05-14,11-13
American Wigeon,03-15,03-21,03-26
American Woodcock,02-28,03-14,04-28
American Herring Gull,02-28,02-28,02-28
American Tree Sparrow,03-07,03-07,03-07
Bay-breasted Warbler,05-03,05-14,05-25
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-25,05-14,07-11
Bank Swallow,04-17,05-21,08-21
Barn Swallow,04-12,05-21,09-04
Black-and-white Warbler,04-21,05-07,05-21
Black-crowned Night Heron,04-14,05-07,11-01
Belted Kingfisher,03-26,04-21,11-18
Black-billed Cuckoo,05-09,05-21,07-10
Black-bellied Plover,05-15,05-21,05-31
Blackburnian Warbler,04-27,05-14,05-26
Black-capped Chickadee,04-05,04-07,04-09
Blackpoll Warbler,05-08,05-21,05-31
Black Scoter,04-12,04-14,04-16
Blue Jay,04-01,05-07,12-18
Brown-headed Cowbird,03-17,04-30,07-27
Bobolink,04-29,05-31,07-07
Bohemian Waxwing,04-07,04-07,04-07
Bonaparte's Gull,03-23,04-07,04-29
Brant,05-15,05-21,05-29
Barred Owl,03-14,03-14,03-14
Brown Creeper,03-24,04-07,04-30
Brown Thrasher,04-12,04-30,06-26
Broad-winged Hawk,04-08,04-21,07-07
Black-throated Blue Warbler,04-25,05-14,05-21
Black-throated Green Warbler,04-22,05-07,05-24
Black-throated Gray Warbler,04-08,04-14,04-20
Bufflehead,03-03,03-31,04-09
Blue-gray Gnatcatcher,04-17,05-14,09-02
Blue-headed Vireo,04-18,04-30,05-21
Blue-winged Teal,03-21,04-14,05-06
Blue-winged Warbler,04-28,05-14,07-04
Cackling Goose,03-14,03-14,03-14
Cape May Warbler,04-30,05-14,05-20
Canada Goose,02-20,03-14,04-14
Canvasback,02-28,02-28,02-28
Canada Warbler,05-07,05-14,05-30
Carolina Wren,02-24,04-30,06-03
Caspian Tern,04-07,05-21,09-12
Cedar Waxwing,05-08,05-31,10-05
Cerulean Warbler,05-06,05-14,05-20
Chipping Sparrow,04-07,04-30,08-23
Chimney Swift,04-24,05-31,09-08
Chestnut-sided Warbler,05-01,05-14,05-29
Clay-colored Sparrow,04-25,05-31,08-04
