Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-11,05-31,07-07
American Black Duck,03-21,03-21,03-21
American Bittern,04-23,05-07,05-27
American Crow,02-19,03-07,04-02
American Goldfinch,04-06,05-07,06-03
American Kestrel,03-21,03-31,04-21
American Pipit,04-23,05-14,05-20
American Redstart,05-03,05-14,06-15
American Robin,03-01,04-30,11-05
American Wigeon,02-28,03-31,05-02
American Woodcock,03-14,03-21,05-01
American Herring Gull,03-21,03-21,03-21
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-04,05-14,05-24
Bald Eagle,04-14,04-14,04-14
Baltimore Oriole,04-27,05-14,07-31
Bank Swallow,04-25,05-14,09-05
Barn Swallow,04-15,05-14,09-10
Black-and-white Warbler,04-23,05-07,05-20
Black-crowned Night Heron,04-01,04-07,04-13
Belted Kingfisher,03-31,04-21,05-31
Black-billed Cuckoo,05-09,05-21,08-11
Black-bellied Plover,05-09,05-21,06-05
Blackburnian Warbler,05-01,05-14,05-25
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-07,05-14,05-30
Black Tern,04-24,05-14,05-20
Black Vulture,04-22,04-30,05-06
Blue Grosbeak,04-08,04-14,04-20
Blue Jay,04-15,04-30,05-23
Brown-headed Cowbird,03-20,04-30,07-18
Bobolink,04-29,05-31,07-06
Bohemian Waxwing,03-03,03-14,03-20
Bonaparte's Gull,04-08,04-14,05-18
Barred Owl,02-23,02-28,03-08
Brown Creeper,03-28,04-07,04-25
Brown Thrasher,04-10,04-30,07-01
Broad-winged Hawk,04-08,04-21,05-13
Black-throated Blue Warbler,04-30,05-14,05-20
Black-throated Green Warbler,04-23,05-14,05-21
Bufflehead,03-11,04-07,05-05
Blue-gray Gnatcatcher,04-21,05-14,05-24
Blue-headed Vireo,04-18,05-07,05-19
Blue-winged Teal,03-17,04-14,05-31
Blue-winged Warbler,04-30,05-31,06-16
Cackling Goose,02-22,03-31,04-07
Cape May Warbler,05-01,05-14,05-21
Canada Goose,02-20,04-14,05-29
Canvasback,03-18,03-21,03-29
Canada Warbler,05-07,05-14,05-29
Carolina Wren,02-27,03-07,03-13
Caspian Tern,04-15,04-30,05-13
Cedar Waxwing,05-05,05-31,09-28
Cerulean Warbler,05-15,05-21,05-30
Chipping Sparrow,04-09,04-30,08-21
Chimney Swift,04-26,05-21,09-04
Chestnut-sided Warbler,05-02,05-14,05-22
Chuck-will's-widow,05-01,05-07,05-13
Clay-colored Sparrow,05-15,05-21,05-30
Cliff Swallow,04-23,05-31,09-01
Common Gallinule,04-22,04-30,05-06
Common Goldeneye,02-28,02-28,02-28
Common Grackle,03-01,05-21,08-29
Common Loon,04-07,04-30,05-13
Common Merganser,03-09,03-31,04-14
Common Nighthawk,05-10,05-21,06-07
Common Raven,04-21,04-30,05-14
Common Tern,05-15,05-21,05-30
Common Yellowthroat,05-01,05-14,08-09
Cooper's Hawk,04-30,04-30,04-30
Dark-eyed Junco,02-28,02-28,02-28
Dickcissel,05-08,05-14,05-20
Double-crested Cormorant,03-26,04-14,05-29
Downy Woodpecker,04-30,04-30,04-30
Dunlin,04-27,05-14,05-31
Eastern Bluebird,03-09,05-07,09-13
Eastern Kingbird,05-01,05-21,08-30
Eastern Meadowlark,03-18,05-14,08-26
Eastern Screech-Owl,02-23,02-28,03-04
Eastern Phoebe,03-21,05-07,07-30
Eastern Towhee,04-11,05-14,06-12
Eastern Whip-poor-will,05-01,05-07,05-13
Eastern Wood-Pewee,05-09,05-21,09-08
Eurasian Collared-Dove,02-28,02-28,02-28
European Starling,02-24,05-21,11-06
Eurasian Wigeon,04-02,04-14,04-20
Evening Grosbeak,02-18,02-28,03-02
Field Sparrow,04-04,04-30,07-20
Fox Sparrow,03-22,04-14,04-22
Gadwall,02-28,04-14,05-06
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,04-14,04-14,04-14
Green-winged Teal,03-15,04-14,05-05
Golden-crowned Kinglet,03-23,04-07,04-24
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,05-02,05-14,06-12
Grasshopper Sparrow,05-06,05-14,05-20
Great Blue Heron,04-08,05-21,12-02
Great Crested Flycatcher,05-01,05-21,08-07
Great Egret,03-22,03-31,05-04
Greater Scaup,03-18,04-14,04-24
Greater Yellowlegs,04-08,04-30,05-17
Great Horned Owl,04-21,04-30,05-07
Green Heron,04-21,05-14,09-24
Gray Catbird,04-28,05-14,09-30
Greater White-fronted Goose,03-15,03-31,04-07
Gray-cheeked Thrush,05-02,05-21,05-29
Hairy Woodpecker,05-05,05-07,05-09
Hermit Thrush,04-03,04-21,05-14
Hooded Merganser,03-12,03-31,04-16
Hooded Warbler,05-08,05-21,05-30
Horned Grebe,03-16,03-31,04-30
Horned Lark,05-20,05-31,06-27
House Finch,02-28,02-28,02-28
House Sparrow,05-20,05-31,06-06
Northern House Wren,04-22,05-14,09-12
Indigo Bunting,05-05,05-21,08-21
Killdeer,03-04,05-21,10-22
Lapland Longspur,04-07,04-14,04-26
Lesser Black-backed Gull,04-09,04-14,04-25
Least Bittern,05-07,05-14,06-14
Least Flycatcher,04-30,05-14,05-30
Least Sandpiper,04-28,05-14,05-29
Lesser Scaup,03-14,04-14,04-30
Lesser Yellowlegs,04-15,05-07,05-20
Lincoln's Sparrow,04-23,05-07,05-20
Little Gull,04-22,04-30,05-06
Long-billed Dowitcher,05-08,05-14,05-20
Long-eared Owl,03-24,03-31,04-03
Long-tailed Duck,03-05,03-07,03-10
Magnolia Warbler,05-03,05-14,05-25
Mallard,03-06,04-07,05-22
Marbled Godwit,04-08,04-14,04-20
Marsh Wren,05-08,05-21,05-30
Merlin,02-27,04-21,05-21
Mourning Dove,03-23,04-21,09-15
Mourning Warbler,05-07,05-21,07-11
Muscovy Duck,04-02,04-07,04-12
Mute Swan,03-21,04-07,10-28
Nashville Warbler,04-25,05-07,05-21
Northern Cardinal,02-22,04-30,05-27
Northern Flicker,03-26,04-21,10-11
Northern Harrier,03-16,03-31,04-18
Northern Mockingbird,03-12,03-14,03-16
Northern Parula,05-01,05-14,05-21
Northern Pintail,02-20,04-07,04-28
Northern Shoveler,03-16,04-14,05-12
Northern Shrike,03-02,03-14,03-17
Northern Waterthrush,04-22,05-14,06-12
Northern Rough-winged Swallow,04-13,05-14,08-28
Northern Saw-whet Owl,03-07,03-07,03-07
Olive-sided Flycatcher,05-09,05-31,06-06
Orchard Oriole,04-27,05-14,08-09
Orange-crowned Warbler,04-26,05-07,05-21
Osprey,03-27,04-14,09-21
Ovenbird,04-30,05-14,06-13
Palm Warbler,04-19,05-07,05-19
Pectoral Sandpiper,04-21,05-14,05-26
Peregrine Falcon,04-10,05-14,05-26
Philadelphia Vireo,05-05,05-14,05-29
Pied-billed Grebe,03-19,04-14,05-06
Pileated Woodpecker,02-25,05-07,05-31
Pine Grosbeak,04-18,04-21,04-25
Pine Siskin,02-23,04-14,05-10
Pine Warbler,04-07,04-21,07-14
Purple Finch,04-07,04-30,05-14
Purple Martin,05-22,05-31,06-07
Red-breasted Merganser,03-25,03-31,04-16
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,04-03,05-07,05-19
Red Crossbill,03-15,03-21,03-30
Redhead,03-16,03-31,04-30
Red Knot,05-15,05-21,05-30
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-06,05-21,09-13
Red-headed Woodpecker,05-08,05-14,06-09
Red-necked Grebe,03-22,03-31,04-13
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,04-08,04-14,04-20
Red-tailed Hawk,03-31,03-31,03-31
Red-winged Blackbird,02-26,04-30,08-22
Ring-billed Gull,03-04,03-21,04-21
Ring-necked Duck,03-08,03-31,05-02
Rose-breasted Grosbeak,04-26,05-14,07-15
Rock Pigeon,05-29,05-31,06-02
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-22,03-31,04-08
Ruby-throated Hummingbird,05-01,05-14,09-21
Ruby-crowned Kinglet,04-08,04-21,05-14
Ruddy Duck,03-19,04-14,05-26
Ruddy Turnstone,05-15,05-21,05-30
Ruffed Grouse,03-29,05-14,05-29
Rusty Blackbird,03-22,03-31,04-20
Sandhill Crane,03-10,05-14,06-18
Sanderling,05-17,05-31,06-06
Savannah Sparrow,04-07,05-31,09-04
Scarlet Tanager,05-02,05-14,05-27
Semipalmated Plover,05-06,05-14,06-02
Semipalmated Sandpiper,05-08,05-21,06-10
Short-billed Dowitcher,05-01,05-14,05-29
Short-eared Owl,04-21,04-21,04-21
Sharp-shinned Hawk,04-14,04-14,04-14
Snow Bunting,03-07,03-07,03-07
Snowy Egret,05-01,05-07,05-13
Snow Goose,03-31,04-07,04-17
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-22,05-07,05-20
Song Sparrow,03-09,05-14,10-27
Sora,04-16,05-14,06-06
Spotted Sandpiper,04-17,05-14,09-13
Stilt Sandpiper,05-08,05-14,05-20
Summer Tanager,05-15,05-21,05-30
Swamp Sparrow,04-08,05-07,07-05
Swainson's Thrush,05-05,05-14,05-26
Tennessee Warbler,05-04,05-14,05-26
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-31,05-14,08-27
Trumpeter Swan,03-12,04-07,04-26
Tufted Titmouse,03-14,03-14,03-14
Tundra Swan,02-22,03-07,04-05
Turkey Vulture,03-07,04-07,10-29
Upland Sandpiper,05-05,05-31,07-05
Veery,05-01,05-14,06-14
Vesper Sparrow,04-03,05-31,07-30
Virginia Rail,04-20,05-14,05-23
Warbling Vireo,04-30,05-21,07-25
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-23,05-07,05-18
White-eyed Vireo,05-01,05-07,05-13
White-rumped Sandpiper,05-11,05-31,06-11
White-throated Sparrow,04-12,04-30,05-14
White-winged Crossbill,03-07,03-07,03-07
White-winged Scoter,05-01,05-07,05-13
Willow Flycatcher,05-10,05-31,08-10
Willet,05-08,05-14,05-20
Wilson's Phalarope,05-08,05-14,05-28
Wilson's Snipe,04-04,04-21,05-03
Wild Turkey,04-02,05-07,06-16
Winter Wren,03-25,04-07,05-12
Wilson's Warbler,05-04,05-14,05-29
Wood Duck,03-13,05-14,10-18
Wood Thrush,04-29,05-14,07-17
American Coot,03-16,04-14,05-04
Iceland Gull,03-21,03-21,03-21
Yellow-breasted Chat,05-22,05-31,06-26
Yellow-billed Cuckoo,05-15,05-31,07-18
Yellow-bellied Flycatcher,05-06,05-21,05-30
Yellow-bellied Sapsucker,03-28,04-07,05-16
Yellow-headed Blackbird,04-15,04-21,04-29
Yellow Warbler,04-25,05-14,07-07
Yellow-rumped Warbler,04-12,05-07,05-20
Yellow-throated Vireo,05-02,05-14,05-27
