Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-14,05-31,08-06
American Black Duck,03-14,04-07,05-21
American Bittern,04-14,04-30,08-05
American Crow,02-20,03-14,05-19
American Goldfinch,04-26,05-14,05-22
American Kestrel,03-19,04-07,05-27
American Pipit,04-30,05-14,05-24
American Redstart,05-03,05-21,09-10
American Robin,03-08,04-30,11-02
American Wigeon,04-02,04-21,05-05
American Woodcock,03-15,03-31,06-22
American Herring Gull,02-28,04-07,05-07
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-07,05-14,05-31
Bald Eagle,02-23,03-14,04-02
Baltimore Oriole,05-01,05-14,06-28
Bank Swallow,05-08,05-21,07-27
Barrow's Goldeneye,05-21,05-21,05-21
Barn Swallow,04-17,05-21,08-29
Black-and-white Warbler,04-28,05-21,09-07
Black-crowned Night Heron,05-19,05-31,06-13
Belted Kingfisher,04-01,04-21,10-07
Black-billed Cuckoo,05-10,05-31,08-06
Black-bellied Plover,05-11,05-21,06-12
Blackburnian Warbler,05-04,05-31,07-12
Black-backed Woodpecker,05-31,05-31,05-31
Black-capped Chickadee,03-14,03-14,03-14
Blackpoll Warbler,05-10,05-21,05-31
Black Scoter,04-22,04-30,05-06
Black Tern,04-30,05-31,07-29
Black Vulture,05-01,05-07,05-13
Blue Jay,05-14,05-14,05-14
Brown-headed Cowbird,03-28,04-21,06-22
Bobolink,05-01,05-21,07-10
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,04-22,05-14,06-10
Boreal Chickadee,02-28,02-28,02-28
Brant,05-07,05-14,05-28
Barred Owl,03-13,03-21,04-30
Brown Creeper,04-07,04-14,04-26
Brown Thrasher,04-15,05-14,08-05
Broad-winged Hawk,04-13,04-30,09-18
Black-throated Blue Warbler,05-03,05-21,07-21
Black-throated Green Warbler,04-28,05-21,07-20
Bufflehead,03-24,04-14,05-09
Blue-gray Gnatcatcher,05-01,05-07,05-13
Blue-headed Vireo,04-21,05-21,10-06
Blue-winged Teal,03-30,04-30,09-17
Cackling Goose,03-09,04-14,05-05
Cape May Warbler,05-01,05-14,06-07
Canada Goose,02-28,03-31,06-13
Canvasback,04-21,04-21,04-21
Canada Warbler,05-14,05-21,07-13
Carolina Wren,03-11,03-14,03-16
Caspian Tern,05-15,05-31,06-14
Cedar Waxwing,05-14,05-31,09-18
Chipping Sparrow,04-11,04-30,10-13
Chimney Swift,05-08,05-21,07-05
Chestnut-sided Warbler,05-04,05-21,07-21
Clay-colored Sparrow,05-05,05-14,07-17
Cliff Swallow,05-15,05-21,08-21
Common Gallinule,04-16,04-30,10-11
Common Goldeneye,03-16,04-07,04-29
Common Grackle,03-08,05-14,09-04
Common Loon,04-04,04-21,12-10
Common Merganser,03-17,04-14,05-18
Common Nighthawk,05-11,05-21,09-09
Common Raven,02-28,02-28,02-28
Common Tern,05-01,05-21,10-08
Common Yellowthroat,05-05,05-31,09-11
Connecticut Warbler,05-15,05-21,05-30
Cooper's Hawk,02-27,02-28,03-01
Dark-eyed Junco,04-03,04-14,04-27
Double-crested Cormorant,04-01,04-21,11-10
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-11,05-21,06-13
Eastern Bluebird,03-19,05-14,10-21
Eastern Kingbird,04-29,05-21,08-29
Eastern Meadowlark,03-24,04-30,07-20
Eastern Screech-Owl,03-14,03-14,03-14
Eastern Phoebe,03-27,05-14,10-06
Eastern Towhee,04-08,04-30,08-04
Eastern Whip-poor-will,04-23,05-21,07-22
Eastern Wood-Pewee,05-13,05-31,09-06
European Starling,02-21,03-21,05-30
Eurasian Wigeon,04-01,04-07,04-13
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,04-09,05-31,08-07
Fox Sparrow,04-01,04-14,04-29
Franklin's Gull,04-22,04-30,05-06
Gadwall,04-07,04-21,05-13
Great Black-backed Gull,03-23,04-07,04-13
Green-winged Teal,03-31,04-21,05-06
Golden-crowned Kinglet,04-02,04-21,04-29
Golden Eagle,02-19,02-28,03-07
