Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-16,05-31,08-04
American Black Duck,04-02,04-30,08-01
American Bittern,04-23,05-14,06-07
American Crow,02-22,03-21,05-19
American Goldfinch,05-10,05-14,05-24
American Kestrel,03-20,04-30,09-14
American Pipit,04-26,05-21,05-29
American Redstart,05-08,05-21,08-02
American Robin,03-21,05-14,10-27
American Wigeon,04-08,05-07,07-20
American Woodcock,03-18,04-14,06-05
American Golden-Plover,05-15,05-21,05-30
American Herring Gull,03-03,03-21,09-20
American Tree Sparrow,03-22,04-21,05-05
American White Pelican,04-09,05-31,09-12
American Three-toed Woodpecker,05-16,05-31,06-26
Bay-breasted Warbler,05-08,05-14,08-03
Baird's Sandpiper,05-08,05-14,06-06
Bald Eagle,03-02,03-21,06-06
Baltimore Oriole,05-07,05-21,07-06
Bank Swallow,05-03,05-21,08-21
Barn Swallow,04-30,05-31,09-06
Black-and-white Warbler,05-01,05-14,09-06
Belted Kingfisher,04-07,05-14,10-17
Black-billed Cuckoo,05-16,05-31,08-20
Black-billed Magpie,02-28,02-28,02-28
Black-bellied Plover,05-15,05-21,06-05
Blackburnian Warbler,05-07,05-31,08-21
Black-backed Woodpecker,04-20,05-07,05-14
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-10,05-21,05-30
Black Tern,05-15,05-21,07-27
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,04-11,05-14,07-10
Bobolink,05-09,05-31,07-22
Bohemian Waxwing,02-23,02-28,03-05
Bonaparte's Gull,04-22,05-14,06-03
Boreal Chickadee,05-13,05-14,05-15
Boreal Owl,04-17,04-21,04-26
Barred Owl,04-30,05-14,05-28
Brewer's Blackbird,04-24,05-31,08-08
Brown Creeper,04-02,05-07,06-06
Brown Thrasher,04-19,05-14,08-18
Broad-winged Hawk,04-17,04-30,09-23
Black-throated Blue Warbler,05-06,05-31,06-21
Black-throated Green Warbler,05-07,05-21,08-20
Bufflehead,04-07,04-30,05-19
Blue-headed Vireo,05-01,05-14,08-06
Blue-winged Teal,04-11,05-21,07-07
Cackling Goose,04-01,04-07,04-13
Cape May Warbler,05-02,05-14,06-21
Canada Goose,03-03,04-07,06-14
Canvasback,04-01,04-07,04-19
Canada Warbler,05-14,05-21,09-04
Caspian Tern,05-05,05-14,06-21
Cedar Waxwing,05-16,05-31,10-05
Chipping Sparrow,04-23,05-14,09-02
Chimney Swift,05-09,05-31,06-29
Chestnut-sided Warbler,05-07,05-21,07-21
Clay-colored Sparrow,04-30,05-14,08-24
Cliff Swallow,05-03,05-21,07-20
Common Goldeneye,02-28,04-07,05-31
Common Grackle,03-28,04-21,10-13
Common Loon,04-15,04-30,10-19
Common Merganser,03-15,04-07,09-29
Common Nighthawk,05-15,05-21,07-28
Common Raven,03-07,03-07,03-07
Common Tern,05-08,05-21,09-14
Common Yellowthroat,05-08,05-21,09-09
Connecticut Warbler,05-14,05-31,07-20
Cooper's Hawk,04-28,05-07,06-12
Dark-eyed Junco,03-20,04-21,05-08
Dickcissel,05-22,05-31,08-01
Double-crested Cormorant,04-04,04-30,09-27
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-13,05-21,05-30
Eared Grebe,05-09,05-21,07-05
Eastern Bluebird,04-25,05-21,09-13
Eastern Kingbird,05-11,05-21,08-31
Eastern Meadowlark,05-22,05-31,06-14
Eastern Phoebe,04-05,04-21,09-21
Eastern Towhee,05-08,05-31,06-06
Eastern Whip-poor-will,04-27,05-31,07-25
Eastern Wood-Pewee,05-16,05-31,08-31
Eurasian Collared-Dove,05-05,05-14,05-21
European Starling,03-04,03-21,03-31
Eurasian Tree Sparrow,05-01,05-14,05-27
Evening Grosbeak,02-20,03-07,03-13
Field Sparrow,05-22,05-31,06-06
Forster's Tern,05-01,05-14,05-20
Fox Sparrow,03-26,04-14,05-03
