Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-12,05-31,06-26
American Black Duck,03-14,03-21,04-01
American Bittern,04-05,04-30,08-31
American Crow,02-18,03-14,07-06
American Goldfinch,04-14,05-07,09-20
American Kestrel,03-14,04-07,05-01
American Pipit,04-26,05-14,05-21
American Redstart,05-02,05-21,09-14
American Robin,03-03,04-30,11-02
American Wigeon,02-27,04-07,05-03
American Woodcock,03-04,03-21,06-07
American Golden-Plover,05-08,05-14,05-22
American Herring Gull,03-09,03-14,03-17
American Tree Sparrow,04-05,04-07,04-08
American White Pelican,05-15,05-21,05-30
Bay-breasted Warbler,05-02,05-14,05-26
Baird's Sandpiper,04-22,04-30,05-06
Bald Eagle,02-23,03-14,04-01
Baltimore Oriole,04-30,05-14,07-13
Bank Swallow,04-24,05-14,08-24
Barrow's Goldeneye,02-21,02-28,03-15
Barnacle Goose,03-01,03-07,03-13
Barn Swallow,04-13,05-14,09-04
Black-and-white Warbler,04-23,05-14,07-07
Black-crowned Night Heron,04-18,05-14,09-13
Belted Kingfisher,03-25,04-21,10-21
Black-billed Cuckoo,05-09,05-21,08-15
Black-bellied Plover,05-09,05-21,05-30
Blackburnian Warbler,04-30,05-14,07-03
Black-capped Chickadee,04-30,04-30,04-30
Blackpoll Warbler,05-07,05-21,05-30
Black Scoter,04-21,04-21,04-21
Black Tern,05-04,05-21,08-13
Black Vulture,05-10,05-14,05-18
Blue Jay,04-22,05-07,06-05
Brown-headed Cowbird,03-19,04-30,07-17
Bobolink,05-01,05-21,07-06
Bohemian Waxwing,03-31,03-31,03-31
Bonaparte's Gull,04-22,04-30,05-11
Boreal Chickadee,02-28,02-28,02-28
Boreal Owl,04-02,04-07,04-12
Brant,05-15,05-21,05-29
Barred Owl,03-03,03-07,03-10
Brewer's Blackbird,04-08,04-14,04-20
Brown Creeper,03-26,04-07,05-16
Brown Thrasher,04-13,04-30,07-21
Broad-winged Hawk,04-11,04-30,09-23
Black-throated Blue Warbler,04-29,05-14,07-12
Black-throated Green Warbler,04-23,05-14,07-25
Bufflehead,03-14,04-07,05-05
Blue-gray Gnatcatcher,04-23,05-14,06-07
Blue-headed Vireo,04-17,04-30,07-11
Blue-winged Teal,03-22,04-21,06-04
Blue-winged Warbler,05-01,05-14,06-20
Cackling Goose,02-22,03-21,04-18
Cape May Warbler,04-27,05-14,05-21
Canada Goose,02-23,03-31,06-05
Canvasback,03-01,03-21,04-08
Canada Warbler,05-06,05-14,06-29
Carolina Wren,03-29,03-31,04-02
Caspian Tern,04-13,04-30,09-16
Western Cattle-Egret,05-15,05-21,05-29
Cedar Waxwing,05-14,05-31,09-22
Cerulean Warbler,05-12,05-21,07-03
Chipping Sparrow,04-08,05-07,10-07
Chimney Swift,04-27,05-31,08-29
Chestnut-sided Warbler,05-02,05-14,07-13
Chukar,03-01,03-07,03-20
Clay-colored Sparrow,05-01,05-21,07-06
Cliff Swallow,04-17,05-14,08-29
Common Gallinule,04-16,05-14,10-20
Common Goldeneye,03-07,03-21,03-29
Common Grackle,03-01,05-07,10-14
Common Loon,04-02,04-30,12-13
Common Merganser,03-15,03-31,04-29
Common Nighthawk,05-08,05-21,06-07
Indian Peafowl,05-15,05-21,05-29
Common Raven,02-20,02-28,03-07
Common Tern,04-23,05-14,10-10
Common Yellowthroat,05-01,05-21,09-25
Connecticut Warbler,05-08,05-14,05-20
Cooper's Hawk,04-30,04-30,04-30
Dark-eyed Junco,04-07,04-07,04-07
Double-crested Cormorant,03-31,04-30,12-09
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-04,05-14,05-31
Eastern Bluebird,03-14,04-07,08-03
Eastern Kingbird,04-30,05-21,08-27
Eastern Meadowlark,03-14,04-30,07-29
Eastern Screech-Owl,02-24,02-28,03-05
Eastern Phoebe,03-24,04-07,10-13
Eastern Towhee,04-05,05-14,08-13
Eastern Whip-poor-will,05-01,05-31,09-17
Eastern Wood-Pewee,05-10,05-31,09-12
Egyptian Goose,05-15,05-21,05-29
European Starling,02-19,03-07,06-21
Eurasian Wigeon,03-18,03-31,04-06
Evening Grosbeak,04-14,04-14,04-14
Field Sparrow,04-05,04-30,08-17
Fish Crow,05-08,05-14,05-20
Forster's Tern,05-10,05-21,06-05
Fox Sparrow,03-19,04-07,04-23
Gadwall,03-04,04-07,04-30
Great Black-backed Gull,03-07,03-07,03-07
Glaucous Gull,03-07,03-07,03-07
Glossy Ibis,04-08,04-14,04-20
Green-winged Teal,03-14,04-07,05-05
Golden-crowned Kinglet,03-22,04-07,04-27
Golden Eagle,03-02,03-07,03-16
Golden-winged Warbler,05-01,05-14,07-02
Graylag Goose,03-15,03-21,03-29
Grasshopper Sparrow,04-24,05-21,08-05
Great Blue Heron,03-18,05-31,11-18
Great Crested Flycatcher,05-01,05-21,08-18
Great Egret,04-07,05-31,10-20
Greater Scaup,03-17,04-07,04-19
Greater Yellowlegs,04-01,04-21,05-17
Great Gray Owl,02-28,02-28,02-28
Great Horned Owl,03-03,03-07,04-12
Green Heron,04-23,05-21,09-30
Gray Catbird,05-01,05-14,10-03
Greater White-fronted Goose,02-24,03-21,04-18
Gray-cheeked Thrush,05-07,05-14,05-31
Hairy Woodpecker,02-28,02-28,02-28
Harlequin Duck,04-29,04-30,05-01
Harris's Sparrow,03-10,03-14,03-18
Hermit Thrush,04-07,04-21,08-03
Hooded Merganser,03-06,03-31,04-21
Hooded Warbler,05-14,05-31,07-18
Horned Grebe,04-08,04-21,05-02
Horned Lark,02-18,03-07,03-20
House Finch,04-30,04-30,04-30
House Sparrow,03-07,03-07,03-07
Northern House Wren,04-23,05-31,09-16
Hudsonian Godwit,05-08,05-14,05-20
Indigo Bunting,05-07,05-31,08-13
Kentucky Warbler,05-15,05-21,05-29
