Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-14,05-31,08-12
American Black Duck,03-05,03-14,04-02
American Bittern,04-14,04-30,06-20
American Crow,02-23,03-14,10-15
American Goldfinch,05-03,05-14,09-22
American Kestrel,03-21,04-21,10-01
American Pipit,04-30,05-14,05-24
American Redstart,05-05,05-31,09-13
American Robin,03-16,05-21,10-31
American Wigeon,04-02,04-21,07-05
American Woodcock,03-21,04-14,05-11
American Herring Gull,02-28,03-21,12-06
American Tree Sparrow,04-02,04-21,04-29
American White Pelican,05-08,05-14,05-20
Bay-breasted Warbler,05-06,05-14,06-22
Bald Eagle,03-10,03-14,03-21
Baltimore Oriole,05-08,05-21,05-31
Bank Swallow,05-09,05-31,07-06
Barrow's Goldeneye,03-12,03-14,03-18
Barn Swallow,04-18,05-31,08-25
Black-and-white Warbler,05-01,05-14,09-08
Black-crowned Night Heron,04-07,05-14,09-14
Belted Kingfisher,04-03,04-21,10-11
Black-billed Cuckoo,05-14,05-31,08-19
Black-bellied Plover,05-15,05-21,06-04
Blackburnian Warbler,05-01,05-21,07-12
Black-backed Woodpecker,03-08,03-14,03-17
Black-capped Chickadee,02-24,02-28,03-01
Blackpoll Warbler,05-08,05-21,05-30
Black Tern,05-15,05-21,05-30
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,03-30,05-07,06-17
Bobolink,05-07,05-21,07-29
Bohemian Waxwing,03-21,03-21,03-21
Bonaparte's Gull,04-25,05-21,05-30
Boreal Chickadee,02-27,02-28,03-01
Boreal Owl,02-28,02-28,02-28
Brant,04-25,05-07,05-18
Barred Owl,04-10,04-14,04-20
Brewer's Blackbird,04-08,04-14,04-20
Brown Creeper,04-02,04-21,05-04
Brown Thrasher,04-21,05-14,07-31
Broad-winged Hawk,04-16,04-30,09-14
Black-throated Blue Warbler,05-02,05-14,07-12
Black-throated Green Warbler,04-30,05-14,07-19
Bufflehead,03-27,04-21,05-15
Blue-headed Vireo,04-25,05-07,07-14
Blue-winged Teal,04-10,05-31,07-14
Cackling Goose,03-22,03-31,04-06
Cape May Warbler,05-01,05-14,05-31
Canada Goose,03-02,04-07,11-24
Canvasback,03-17,03-21,03-27
Canada Warbler,05-13,05-31,06-30
Carolina Wren,04-22,04-30,05-06
Caspian Tern,04-19,05-07,09-09
Cedar Waxwing,05-16,05-31,09-17
Chipping Sparrow,04-17,05-14,10-09
Chimney Swift,04-26,05-31,06-28
Chestnut-sided Warbler,05-05,05-21,09-09
Clay-colored Sparrow,05-04,05-21,05-31
Cliff Swallow,04-22,05-21,08-23
Common Gallinule,05-08,05-14,05-29
Common Goldeneye,03-07,04-07,05-09
Common Grackle,03-14,05-21,10-10
Common Loon,04-09,05-21,11-11
Common Merganser,03-09,04-07,05-28
Common Nighthawk,05-07,05-31,09-11
Common Raven,02-26,03-14,03-25
Common Tern,04-22,04-30,05-20
Common Yellowthroat,05-06,05-21,09-24
Connecticut Warbler,05-08,05-14,05-20
Cooper's Hawk,05-08,05-14,05-20
Dark-eyed Junco,03-23,04-14,05-07
Dickcissel,05-08,05-14,05-20
Double-crested Cormorant,03-29,04-30,11-01
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-09,05-21,06-04
Eastern Bluebird,05-01,05-31,10-26
Eastern Kingbird,05-03,05-21,08-30
Eastern Meadowlark,03-28,05-07,06-14
Eastern Phoebe,04-03,05-31,10-03
Eastern Towhee,05-01,05-07,05-13
Eastern Whip-poor-will,05-02,05-31,07-28
Eastern Wood-Pewee,05-10,05-31,07-28
European Starling,02-27,03-21,07-21
Eurasian Tree Sparrow,05-15,05-21,05-30
Evening Grosbeak,04-07,04-07,04-07
Fox Sparrow,03-31,04-14,05-01
Franklin's Gull,05-23,05-31,06-06
Gadwall,04-07,04-30,07-12
Great Black-backed Gull,03-09,04-07,04-24
Gray-crowned Rosy-Finch,02-28,02-28,02-28
Glaucous Gull,03-05,04-07,04-16
Green-winged Teal,04-01,04-21,06-14
Golden-crowned Kinglet,03-30,04-21,05-22
Golden-winged Warbler,05-09,05-21,05-30
Great Blue Heron,03-31,05-31,11-08
Great Crested Flycatcher,05-09,05-31,07-14
Greater Scaup,04-08,05-07,05-14
Greater Yellowlegs,04-10,04-21,05-07
Great Horned Owl,03-25,03-31,04-05
Gray Catbird,05-03,05-21,09-25
Canada Jay,02-28,02-28,02-28
Greater White-fronted Goose,03-01,03-07,04-04
Gray-cheeked Thrush,05-08,05-14,05-29
Gyrfalcon,03-14,03-14,03-14
Hairy Woodpecker,02-28,02-28,02-28
Hermit Thrush,04-15,05-07,08-02
Hooded Merganser,03-13,04-07,12-10
Horned Grebe,04-14,04-30,05-08
Horned Lark,04-23,05-07,05-13
House Sparrow,03-30,03-31,04-01
Northern House Wren,05-01,05-14,09-13
Indigo Bunting,05-11,05-31,07-31
Killdeer,03-21,05-07,07-05
Lapland Longspur,05-06,05-07,05-08
Lesser Black-backed Gull,04-15,04-21,05-03
Least Flycatcher,05-01,05-14,07-06
Least Sandpiper,05-05,05-14,05-31
Lesser Scaup,03-28,04-30,05-27
Lesser Yellowlegs,04-21,05-14,05-21
Lincoln's Sparrow,05-01,05-14,06-01
Little Gull,05-15,05-21,05-30
Long-eared Owl,04-01,04-14,04-20
Long-tailed Duck,04-18,04-30,05-03
Magnolia Warbler,05-03,05-21,07-14
Mallard,03-04,04-21,06-12
Merlin,03-16,04-07,10-11
Mourning Dove,03-17,04-07,04-22
Mourning Warbler,05-14,05-31,07-16
Muscovy Duck,05-08,05-14,05-20
Mute Swan,04-08,04-14,04-30
Nashville Warbler,04-30,05-14,09-29
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,03-21,03-21,03-21
Northern Flicker,04-05,04-30,09-26
American Goshawk,03-08,03-14,03-20
Northern Harrier,03-26,04-21,05-29
Northern Mockingbird,04-25,05-21,06-02
Northern Parula,05-02,05-14,06-29
Northern Pintail,04-12,04-21,04-26
Northern Shoveler,04-08,04-30,06-26
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-27,05-21,07-02
Northern Rough-winged Swallow,05-23,05-31,06-06
Northern Saw-whet Owl,02-24,03-07,03-25
Olive-sided Flycatcher,05-23,05-31,06-14
Orange-crowned Warbler,05-07,05-14,05-25
Osprey,04-15,04-21,06-13
Ovenbird,05-03,05-21,07-19
Palm Warbler,04-23,05-07,05-20
Pectoral Sandpiper,04-22,04-30,05-06
Peregrine Falcon,03-17,03-21,03-28
Philadelphia Vireo,05-07,05-21,09-20
Pied-billed Grebe,04-02,04-30,07-13
Pileated Woodpecker,03-09,03-14,03-18
Pine Grosbeak,02-24,02-28,03-01
Pine Siskin,02-13,03-07,03-13
Pine Warbler,04-16,05-31,07-21
Purple Finch,03-21,05-07,05-27
Purple Sandpiper,03-22,03-31,04-06
Red-breasted Merganser,04-11,04-14,04-17
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,02-19,03-14,03-20
Redhead,04-02,05-07,11-11
Redpoll,02-12,02-28,03-15
Red-eyed Vireo,05-11,05-31,09-15
Red-necked Grebe,04-15,04-30,05-25
Red-necked Phalarope,05-23,05-31,06-06
Red-tailed Hawk,05-10,05-14,05-26
Red-winged Blackbird,03-14,04-30,08-18
Ring-billed Gull,03-08,04-21,11-27
Ring-necked Duck,03-23,04-21,11-17
Rose-breasted Grosbeak,05-01,05-14,07-04
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,03-20,04-14,04-25
Ross's Goose,03-22,03-31,04-07
Ruby-throated Hummingbird,05-04,05-21,09-18
Ruby-crowned Kinglet,04-11,04-30,05-23
Ruddy Duck,05-14,05-31,06-26
Ruddy Turnstone,05-23,05-31,06-06
Ruffed Grouse,04-23,04-30,05-11
Rusty Blackbird,04-06,04-21,05-10
Sandhill Crane,03-22,04-14,07-06
Sanderling,05-23,05-31,06-06
Savannah Sparrow,04-18,05-14,08-17
Scarlet Tanager,05-09,05-21,06-28
Sedge Wren,05-10,05-21,05-30
Semipalmated Plover,05-14,05-21,06-02
Semipalmated Sandpiper,05-11,05-21,06-05
Short-billed Dowitcher,05-08,05-14,05-20
Short-eared Owl,04-08,04-14,04-20
Sharp-shinned Hawk,04-02,05-07,05-13
Snow Bunting,03-15,03-21,03-23
Snow Goose,04-07,04-14,04-29
Snowy Owl,03-31,03-31,03-31
Solitary Sandpiper,04-29,05-14,05-23
Song Sparrow,03-22,04-30,10-18
Sora,04-21,05-14,08-15
