Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-17,05-31,08-15
American Black Duck,03-26,04-07,05-07
American Bittern,04-23,05-21,06-24
American Crow,02-26,03-31,05-22
American Goldfinch,05-05,05-21,06-05
American Kestrel,04-01,04-30,10-05
American Pipit,04-23,05-14,05-27
American Redstart,05-10,05-21,09-15
American Robin,03-25,04-30,08-17
American Wigeon,04-02,04-30,05-15
American Woodcock,03-22,04-07,06-12
American Golden-Plover,05-05,05-21,06-05
American Herring Gull,02-26,04-07,06-03
American Tree Sparrow,04-01,04-21,05-07
American White Pelican,04-10,05-21,09-05
Arctic Tern,05-15,05-21,05-29
American Three-toed Woodpecker,03-14,03-14,03-14
Bay-breasted Warbler,05-09,05-31,09-14
Baird's Sandpiper,05-15,05-21,05-29
Bald Eagle,03-14,04-07,05-06
Baltimore Oriole,05-03,05-21,05-30
Bank Swallow,05-04,05-21,08-07
Barn Swallow,04-30,05-21,09-03
Black-and-white Warbler,05-03,05-21,09-11
Black-crowned Night Heron,05-08,05-14,05-20
Belted Kingfisher,04-11,04-30,10-15
Black-billed Cuckoo,05-16,05-31,10-12
Black-billed Magpie,03-21,03-21,03-21
Black-bellied Plover,05-08,05-21,05-31
Blackburnian Warbler,05-08,05-21,07-21
Black-backed Woodpecker,02-20,02-28,03-02
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-08,05-21,06-02
Black Scoter,04-30,05-07,05-29
Black Tern,05-15,05-21,06-04
Black Vulture,04-10,04-14,04-18
Blue Grosbeak,04-22,04-30,05-06
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,04-09,04-30,06-08
Bobolink,05-03,05-21,08-06
Bohemian Waxwing,03-07,03-07,03-07
Bonaparte's Gull,04-29,05-14,07-07
Boreal Chickadee,03-07,03-07,03-07
Boreal Owl,02-28,03-07,03-14
Barred Owl,03-11,03-31,04-04
Brewer's Blackbird,05-14,05-14,05-14
Brown Creeper,04-02,04-30,05-07
Brown Thrasher,05-07,05-14,06-03
Broad-winged Hawk,04-20,05-07,09-29
Black-throated Blue Warbler,05-06,05-21,07-19
Black-throated Green Warbler,05-05,05-21,09-15
Bufflehead,04-07,04-30,05-19
Blue-gray Gnatcatcher,05-22,05-31,06-06
Blue-headed Vireo,05-02,05-21,09-30
Blue-winged Teal,04-04,04-30,05-26
Cackling Goose,04-07,04-14,05-04
Cape May Warbler,05-03,05-21,06-29
Canada Goose,03-12,04-07,06-14
Canvasback,04-17,04-30,05-07
Canada Warbler,05-14,05-21,08-27
Carolina Wren,02-28,02-28,02-28
Caspian Tern,05-06,05-21,05-29
Western Cattle-Egret,04-22,04-30,05-06
Cedar Waxwing,05-17,05-31,10-08
Chestnut-collared Longspur,05-15,05-21,05-29
Chipping Sparrow,04-25,05-14,09-13
Chimney Swift,05-10,05-31,08-29
Chestnut-sided Warbler,05-10,05-21,07-23
Clay-colored Sparrow,05-01,05-14,08-16
Cliff Swallow,05-05,05-21,08-06
Common Goldeneye,03-15,04-30,06-03
Common Grackle,03-31,05-07,07-16
Common Loon,04-16,04-30,11-04
Common Merganser,03-24,04-30,06-14
Common Nighthawk,05-15,05-31,07-20
Common Raven,02-28,02-28,02-28
Common Tern,05-01,05-07,07-07
Common Yellowthroat,05-10,05-21,09-30
Connecticut Warbler,05-13,05-31,07-03
Cooper's Hawk,03-31,04-14,04-20
Dark-eyed Junco,03-27,04-14,05-07
Dickcissel,05-01,05-07,05-20
Double-crested Cormorant,04-06,05-14,09-27
Downy Woodpecker,03-07,03-07,03-07
Dunlin,05-08,05-21,05-31
Eared Grebe,05-15,05-21,05-29
Eastern Bluebird,05-04,05-21,10-23
Eastern Kingbird,05-08,05-21,06-28
Eastern Meadowlark,04-08,04-14,04-20
Eastern Phoebe,04-07,05-07,09-28
Eastern Towhee,02-28,02-28,02-28
Eastern Whip-poor-will,05-01,05-07,05-13
Eastern Wood-Pewee,05-17,05-31,07-05
Eurasian Collared-Dove,05-15,05-21,05-29
European Goldfinch,05-15,05-21,05-29
Eurasian Siskin,04-01,04-07,04-25
European Starling,04-30,04-30,04-30
Eurasian Wigeon,04-02,04-14,05-06
Eurasian Tree Sparrow,05-01,05-07,05-13
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,05-09,05-21,05-29
Fox Sparrow,04-02,04-14,05-04
Franklin's Gull,05-01,05-07,05-13
Gadwall,04-01,04-07,05-19
Great Black-backed Gull,03-04,03-07,03-10
Gray-crowned Rosy-Finch,03-02,03-07,03-12
Glaucous Gull,03-04,03-07,03-22
Green-winged Teal,04-01,04-30,05-17
Golden-crowned Kinglet,03-26,05-31,10-27
Golden Eagle,05-07,05-07,05-07
Golden-winged Warbler,05-08,05-14,05-26
Grasshopper Sparrow,05-15,05-21,05-29
Great Blue Heron,04-02,05-21,09-12
Great Crested Flycatcher,05-10,05-21,05-29
Great Egret,04-07,04-14,04-20
Greater Scaup,04-09,04-30,05-25
Greater Yellowlegs,04-11,04-30,05-18
Great Gray Owl,03-06,03-14,03-23
