Species,Mass Arrival Date,Peak Date,Peak Over Date
African Collared-Dove,05-01,05-07,05-13
Alder Flycatcher,05-14,05-31,08-07
American Black Duck,03-21,04-07,04-21
American Avocet,05-23,05-31,06-06
American Bittern,04-14,05-07,06-29
American Crow,02-23,03-21,06-24
American Goldfinch,05-05,05-14,05-23
American Kestrel,03-22,04-21,06-07
American Pipit,04-23,05-14,05-26
American Redstart,05-05,05-21,09-09
American Robin,03-15,05-14,10-27
American Wigeon,03-27,04-21,06-15
American Woodcock,03-17,04-14,06-04
American Golden-Plover,04-08,04-14,04-20
American Herring Gull,02-24,03-14,05-30
American Tree Sparrow,03-30,04-21,05-05
American White Pelican,04-20,05-07,05-20
Anhinga,04-22,04-30,05-06
Arctic Tern,05-15,05-21,05-30
American Three-toed Woodpecker,05-29,05-31,06-02
Bay-breasted Warbler,05-03,05-21,09-11
Bald Eagle,02-26,03-31,04-29
Baltimore Oriole,05-02,05-14,06-28
Bank Swallow,04-23,05-14,07-25
Barrow's Goldeneye,03-14,03-14,03-14
Barn Swallow,04-17,05-14,09-04
Black-and-white Warbler,04-30,05-21,09-09
Black-crowned Night Heron,04-06,05-07,10-01
Belted Kingfisher,04-02,04-21,10-12
Black-billed Cuckoo,05-15,05-31,08-01
Black-billed Magpie,03-07,03-07,03-07
Black-bellied Plover,05-08,05-14,05-30
Blackburnian Warbler,05-04,05-21,07-21
Black-backed Woodpecker,03-07,03-07,03-07
Black-capped Chickadee,03-07,03-07,03-07
Black-headed Grosbeak,02-28,02-28,02-28
Blackpoll Warbler,05-07,05-21,05-31
Black Scoter,04-18,04-21,04-25
Black Tern,05-08,05-21,08-05
Black Vulture,05-01,05-07,05-13
Blue Jay,05-13,05-14,05-15
Brown-headed Cowbird,04-02,05-07,06-20
Bobolink,05-06,05-31,07-15
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,04-27,05-14,06-01
Boreal Chickadee,02-25,02-28,03-07
Boreal Owl,04-07,04-14,04-24
Barred Owl,03-28,04-14,04-30
Brewer's Blackbird,04-15,04-30,07-27
Brown Creeper,04-02,04-21,05-14
Brown Thrasher,04-17,05-14,07-15
Broad-winged Hawk,04-15,04-30,09-21
Black-throated Blue Warbler,05-03,05-21,09-10
Black-throated Green Warbler,04-30,05-21,08-01
Bufflehead,03-23,04-21,05-14
Blue-gray Gnatcatcher,05-08,05-14,05-20
Blue-headed Vireo,04-25,05-14,10-02
Bullock's Oriole,04-04,04-14,04-20
Blue-winged Teal,04-04,04-30,06-12
Blue-winged Warbler,04-22,04-30,05-06
Cackling Goose,03-15,04-21,05-02
Cape May Warbler,05-01,05-14,06-22
Canada Goose,03-08,04-07,06-18
Canvasback,03-16,03-21,03-31
Canada Warbler,05-10,05-31,07-12
Carolina Wren,03-14,03-14,03-14
Cassin's Kingbird,05-15,05-21,05-30
Caspian Tern,04-16,05-07,09-11
Cedar Waxwing,05-16,05-31,09-21
Chipping Sparrow,04-18,05-07,10-05
Chimney Swift,04-29,05-14,09-01
Chestnut-sided Warbler,05-06,05-21,07-16
Clay-colored Sparrow,04-30,05-14,07-31
Cliff Swallow,04-16,05-07,08-18
Common Gallinule,05-06,05-14,07-11
Common Goldeneye,03-20,04-07,04-24
Common Grackle,03-15,05-07,10-15
Common Loon,04-10,04-30,11-21
Common Merganser,03-17,04-21,05-15
Common Nighthawk,05-15,05-21,07-07
Common Raven,03-07,03-07,03-07
Common Tern,04-27,05-14,08-25
Common Yellowthroat,05-05,05-21,09-24
Connecticut Warbler,05-12,05-31,06-06
Cooper's Hawk,04-04,04-21,05-07
