Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-15,05-21,05-29
Alder Flycatcher,05-14,05-31,06-29
American Black Duck,03-03,03-21,04-11
American Avocet,05-15,05-21,05-30
American Bittern,04-15,05-07,06-27
American Crow,02-19,03-07,04-18
American Goldfinch,04-27,05-07,05-20
American Kestrel,03-15,04-14,05-14
American Pipit,04-24,05-07,05-21
American Redstart,05-02,05-31,09-19
American Robin,03-02,05-07,10-25
American Wigeon,03-02,04-07,05-04
American Woodcock,02-25,03-31,06-01
American Golden-Plover,05-15,05-21,05-29
American Herring Gull,02-28,03-07,03-19
American Tree Sparrow,03-18,04-07,04-24
American White Pelican,04-22,05-07,05-13
Bay-breasted Warbler,05-02,05-14,05-29
Baird's Sandpiper,05-15,05-21,05-29
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-28,05-14,08-24
Bank Swallow,04-24,05-14,08-18
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-14,05-14,08-31
Black-and-white Warbler,04-24,05-14,09-12
Black-crowned Night Heron,04-15,05-31,08-25
Belted Kingfisher,03-23,04-14,10-14
Black-billed Cuckoo,05-10,05-31,08-23
Black-bellied Plover,05-08,05-21,06-07
Blackburnian Warbler,04-29,05-14,06-18
Black-capped Chickadee,05-07,05-07,05-07
Black-necked Stilt,04-15,04-21,04-29
Blackpoll Warbler,05-05,05-21,06-01
Black Scoter,03-21,03-21,03-21
Black Tern,05-09,05-21,08-16
Black Vulture,04-21,04-30,05-06
Blue Grosbeak,05-01,05-07,05-13
Blue Jay,04-26,05-07,06-04
Brown-headed Cowbird,03-20,05-07,07-09
Bobolink,04-30,05-31,08-25
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,04-08,04-14,04-21
Boreal Owl,03-20,03-21,03-22
Brant,03-08,03-14,03-20
Barred Owl,04-04,04-07,04-10
Brewer's Blackbird,04-07,05-31,09-09
Brown Creeper,03-21,04-07,05-13
Brown Thrasher,04-12,05-07,07-12
Broad-winged Hawk,04-13,04-30,07-19
Black-throated Blue Warbler,04-29,05-14,06-17
Black-throated Green Warbler,04-24,05-14,09-26
Bufflehead,03-14,04-14,05-02
Blue-gray Gnatcatcher,04-18,05-14,06-02
Blue-headed Vireo,04-21,05-14,07-26
Blue-winged Teal,03-22,04-21,06-06
Blue-winged Warbler,05-03,05-21,06-07
Cackling Goose,02-27,03-14,04-08
Cape May Warbler,04-26,05-14,05-21
Canada Goose,02-23,03-21,06-05
Canvasback,03-10,03-14,03-20
Canada Warbler,05-08,05-21,06-19
Carolina Wren,03-26,03-31,04-02
Caspian Tern,04-14,05-21,09-12
Western Cattle-Egret,05-01,05-07,05-13
Cedar Waxwing,05-14,05-31,09-24
Cerulean Warbler,05-04,05-14,06-19
Chipping Sparrow,04-08,05-07,10-08
Chimney Swift,04-28,05-21,07-11
Chestnut-sided Warbler,05-01,05-14,07-03
Cinnamon Teal,04-22,04-30,05-06
Clay-colored Sparrow,04-23,05-14,07-06
Cliff Swallow,04-19,05-21,08-20
Common Gallinule,05-15,05-31,06-06
Common Goldeneye,03-14,03-14,03-14
Common Grackle,03-02,05-07,09-20
Common Loon,03-31,04-14,12-12
Common Merganser,03-12,04-14,04-25
Common Nighthawk,05-10,05-21,06-05
Common Raven,03-03,03-07,03-09
Common Tern,05-01,05-21,08-17
Common Yellowthroat,05-02,05-31,09-26
Connecticut Warbler,05-09,05-21,05-29
Cooper's Hawk,04-25,04-30,05-06
Dark-eyed Junco,03-24,04-07,04-27
Dickcissel,04-22,04-30,05-06
Double-crested Cormorant,03-26,04-30,10-25
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-03,05-14,05-31
Eared Grebe,04-12,04-21,04-25
Eastern Bluebird,03-16,05-14,08-21
Eastern Kingbird,04-30,05-21,08-25
Eastern Meadowlark,03-08,04-14,08-18
Eastern Screech-Owl,02-21,02-28,03-05
Eastern Phoebe,03-23,04-07,09-30
Eastern Towhee,04-03,04-30,07-20
Eastern Whip-poor-will,04-25,05-14,08-07
Eastern Wood-Pewee,05-10,05-31,09-01
European Starling,02-23,03-07,07-13
Eurasian Wigeon,04-14,04-21,05-05
Eurasian Tree Sparrow,03-31,03-31,03-31
Evening Grosbeak,04-25,05-07,05-13
Field Sparrow,04-01,04-21,08-05
Fish Crow,05-01,05-07,05-13
Forster's Tern,05-01,05-07,05-13
Fox Sparrow,03-18,04-07,04-23
Gadwall,03-01,03-31,05-08
Great Black-backed Gull,03-14,03-14,03-14
Glaucous Gull,03-21,03-21,03-21
Glossy Ibis,05-15,05-21,05-30
Green-winged Teal,03-06,04-14,05-09
Golden-crowned Kinglet,03-21,04-14,05-02
Golden Eagle,03-05,03-14,03-22
Golden-winged Warbler,05-07,05-21,06-18
Graylag Goose,05-08,05-14,05-20
Grasshopper Sparrow,05-03,05-31,08-04
Great Blue Heron,03-22,05-21,11-11
Great Crested Flycatcher,05-02,05-31,08-12
Great Egret,04-05,05-31,10-05
Greater Scaup,03-14,03-14,03-14
Greater Yellowlegs,04-02,04-21,05-14
Great Gray Owl,05-14,05-14,05-14
Great Horned Owl,03-07,03-14,03-25
Green Heron,04-21,05-21,09-14
Gray Catbird,04-30,05-14,09-30
