Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-23,05-31,06-06
Alder Flycatcher,05-13,05-31,08-09
American Black Duck,02-28,02-28,02-28
American Bittern,04-18,05-21,05-27
American Crow,02-21,02-28,04-24
American Goldfinch,04-18,05-07,10-09
American Kestrel,03-23,03-31,04-19
American Pipit,04-30,05-07,05-19
American Redstart,05-01,05-14,07-17
American Robin,02-25,04-30,11-15
American Wigeon,02-23,03-31,04-16
American Woodcock,02-25,03-14,04-14
American Golden-Plover,04-15,04-21,04-29
American Herring Gull,03-07,03-07,03-07
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-04,05-14,05-21
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-24,05-14,08-27
Bank Swallow,04-17,05-14,08-31
Barn Swallow,04-12,05-07,09-11
Black-and-white Warbler,04-21,05-14,05-26
Black-crowned Night Heron,04-15,04-21,05-18
Belted Kingfisher,04-02,05-07,05-21
Black-billed Cuckoo,05-08,05-21,06-21
Black-bellied Plover,05-08,05-14,05-20
Blackburnian Warbler,04-30,05-14,05-23
Black-capped Chickadee,04-30,04-30,04-30
Black-necked Stilt,05-15,05-21,05-30
Blackpoll Warbler,05-08,05-21,05-31
Black Tern,05-08,05-14,05-20
Blue Jay,04-20,04-30,05-26
Brown-headed Cowbird,03-12,04-30,07-19
Bobolink,04-30,05-14,09-07
Bohemian Waxwing,03-23,03-31,04-06
Bonaparte's Gull,03-21,03-31,04-27
Barred Owl,03-01,03-07,03-17
Brown Creeper,03-07,03-07,03-07
Brown Thrasher,04-07,04-21,07-14
Broad-winged Hawk,04-08,04-14,05-31
Black-throated Blue Warbler,04-30,05-14,05-21
Black-throated Green Warbler,04-24,05-14,05-21
Bufflehead,02-26,03-31,04-22
Blue-gray Gnatcatcher,04-18,05-07,07-16
Blue-headed Vireo,04-15,05-14,05-21
Blue-winged Teal,03-16,04-14,05-03
Blue-winged Warbler,04-30,05-31,07-04
Cackling Goose,02-21,02-28,03-21
California Gull,04-15,04-21,04-29
Cape May Warbler,04-30,05-14,05-20
Canada Goose,02-21,03-14,05-21
Canvasback,03-16,03-21,04-05
Canada Warbler,05-08,05-14,07-12
Carolina Wren,04-15,05-14,05-21
Caspian Tern,04-09,04-21,05-19
Western Cattle-Egret,05-01,05-07,05-13
Cedar Waxwing,05-01,05-21,11-12
Cerulean Warbler,04-22,05-07,05-20
Chipping Sparrow,04-05,04-30,10-17
Chimney Swift,04-28,05-14,09-06
Chestnut-sided Warbler,05-01,05-14,05-30
Chukar,05-01,05-07,05-13
Clay-colored Sparrow,04-30,05-14,07-31
Cliff Swallow,04-21,05-21,09-01
Common Gallinule,05-21,05-31,06-27
Common Goldeneye,02-28,02-28,02-28
Common Grackle,02-23,05-14,09-18
Common Loon,03-25,04-21,05-13
Common Merganser,02-23,03-14,03-23
Common Nighthawk,05-09,05-21,06-05
Common Raven,04-13,04-14,04-22
Common Tern,04-11,04-21,04-29
Common Yellowthroat,04-26,05-21,08-14
Connecticut Warbler,05-15,05-21,05-30
Cooper's Hawk,04-14,04-14,04-14
Dark-eyed Junco,02-28,02-28,02-28
Double-crested Cormorant,03-31,05-07,05-21
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-07,05-21,05-29
Eastern Bluebird,03-07,03-31,05-12
Eastern Kingbird,04-30,05-21,08-29
Eastern Meadowlark,03-04,04-21,08-06
Eastern Screech-Owl,03-01,03-07,03-12
Eastern Phoebe,03-17,04-14,10-22
Eastern Towhee,04-01,04-30,08-29
Eastern Whip-poor-will,05-01,05-07,05-13
Eastern Wood-Pewee,05-08,05-21,09-18
European Starling,02-21,04-14,08-16
Eurasian Wigeon,04-08,04-14,04-21
Evening Grosbeak,03-07,03-07,03-07
Field Sparrow,03-29,04-21,08-26
Fox Sparrow,03-19,04-07,04-15
Gadwall,02-26,03-31,04-11
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,03-07,03-07,03-07
Glaucous-winged Gull,03-21,03-21,03-21
Green-winged Teal,03-09,03-21,04-21
Golden-crowned Kinglet,03-21,03-31,04-15
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,05-08,05-14,05-29
Grasshopper Sparrow,04-22,05-21,08-11
Great Blue Heron,03-12,05-21,11-19
Great Crested Flycatcher,05-01,05-21,08-29
Great Egret,05-13,05-31,06-07
Greater Scaup,03-18,03-21,03-24
Greater Yellowlegs,04-03,04-21,05-24
Great Horned Owl,04-06,04-07,04-08
Green Heron,04-23,05-14,09-26
Gray Catbird,04-24,05-14,10-03
Gray Partridge,02-28,02-28,02-28
Greater White-fronted Goose,02-22,02-28,03-11
Gray-cheeked Thrush,05-08,05-14,05-28
Hairy Woodpecker,04-30,04-30,04-30
Hermit Thrush,04-08,04-21,05-11
Hooded Merganser,02-24,03-21,04-14
Hooded Warbler,05-15,05-31,06-12
Horned Grebe,03-16,03-31,04-20
Horned Lark,03-27,04-07,04-14
House Finch,03-07,03-07,03-07
House Sparrow,04-30,04-30,04-30
Northern House Wren,04-18,05-14,10-01
Indigo Bunting,05-04,05-21,08-23
Killdeer,02-28,05-21,10-21
Lapland Longspur,03-24,04-14,04-20
Lesser Black-backed Gull,04-21,04-21,04-21
Least Flycatcher,05-01,05-14,05-29
Least Sandpiper,05-03,05-14,05-29
Lesser Scaup,03-09,03-31,04-11
Lesser Yellowlegs,04-14,05-07,05-25
Lincoln's Sparrow,04-25,05-14,05-21
Long-billed Dowitcher,04-21,04-30,05-06
Long-eared Owl,03-14,03-14,03-14
Long-tailed Duck,02-22,02-28,03-06
Magnolia Warbler,05-03,05-14,05-23
Mallard,02-24,03-21,05-21
Marsh Wren,05-09,05-21,10-07
Merlin,03-03,03-07,03-08
Mourning Dove,03-15,04-30,10-03
Mourning Warbler,05-10,05-31,07-04
Muscovy Duck,04-02,04-07,04-13
Mute Swan,02-22,02-28,03-07
Nashville Warbler,04-22,05-07,05-20
Neotropic Cormorant,05-01,05-07,05-16
Northern Cardinal,04-21,05-07,06-19
Northern Flicker,03-23,04-21,10-17
Northern Harrier,03-30,04-07,04-08
Northern Mockingbird,04-20,04-30,05-03
Northern Parula,04-29,05-14,05-21
Northern Pintail,02-20,03-14,04-07
Northern Shoveler,03-05,03-31,04-22
Northern Shrike,02-19,02-28,03-11
Northern Waterthrush,04-22,05-14,07-09
Northern Rough-winged Swallow,04-11,05-14,08-17
Northern Saw-whet Owl,02-24,03-14,03-17
Olive-sided Flycatcher,05-08,05-14,05-20
Orchard Oriole,04-27,05-14,07-23
Orange-crowned Warbler,04-24,05-14,05-23
Osprey,03-26,05-14,09-21
Ovenbird,04-28,05-14,07-06
Palm Warbler,04-18,04-30,05-19
Pectoral Sandpiper,04-14,04-21,05-06
Peregrine Falcon,03-04,03-07,03-10
Philadelphia Vireo,05-07,05-14,05-28
Pied-billed Grebe,03-15,03-31,04-30
Pileated Woodpecker,05-27,05-31,06-16
Pine Siskin,02-21,03-07,03-14
Pine Warbler,04-05,04-30,07-15
Prothonotary Warbler,04-08,04-14,04-21
Purple Finch,04-23,04-30,05-07
Purple Martin,04-22,05-21,09-16
Red-breasted Merganser,03-18,03-21,03-25
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,04-08,05-07,05-31
Red Crossbill,03-11,03-14,03-17
Redhead,03-05,03-14,04-08
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-06,05-21,09-25
Red-headed Woodpecker,05-07,05-14,06-06
Red-necked Grebe,04-16,04-21,04-29
Red-necked Phalarope,05-15,05-21,05-29
Red-shouldered Hawk,03-07,03-07,03-07
Red-tailed Hawk,03-11,03-14,03-22
Red-winged Blackbird,02-22,04-21,08-11
Ring-billed Gull,02-26,03-21,04-29
Ring-necked Duck,02-26,03-14,04-25
Rose-breasted Grosbeak,04-24,05-14,08-24
Rock Pigeon,03-04,03-14,03-30
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-22,02-28,03-17
Ruby-throated Hummingbird,04-28,05-14,09-18
Ruby-crowned Kinglet,04-07,04-21,05-14
Ruddy Duck,03-10,03-31,04-25
Ruffed Grouse,05-10,05-14,05-20
Rusty Blackbird,04-03,04-14,05-07
Sandhill Crane,02-22,03-07,05-24
Savannah Sparrow,03-31,04-14,08-08
Scarlet Tanager,05-02,05-14,07-04
Semipalmated Plover,05-07,05-14,05-31
Semipalmated Sandpiper,05-13,05-21,05-31
Short-billed Dowitcher,05-08,05-21,05-30
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,03-07,03-07,03-07
Slaty-backed Gull,02-28,02-28,02-28
Smith's Longspur,04-08,04-14,04-20
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-22,05-31,06-06
Snow Goose,02-28,03-07,03-14
Snowy Owl,05-07,05-07,05-07
Solitary Sandpiper,04-22,05-14,05-21
Song Sparrow,03-07,05-31,11-01
Sora,04-15,04-21,04-30
Spotted Sandpiper,04-19,05-14,09-12
Stilt Sandpiper,05-01,05-07,05-13
Summer Tanager,05-01,05-07,05-20
Swamp Sparrow,04-09,04-14,08-06
Swainson's Thrush,05-07,05-14,05-24
Tennessee Warbler,05-04,05-14,05-24
Tree Swallow,03-25,05-07,08-11
Trumpeter Swan,02-24,03-14,03-20
Tufted Titmouse,04-19,05-14,05-24
Tundra Swan,02-21,03-07,03-25
Turkey Vulture,03-03,03-31,11-03
Upland Sandpiper,04-08,04-14,04-30
Veery,05-01,05-14,07-15
Vesper Sparrow,03-27,04-07,04-29
Virginia Rail,04-09,04-30,05-05
Warbling Vireo,04-26,05-21,07-30
White-breasted Nuthatch,04-30,04-30,04-30
White-crowned Sparrow,04-22,05-07,05-16
White-eyed Vireo,04-15,04-21,05-12
White-rumped Sandpiper,05-15,05-21,05-30
White-throated Sparrow,04-13,04-30,05-11
White-winged Crossbill,02-12,02-28,03-01
White-winged Scoter,05-22,05-31,06-06
Willow Flycatcher,05-11,05-31,08-01
Wilson's Phalarope,05-05,05-14,06-04
Wilson's Snipe,04-01,04-21,04-30
Wild Turkey,04-01,04-07,06-05
Winter Wren,04-08,04-14,05-01
Wilson's Warbler,05-03,05-14,05-27
Wood Duck,03-01,04-07,06-29
Wood Thrush,04-30,05-14,07-19
American Coot,03-22,03-31,04-20
Iceland Gull,04-21,04-21,04-21
Yellow-billed Cuckoo,05-10,05-31,08-07
Yellow-bellied Flycatcher,05-08,05-31,06-14
Yellow-bellied Sapsucker,03-26,04-14,04-30
Yellow-headed Blackbird,04-15,04-21,04-29
Yellow Warbler,04-23,05-14,08-11
Yellow-rumped Warbler,04-10,05-07,05-19
Yellow-throated Vireo,05-02,05-14,07-12
