Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-09,05-21,05-29
Alder Flycatcher,05-12,05-31,06-30
American Black Duck,03-07,03-07,03-07
American Avocet,04-23,05-07,05-19
American Bittern,04-03,04-21,06-05
American Crow,02-18,02-28,05-09
American Goldfinch,04-01,05-07,11-23
American Kestrel,03-23,03-31,04-10
American Pipit,04-30,05-07,05-18
American Redstart,05-02,05-14,07-05
American Robin,02-25,05-31,11-12
American Wigeon,03-01,03-21,04-01
American Woodcock,02-24,03-21,04-28
American Golden-Plover,04-26,05-07,05-21
American Herring Gull,03-07,03-07,03-07
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-22,05-31,07-10
Bay-breasted Warbler,05-03,05-14,05-23
Bald Eagle,02-25,03-07,03-13
Baltimore Oriole,04-25,05-14,07-21
Bank Swallow,04-13,05-14,09-02
Barrow's Goldeneye,03-14,03-14,03-14
Barn Swallow,04-10,05-21,09-08
Black-and-white Warbler,04-20,04-30,05-21
Black-crowned Night Heron,04-26,05-21,10-21
Belted Kingfisher,03-24,04-14,11-12
Black-billed Cuckoo,05-09,05-31,07-25
Black-billed Magpie,04-01,04-07,04-13
Black-bellied Plover,05-07,05-21,06-26
Blackburnian Warbler,04-29,05-14,05-23
Black-backed Woodpecker,04-22,04-30,05-06
Black-capped Chickadee,04-06,04-30,05-15
Black-legged Kittiwake,02-28,02-28,02-28
Blackpoll Warbler,05-07,05-21,05-30
Black Scoter,03-07,03-07,03-07
Black Tern,05-08,05-21,06-29
Black Vulture,03-03,03-14,03-23
Blue Jay,04-04,05-07,11-24
Brown-headed Cowbird,03-16,04-30,07-21
Bobolink,04-28,05-31,07-14
Bohemian Waxwing,04-01,04-07,04-12
Bonaparte's Gull,03-20,04-07,06-21
Brant,05-12,05-21,05-27
Barred Owl,04-18,04-21,04-26
Brewer's Blackbird,05-08,05-14,05-20
Brown Creeper,03-25,04-07,04-27
Brown Pelican,05-15,05-21,05-29
Brown Thrasher,04-09,04-21,07-16
Broad-winged Hawk,04-07,04-21,05-07
Black-throated Blue Warbler,04-24,05-14,05-21
Black-throated Green Warbler,04-21,05-14,05-21
Black-throated Gray Warbler,02-28,02-28,02-28
Budgerigar,05-08,05-14,05-20
Bufflehead,03-31,03-31,03-31
Blue-gray Gnatcatcher,04-16,05-14,08-28
Blue-headed Vireo,04-16,04-30,05-19
Blue-winged Teal,03-14,04-07,05-27
Blue-winged Warbler,04-30,05-31,07-12
Cackling Goose,03-06,03-14,03-17
California Gull,03-22,03-31,04-06
Cape May Warbler,04-26,05-14,05-20
Canada Goose,02-20,03-07,04-04
Canvasback,03-04,03-07,03-13
Canada Warbler,05-04,05-14,06-03
Carolina Wren,03-28,04-30,07-07
Caspian Tern,04-01,04-30,09-28
Cedar Waxwing,05-08,05-31,11-12
Cerulean Warbler,04-15,04-21,05-06
Chipping Sparrow,04-04,04-30,08-30
Chimney Swift,04-21,05-14,09-11
Chestnut-sided Warbler,05-01,05-14,06-27
