Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-10,05-21,08-07
American Black Duck,03-08,03-14,03-21
American Bittern,04-13,05-07,07-28
American Crow,02-21,03-21,10-18
American Goldfinch,05-04,05-14,05-18
American Kestrel,03-19,04-21,05-11
American Pipit,04-20,05-07,05-27
American Redstart,05-05,05-21,09-16
American Robin,03-13,05-07,11-01
American Wigeon,04-15,04-21,05-04
American Woodcock,03-11,04-07,06-10
American Herring Gull,03-06,04-07,01-01
American Tree Sparrow,04-07,04-07,04-07
American Three-toed Woodpecker,03-01,03-07,03-13
Bay-breasted Warbler,05-07,05-14,05-27
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,05-01,05-14,06-25
Bank Swallow,05-14,05-31,06-07
Barn Swallow,04-15,05-14,08-27
Black-and-white Warbler,04-27,05-14,09-11
Black-crowned Night Heron,05-15,05-21,05-29
Belted Kingfisher,04-01,04-21,11-03
Black-billed Cuckoo,05-09,05-21,08-14
Blackburnian Warbler,05-02,05-14,07-17
Black-backed Woodpecker,03-03,03-07,03-11
Black-capped Chickadee,05-07,05-07,05-07
Blackpoll Warbler,05-08,05-21,06-03
Blue Jay,05-03,05-07,05-19
Brown-headed Cowbird,03-16,04-21,06-13
Bobolink,05-06,05-21,06-29
Bohemian Waxwing,02-28,02-28,02-28
Boreal Chickadee,02-27,02-28,03-01
Barred Owl,04-18,05-07,05-23
Brown Creeper,03-27,04-14,05-21
Brown Thrasher,04-17,05-14,07-12
Broad-winged Hawk,04-15,04-30,09-19
Black-throated Blue Warbler,05-01,05-31,08-01
Black-throated Green Warbler,04-25,05-14,09-21
Bufflehead,03-21,04-14,05-05
Blue-gray Gnatcatcher,05-15,05-21,05-29
Blue-headed Vireo,04-21,05-07,10-03
Blue-winged Teal,03-28,04-30,05-06
Cackling Goose,03-15,03-31,04-06
Cape May Warbler,05-01,05-14,05-21
Canada Goose,02-27,03-31,06-10
Canvasback,02-28,02-28,02-28
Canada Warbler,05-07,05-21,07-07
Carolina Wren,02-28,02-28,02-28
Caspian Tern,05-01,05-07,05-13
Cedar Waxwing,05-14,05-31,09-26
Chipping Sparrow,04-14,05-14,10-06
Chimney Swift,04-30,05-31,08-22
Chestnut-sided Warbler,05-04,05-21,07-21
Clay-colored Sparrow,05-15,05-21,05-29
Cliff Swallow,04-21,05-14,06-04
Common Gallinule,05-15,05-21,05-29
Common Goldeneye,02-23,03-14,04-02
Common Grackle,03-09,04-14,10-23
Common Loon,04-07,05-14,12-05
Common Merganser,03-10,04-07,05-18
Common Nighthawk,05-15,05-21,09-12
Common Raven,02-28,02-28,02-28
Common Yellowthroat,05-04,05-21,09-16
Connecticut Warbler,05-08,05-14,05-29
Cooper's Hawk,03-13,03-21,03-22
Dark-eyed Junco,03-31,04-14,05-02
Double-crested Cormorant,04-09,04-21,05-06
Downy Woodpecker,03-07,03-07,03-07
Eastern Bluebird,03-17,05-21,10-14
Eastern Kingbird,05-02,05-21,08-17
Eastern Meadowlark,03-21,04-21,05-07
Eastern Phoebe,03-31,05-14,09-28
Eastern Towhee,04-18,05-07,05-13
Eastern Whip-poor-will,04-23,05-31,06-06
Eastern Wood-Pewee,05-11,05-31,09-10
European Starling,02-24,04-07,06-07
Evening Grosbeak,03-07,03-07,03-07
Field Sparrow,05-14,05-21,06-14
Fox Sparrow,03-30,04-14,04-27
Great Black-backed Gull,04-01,04-07,04-13
Glaucous Gull,03-28,03-31,04-02
Green-winged Teal,03-27,04-14,04-29
Golden-crowned Kinglet,04-01,04-07,05-20
Golden Eagle,03-22,03-31,04-06
Golden-winged Warbler,05-02,05-14,05-27
Grasshopper Sparrow,05-08,05-14,05-20
Great Blue Heron,03-23,05-21,11-15
Great Crested Flycatcher,05-03,05-21,07-31
Greater Scaup,02-18,02-28,03-02
Greater Yellowlegs,04-09,04-21,05-08
Great Gray Owl,02-28,02-28,02-28
Great Horned Owl,04-21,04-21,04-21
Green Heron,05-15,05-21,07-05
Gray Catbird,05-03,05-14,09-26
Canada Jay,03-07,03-07,03-07
Gray-cheeked Thrush,05-15,05-21,05-29
Hairy Woodpecker,02-28,02-28,02-28
Hermit Thrush,04-09,05-14,08-16
Hooded Merganser,03-08,03-31,05-13
Horned Grebe,04-21,04-21,04-21
Horned Lark,04-01,04-07,04-11
House Finch,03-22,03-31,04-06
House Sparrow,02-23,02-28,04-14
Northern House Wren,05-01,05-14,07-20
Indigo Bunting,05-08,05-31,07-21
Killdeer,03-15,04-07,06-03
Lapland Longspur,04-07,04-07,04-07
Lesser Black-backed Gull,05-01,05-07,05-13
