Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-15,05-31,07-26
American Black Duck,03-07,03-07,03-07
American Avocet,04-15,04-21,04-29
American Bittern,04-14,05-14,06-30
American Crow,02-18,03-07,07-05
American Goldfinch,04-20,05-07,05-26
American Kestrel,03-10,04-07,08-02
American Pipit,04-22,04-30,05-13
American Redstart,05-02,05-21,07-21
American Robin,03-03,04-30,08-26
American Wigeon,03-01,03-21,04-26
American Woodcock,03-08,04-07,06-04
American Golden-Plover,04-08,04-14,04-20
American Herring Gull,03-04,03-14,04-09
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-08,05-14,05-20
Bay-breasted Warbler,05-01,05-14,05-29
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-28,05-14,06-30
Bank Swallow,04-22,05-31,07-13
Barrow's Goldeneye,02-28,02-28,02-28
Barn Swallow,04-11,05-21,08-31
Black-and-white Warbler,04-24,05-14,07-21
Black-crowned Night Heron,04-30,05-07,11-05
Belted Kingfisher,03-29,04-21,11-09
Black-billed Cuckoo,05-12,05-31,08-14
Black-bellied Plover,05-06,05-21,06-04
Blackburnian Warbler,05-02,05-14,07-07
Black-backed Woodpecker,04-09,04-21,04-29
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-11,05-21,06-04
Black Tern,05-03,05-14,06-14
Blue Jay,04-24,05-14,06-01
Brown-headed Cowbird,03-24,05-07,07-07
Bobolink,05-01,05-31,07-11
Bohemian Waxwing,03-06,03-07,03-08
Bonaparte's Gull,03-27,04-14,04-20
Boreal Chickadee,03-15,03-21,04-06
Brant,05-04,05-14,05-29
Barred Owl,02-21,02-28,03-06
Brown Creeper,03-27,04-21,05-05
Brown Thrasher,04-12,04-30,07-12
Broad-winged Hawk,04-14,04-30,09-17
Black-throated Blue Warbler,04-29,05-14,07-14
Black-throated Green Warbler,04-26,05-14,07-17
Bufflehead,03-03,04-07,04-30
Blue-gray Gnatcatcher,04-26,05-07,05-28
Blue-headed Vireo,04-21,05-07,07-25
Blue-winged Teal,03-31,04-21,06-05
Blue-winged Warbler,04-30,05-14,06-27
Cackling Goose,02-24,03-07,03-12
Cape May Warbler,04-27,05-07,05-21
Canada Goose,02-20,03-21,05-22
Canvasback,03-01,03-07,03-14
Canada Warbler,05-07,05-14,09-10
Carolina Wren,02-28,02-28,02-28
Caspian Tern,04-06,04-30,05-29
Cedar Waxwing,05-12,05-31,10-13
Cerulean Warbler,05-04,05-21,05-29
Chipping Sparrow,04-10,04-30,10-15
Chimney Swift,04-27,05-21,08-21
Chestnut-sided Warbler,05-03,05-31,07-15
Clay-colored Sparrow,04-27,05-21,07-21
Cliff Swallow,04-20,05-21,09-06
Common Gallinule,04-17,05-21,10-23
Common Goldeneye,03-02,03-07,03-10
Common Grackle,03-04,05-07,10-15
Common Loon,03-30,05-14,11-13
Common Merganser,03-03,03-31,04-12
Common Nighthawk,05-08,05-21,07-07
Common Raven,04-10,04-30,05-18
Common Tern,04-17,05-07,06-03
Common Yellowthroat,05-03,05-31,09-24
Cooper's Hawk,02-28,02-28,02-28
Dark-eyed Junco,02-28,02-28,02-28
Double-crested Cormorant,03-30,04-30,06-06
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-04,05-21,05-31
Eastern Bluebird,04-05,05-14,06-26
Eastern Kingbird,04-29,05-21,08-30
Eastern Meadowlark,03-21,04-21,07-25
Eastern Screech-Owl,02-23,02-28,03-05
Eastern Phoebe,03-24,05-14,10-07
Eastern Towhee,04-08,04-30,08-18
Eastern Whip-poor-will,05-01,05-14,08-07
Eastern Wood-Pewee,05-10,05-31,09-12
European Starling,02-19,04-07,06-10
Eurasian Wigeon,03-15,03-21,03-30
Evening Grosbeak,05-07,05-07,05-07
Field Sparrow,04-08,04-30,08-06
Fox Sparrow,03-21,04-14,04-29
Gadwall,03-01,03-21,04-23
Great Black-backed Gull,03-07,03-07,03-07
Glaucous Gull,04-14,04-14,04-14
Green-winged Teal,03-15,04-21,05-08
Golden-crowned Kinglet,03-26,04-07,05-05
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,05-03,05-21,06-30
Grasshopper Sparrow,04-24,05-31,08-04
Great Blue Heron,03-16,05-21,11-13
Great Crested Flycatcher,05-04,05-31,08-05
Great Egret,04-04,05-07,10-31
Greater Scaup,02-18,03-21,03-26
Greater Yellowlegs,04-08,04-30,05-15
Great Gray Owl,03-31,03-31,03-31
Great Horned Owl,03-09,03-14,03-22
Green Heron,04-26,05-21,10-05
Gray Catbird,04-30,05-21,10-03
Canada Jay,03-26,03-31,04-03
Gray-cheeked Thrush,05-15,05-21,05-29
Hairy Woodpecker,03-07,03-07,03-07
Helmeted Guineafowl,05-31,05-31,05-31
Hermit Thrush,04-09,05-14,08-06
Hooded Merganser,03-01,03-31,04-22
Horned Grebe,04-14,04-14,04-14
Horned Lark,02-19,02-28,03-21
House Finch,03-07,03-07,03-07
House Sparrow,03-05,03-07,03-08
Northern House Wren,04-23,05-31,08-14
Indigo Bunting,05-07,05-31,08-20
Killdeer,03-07,04-30,10-10
Lapland Longspur,04-26,05-07,05-10
Lesser Black-backed Gull,04-01,04-07,04-18
Least Bittern,05-08,05-31,09-10
Least Flycatcher,04-29,05-14,07-13
Least Sandpiper,04-30,05-14,05-31
