Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-01,05-14,05-21
Alder Flycatcher,05-14,05-21,06-27
American Black Duck,02-28,02-28,02-28
American Avocet,04-08,04-14,04-24
American Bittern,05-21,05-31,06-07
American Crow,02-19,03-14,05-17
American Goldfinch,04-03,05-07,11-13
American Kestrel,03-14,03-31,04-22
American Pipit,05-14,05-14,05-14
American Redstart,05-02,05-14,07-06
American Robin,02-28,04-30,11-08
American Wigeon,02-22,03-14,04-08
American Woodcock,03-01,03-21,04-25
American Golden-Plover,05-15,05-21,05-29
American Herring Gull,03-07,03-07,03-07
American Tree Sparrow,02-23,02-28,03-02
American White Pelican,04-01,04-07,04-18
Anhinga,05-15,05-21,05-29
Arctic Tern,05-22,05-31,06-08
Bay-breasted Warbler,05-04,05-14,05-22
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-25,05-14,07-14
Bank Swallow,04-17,05-21,08-12
Barrow's Goldeneye,03-02,03-14,03-20
Barn Swallow,04-12,05-31,09-03
Black-and-white Warbler,04-21,04-30,05-21
Black-crowned Night Heron,04-05,04-21,11-05
Belted Kingfisher,03-18,04-21,11-11
Black-billed Cuckoo,05-08,05-21,07-18
Black-bellied Plover,05-10,05-21,06-02
Blackburnian Warbler,04-27,05-14,05-24
Black-capped Chickadee,04-16,04-21,05-10
Black-legged Kittiwake,04-22,04-30,05-06
Blackpoll Warbler,05-08,05-21,05-30
Black Scoter,04-07,04-07,04-07
Black Tern,05-22,05-31,06-06
Black Vulture,03-08,03-14,03-20
Blue Jay,03-31,05-07,12-01
Brown-headed Cowbird,03-17,04-30,08-07
Bobolink,05-01,05-31,07-17
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,03-23,04-07,05-01
Brant,05-15,05-21,06-02
Barred Owl,02-25,02-28,03-02
Brown Creeper,03-24,04-07,04-26
Brown Thrasher,04-08,04-30,06-16
Broad-winged Hawk,04-07,04-21,05-23
Black-throated Blue Warbler,04-25,05-14,05-21
Black-throated Green Warbler,04-21,05-07,06-02
Bufflehead,03-07,03-07,03-07
Blue-gray Gnatcatcher,04-16,05-07,06-20
Blue-headed Vireo,04-17,04-30,05-19
Bullock's Oriole,04-15,04-21,04-29
Blue-winged Teal,03-18,03-31,04-30
Blue-winged Warbler,04-29,05-21,07-04
Cackling Goose,03-07,03-07,03-07
