Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-20,05-31,07-07
American Black Duck,05-07,05-31,09-18
American Bittern,04-29,05-14,08-31
American Crow,02-28,03-21,06-12
American Goldfinch,05-10,05-21,06-06
American Kestrel,04-02,05-07,06-13
American Pipit,04-30,05-31,07-13
American Redstart,05-11,05-31,07-13
American Robin,04-02,05-14,08-26
American Wigeon,04-13,04-30,09-13
American Woodcock,04-07,04-14,06-07
American Golden-Plover,05-17,05-31,06-23
American Herring Gull,03-16,04-07,09-13
American Tree Sparrow,03-30,04-21,05-12
American White Pelican,04-18,05-21,09-06
Arctic Tern,05-21,05-31,08-01
American Three-toed Woodpecker,05-30,05-31,06-02
Bay-breasted Warbler,05-14,05-31,07-19
Baird's Sandpiper,05-15,05-21,05-30
Bald Eagle,02-24,03-21,06-13
Baltimore Oriole,05-07,05-21,06-09
Bank Swallow,05-19,05-31,08-12
Barn Swallow,05-05,05-21,09-04
Black-and-white Warbler,05-04,05-21,09-08
Belted Kingfisher,04-16,05-07,10-09
Black-billed Cuckoo,05-15,05-21,05-30
Black-billed Magpie,02-18,02-28,03-04
Black-bellied Plover,05-16,05-31,06-14
Blackburnian Warbler,05-08,05-21,08-30
Black-backed Woodpecker,05-14,05-14,05-14
Black-capped Chickadee,02-27,02-28,03-01
Blackpoll Warbler,05-09,05-21,07-13
Black Scoter,05-01,05-07,05-13
Black Tern,05-21,05-31,06-07
Blue Jay,02-25,02-28,03-02
Brown-headed Cowbird,04-15,05-07,06-10
Bobolink,05-15,05-21,08-04
Bohemian Waxwing,02-26,02-28,03-09
Bonaparte's Gull,04-28,05-14,09-09
Boreal Chickadee,02-28,02-28,02-28
Boreal Owl,03-02,03-31,04-07
Brant,05-23,05-31,06-29
Barred Owl,04-03,04-14,04-27
Brewer's Blackbird,04-23,05-07,06-11
Brown Creeper,04-30,04-30,04-30
Brown Thrasher,04-22,04-30,06-15
Broad-winged Hawk,04-21,05-07,09-12
Black-throated Blue Warbler,05-15,05-31,06-06
Black-throated Green Warbler,05-08,05-21,06-13
Bufflehead,04-10,04-30,06-09
Blue-headed Vireo,05-05,05-21,09-08
Bullock's Oriole,05-08,05-14,05-20
Blue-winged Teal,04-16,05-14,06-14
Cackling Goose,04-15,04-21,04-29
Cape May Warbler,05-08,05-21,06-22
Canada Goose,03-08,04-07,10-17
Canvasback,04-21,05-14,06-07
Canada Warbler,05-16,05-31,08-29
Caspian Tern,05-15,05-21,05-30
Cedar Waxwing,05-17,05-31,09-14
Chipping Sparrow,04-28,05-14,09-03
Chimney Swift,05-21,05-31,06-07
Chestnut-sided Warbler,05-11,05-21,09-02
Clay-colored Sparrow,05-01,05-14,07-20
Cliff Swallow,05-05,05-21,08-06
Common Goldeneye,03-14,04-21,06-04
Common Grackle,04-09,04-30,06-08
Common Loon,04-17,05-21,10-07
Common Merganser,03-26,05-21,09-05
Common Nighthawk,05-15,05-31,09-10
Common Raven,02-28,02-28,02-28
Common Tern,05-06,05-21,09-11
Common Yellowthroat,05-14,05-31,08-06
Connecticut Warbler,05-21,05-31,07-02
Cooper's Hawk,05-16,05-31,06-14
Dark-eyed Junco,03-29,04-14,05-12
Dickcissel,05-23,05-31,06-06
Double-crested Cormorant,04-09,05-14,09-13
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-11,05-31,08-14
Eared Grebe,05-15,05-21,05-30
Eastern Bluebird,05-02,05-21,08-07
Eastern Kingbird,05-09,05-21,08-29
Eastern Meadowlark,05-15,05-21,05-30
Eastern Phoebe,04-21,05-31,09-05
Eastern Towhee,02-28,02-28,02-28
Eastern Whip-poor-will,04-28,05-31,07-06
Eastern Wood-Pewee,05-15,05-31,09-07
Eurasian Siskin,05-01,05-07,05-13
European Starling,03-23,05-14,06-08
Eurasian Tree Sparrow,04-08,04-14,04-20
Evening Grosbeak,02-27,02-28,03-01
Fox Sparrow,04-07,04-14,05-05
Gadwall,05-13,05-31,06-12
Gray-crowned Rosy-Finch,02-22,02-28,03-01
Green-winged Teal,04-08,04-30,10-15
Golden-crowned Kinglet,04-10,05-31,10-14
Golden-crowned Sparrow,04-14,04-14,04-14
Golden Eagle,03-15,03-21,03-29
Golden-winged Warbler,05-15,05-31,06-19
Great Blue Heron,03-31,04-07,09-19
Great Crested Flycatcher,05-22,05-31,06-08
Great Egret,04-15,04-21,04-29
Greater Scaup,04-21,04-30,05-18
Greater Yellowlegs,04-14,04-30,10-18
Great Gray Owl,02-19,02-28,03-02
Great Horned Owl,03-25,03-31,04-05
Gray Catbird,05-09,05-31,06-21
Canada Jay,02-28,02-28,02-28
Greater White-fronted Goose,04-15,04-21,04-29
Gray-cheeked Thrush,05-08,05-14,06-02
Hairy Woodpecker,02-24,02-28,03-04
Harris's Sparrow,05-01,05-07,05-20
Hermit Thrush,05-07,05-31,08-02
Hooded Merganser,03-23,04-21,05-31
Horned Grebe,04-17,05-07,05-13
Horned Lark,05-21,05-31,07-20
House Finch,04-22,04-30,05-11
House Sparrow,05-29,05-31,06-01
Northern House Wren,05-09,05-31,06-30
Hudsonian Godwit,05-18,05-31,08-16
Indigo Bunting,05-08,05-14,05-29
Killdeer,04-12,05-14,08-04
Lapland Longspur,05-09,05-31,07-04
Lark Bunting,05-23,05-31,06-06
Lesser Black-backed Gull,05-08,05-14,05-20
Least Flycatcher,05-08,05-31,08-29
Least Sandpiper,05-07,05-14,09-04
LeConte's Sparrow,05-03,05-31,08-19
Lesser Scaup,04-15,04-30,05-29
Lesser Yellowlegs,04-22,05-14,05-24
Lincoln's Sparrow,05-04,05-31,09-26
Little Gull,05-08,05-14,05-20
Long-billed Dowitcher,05-01,05-07,05-13
Long-eared Owl,04-08,04-14,05-02
Long-tailed Duck,05-23,05-31,07-12
Magnolia Warbler,05-09,05-31,08-07
Mallard,03-24,04-21,09-14
Marbled Godwit,05-15,05-31,06-06
Marsh Wren,05-15,05-21,05-30
Merlin,03-20,04-30,10-10
Mourning Dove,04-09,04-30,06-11
Mourning Warbler,05-15,05-31,07-30
Nashville Warbler,05-06,05-31,09-07
Northern Hawk Owl,03-21,03-21,03-21
Northern Cardinal,02-28,02-28,02-28
Northern Flicker,04-13,04-30,10-01
American Goshawk,03-11,03-14,03-21
Northern Harrier,03-28,04-30,09-07
Northern Mockingbird,05-17,05-31,06-11
Northern Parula,05-07,05-21,07-21
Northern Pintail,04-03,04-30,08-19
Northern Shoveler,04-16,05-14,09-14
Northern Shrike,02-27,02-28,03-01
Northern Waterthrush,05-08,05-31,07-14
Northern Rough-winged Swallow,05-15,05-21,05-30
Northern Saw-whet Owl,03-14,04-14,05-06
Olive-sided Flycatcher,05-15,05-21,08-06
Orange-crowned Warbler,05-05,05-14,07-13
Osprey,04-12,04-30,08-31
Ovenbird,05-07,05-21,07-17
Pacific Loon,05-23,05-31,07-14
Palm Warbler,04-30,05-14,07-13
Parasitic Jaeger,05-23,05-31,07-14
Pectoral Sandpiper,05-04,05-14,05-29
Peregrine Falcon,05-23,05-31,08-14
Philadelphia Vireo,05-15,05-31,07-13
Pied-billed Grebe,03-29,04-30,06-13
Pileated Woodpecker,02-24,02-28,03-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-18,03-07,04-16
Pine Warbler,05-03,05-31,06-11
Piping Plover,05-23,05-31,06-06
Purple Finch,02-25,05-14,05-28
Purple Martin,05-23,05-31,06-12
Red-breasted Merganser,04-16,05-07,07-06
Red-breasted Nuthatch,02-26,02-28,03-07
Red-bellied Woodpecker,04-26,04-30,05-09
Red Crossbill,02-19,02-28,03-15
Redhead,04-12,05-14,06-14
Red Knot,05-23,05-31,06-12
Redpoll,02-22,02-28,03-13
Red-eyed Vireo,05-15,05-31,09-05
Red-headed Woodpecker,05-23,05-31,06-06
Red-necked Grebe,04-17,04-30,06-12
Red-necked Phalarope,05-21,05-31,07-07
Red-tailed Hawk,03-22,03-31,09-14
Red-throated Loon,05-17,05-31,07-17
Red-winged Blackbird,04-08,05-14,06-15
Ring-billed Gull,03-20,04-07,06-15
Ring-necked Duck,04-11,04-30,06-18
Rose-breasted Grosbeak,05-03,05-14,06-10
Rock Pigeon,03-21,03-21,03-21
Rough-legged Hawk,03-31,04-14,05-03
Ruby-throated Hummingbird,05-08,05-21,06-11
Ruby-crowned Kinglet,04-20,05-31,07-12
Ruddy Duck,04-24,05-14,06-15
Ruddy Turnstone,05-23,05-31,06-13
Ruffed Grouse,04-22,05-07,05-29
Rusty Blackbird,04-10,04-30,05-13
Sandhill Crane,04-06,05-21,09-30
Sanderling,05-23,05-31,06-07
Savannah Sparrow,05-01,05-14,09-28
Scarlet Tanager,05-17,05-31,06-07
Sedge Wren,05-04,05-14,07-30
Semipalmated Plover,05-14,05-21,09-06
Semipalmated Sandpiper,05-14,05-31,06-30
Short-billed Dowitcher,05-08,05-14,05-21
Short-eared Owl,05-21,05-31,07-29
Sharp-shinned Hawk,04-10,04-21,05-20
Sharp-tailed Grouse,03-11,03-14,03-20
Smith's Longspur,05-21,05-31,07-19
Snow Bunting,03-12,04-14,04-27
Snow Goose,04-01,04-07,04-18
Snowy Owl,04-08,04-14,04-20
Solitary Sandpiper,05-01,05-14,09-10
Song Sparrow,04-11,05-21,09-05
Sora,05-07,05-14,09-04
Spotted Sandpiper,05-03,05-21,08-29
Spruce Grouse,05-06,05-07,05-09
Stilt Sandpiper,05-08,05-14,05-20
