Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-11,05-31,08-03
American Black Duck,03-14,03-14,03-14
American Bittern,04-03,04-30,07-25
American Crow,02-19,03-14,04-10
American Goldfinch,04-11,05-07,05-29
American Kestrel,03-17,03-31,04-22
American Pipit,04-27,05-07,05-19
American Redstart,05-02,05-21,07-15
American Robin,02-27,05-07,11-03
American Wigeon,03-01,03-31,05-07
American Woodcock,03-05,03-21,05-30
American Golden-Plover,04-22,04-30,05-06
American Herring Gull,03-05,03-07,03-09
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-05,05-14,05-26
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-29,05-14,08-25
Bank Swallow,04-18,05-21,09-05
Barrow's Goldeneye,03-15,03-21,03-29
Barn Swallow,04-11,05-14,09-06
Black-and-white Warbler,04-24,05-31,09-16
Black-crowned Night Heron,04-19,05-21,10-19
Belted Kingfisher,03-29,04-30,10-12
Black-billed Cuckoo,05-08,05-21,08-20
Black-bellied Plover,05-04,05-21,05-31
Blackburnian Warbler,05-02,05-14,06-13
Black-backed Woodpecker,04-13,04-14,04-15
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-08,05-21,05-30
Black Scoter,04-30,04-30,04-30
Black Tern,04-30,05-14,08-09
Blue Jay,05-05,05-07,05-10
Brown-headed Cowbird,03-16,04-21,07-11
Bobolink,04-28,05-14,07-20
Bohemian Waxwing,02-26,02-28,03-01
Bonaparte's Gull,03-24,04-14,05-04
Boreal Owl,02-28,02-28,02-28
Brant,05-03,05-14,05-30
Barred Owl,02-28,02-28,02-28
Brown Creeper,03-18,04-07,04-28
Brown Thrasher,04-10,04-30,08-02
Broad-winged Hawk,04-14,04-30,09-21
Black-throated Blue Warbler,04-30,05-14,07-12
Black-throated Green Warbler,04-23,05-14,07-13
Bufflehead,03-05,04-07,04-24
Blue-gray Gnatcatcher,04-26,05-07,05-23
Blue-headed Vireo,04-18,04-30,08-04
Blue-winged Teal,03-30,05-14,06-10
Blue-winged Warbler,04-27,05-14,06-16
Cackling Goose,03-01,03-07,03-09
Cape May Warbler,05-01,05-14,05-21
Canada Goose,03-01,03-21,05-05
Canvasback,02-28,02-28,02-28
Canada Warbler,05-07,05-31,07-11
Carolina Wren,03-15,03-31,04-06
Caspian Tern,04-09,05-14,10-03
Western Cattle-Egret,04-22,04-30,05-06
Cedar Waxwing,05-08,05-21,11-03
Cerulean Warbler,05-08,05-14,06-02
Chipping Sparrow,04-09,05-07,08-30
Chimney Swift,05-02,05-14,06-06
Chestnut-sided Warbler,05-05,05-31,07-13
Chukar,05-15,05-21,06-05
Clay-colored Sparrow,05-01,05-21,08-03
Cliff Swallow,04-10,05-14,08-26
Common Gallinule,04-16,05-14,10-12
Common Goldeneye,03-07,03-07,03-07
Common Grackle,03-02,05-07,09-13
Common Loon,03-26,04-14,12-06
Common Merganser,03-20,03-21,03-22
Common Nighthawk,05-07,05-21,09-12
Indian Peafowl,05-22,05-31,06-06
Common Raven,02-20,02-28,03-02
Common Tern,04-25,05-21,05-31
Common Yellowthroat,05-01,05-21,09-29
Cooper's Hawk,02-28,02-28,02-28
Dark-eyed Junco,03-21,03-21,03-21
Double-crested Cormorant,03-23,05-14,06-11
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-06,05-21,06-04
Eastern Bluebird,03-04,03-31,04-27
Eastern Kingbird,04-27,05-21,09-03
Eastern Meadowlark,03-10,04-14,08-13
Eastern Screech-Owl,02-24,02-28,03-07
Eastern Phoebe,03-20,04-07,10-20
Eastern Towhee,04-06,05-14,10-16
Eastern Whip-poor-will,04-21,05-14,07-30
Eastern Wood-Pewee,05-09,05-31,09-23
European Starling,02-19,02-28,03-29
Eurasian Wigeon,05-09,05-21,05-29
Evening Grosbeak,02-26,02-28,03-02
Field Sparrow,04-03,04-30,08-18
Fish Crow,05-15,05-21,05-29
Forster's Tern,05-15,05-21,05-29
Fox Sparrow,03-27,04-07,04-20
Gadwall,04-15,05-14,05-27
Great Black-backed Gull,03-07,03-07,03-07
Glaucous Gull,02-28,02-28,02-28
Glossy Ibis,05-22,05-31,06-06
Green-winged Teal,03-16,04-07,05-28
Golden-crowned Kinglet,03-22,04-07,04-21
Golden Eagle,03-03,03-14,03-19
Golden-winged Warbler,04-30,05-21,06-26
Grasshopper Sparrow,04-27,05-21,08-07
Great Blue Heron,03-18,05-14,11-13
Great Crested Flycatcher,05-01,05-21,09-09
Great Cormorant,05-01,05-07,05-13
Great Egret,04-06,05-14,10-12
Greater Scaup,02-24,03-07,03-21
Greater Yellowlegs,04-01,04-21,05-17
Great Gray Owl,02-28,02-28,02-28
Great Horned Owl,02-24,03-14,03-20
Green Heron,04-27,05-21,10-05
Gray Catbird,04-28,05-14,10-08
Canada Jay,05-08,05-14,05-20
Greater White-fronted Goose,03-28,03-31,04-04
Gray-cheeked Thrush,05-08,05-14,05-29
Gyrfalcon,03-02,03-07,03-12
Hairy Woodpecker,02-28,02-28,02-28
Harlequin Duck,03-18,03-21,03-25
Helmeted Guineafowl,03-23,03-31,04-06
Hermit Thrush,04-04,05-31,08-05
Hooded Merganser,03-04,03-14,04-10
Hooded Warbler,05-01,05-07,05-13
Horned Grebe,04-14,04-14,04-14
Horned Lark,02-18,02-28,03-10
House Finch,02-23,02-28,03-05
House Sparrow,02-19,02-28,03-07
Northern House Wren,04-18,05-14,09-25
Hudsonian Godwit,05-15,05-21,05-30
Indigo Bunting,05-06,05-31,08-14
Kentucky Warbler,05-11,05-21,06-18
Killdeer,03-05,05-14,10-13
Lady Amherst's Pheasant,05-15,05-21,05-29
Lapland Longspur,02-28,02-28,02-28
Lark Bunting,04-07,04-14,04-20
Laughing Gull,04-15,04-21,04-29
Lesser Black-backed Gull,03-07,03-07,03-07
Least Bittern,04-30,05-21,08-23
Least Flycatcher,04-29,05-14,07-12
Least Sandpiper,05-01,05-14,05-29
LeConte's Sparrow,04-22,04-30,05-06
Lesser Scaup,03-02,04-07,04-24
Lesser Yellowlegs,04-16,05-14,05-27
Lincoln's Sparrow,04-30,05-14,05-21
Little Gull,03-31,04-07,05-05
Long-billed Dowitcher,04-01,04-07,04-20
Long-eared Owl,02-28,02-28,02-28
Loggerhead Shrike,03-23,04-21,08-31
Long-tailed Duck,03-01,03-07,03-27
Magnolia Warbler,05-02,05-14,07-06
Mallard,03-19,03-31,05-05
Marbled Godwit,04-22,04-30,05-27
Marsh Wren,04-27,05-21,10-12
Merlin,03-31,04-14,05-19
Mourning Dove,03-31,04-14,05-23
Mourning Warbler,05-07,05-31,06-12
Muscovy Duck,05-08,05-14,05-20
Mute Swan,02-28,02-28,02-28
Nashville Warbler,04-23,05-07,07-06
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,02-21,02-28,03-13
Northern Flicker,03-31,04-14,10-13
American Goshawk,04-18,04-21,04-24
Northern Harrier,02-28,02-28,02-28
Northern Mockingbird,05-11,05-14,05-26
Northern Parula,04-30,05-14,05-23
Northern Pintail,03-01,04-07,05-03
Northern Shoveler,03-24,05-14,06-05
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-20,05-14,07-10
Northern Rough-winged Swallow,04-11,05-14,08-18
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,05-12,05-21,06-07
Orchard Oriole,04-30,05-14,05-31
Orange-crowned Warbler,05-08,05-14,05-20
Osprey,03-22,05-14,09-08
Ovenbird,05-02,05-31,07-15
Painted Bunting,04-22,04-30,05-08
Palm Warbler,04-16,04-30,05-19
Pectoral Sandpiper,04-01,05-14,05-25
Peregrine Falcon,03-04,03-07,03-12
Philadelphia Vireo,05-07,05-14,05-29
Pied-billed Grebe,03-26,05-14,10-17
Pileated Woodpecker,03-31,04-14,06-05
Pine Grosbeak,03-07,03-07,03-07
Pine Siskin,02-13,02-28,03-26
Pine Warbler,04-05,05-31,09-19
Piping Plover,05-01,05-07,05-13
Prairie Warbler,05-02,05-21,07-16
Purple Finch,04-15,04-30,05-13
Purple Martin,04-05,05-14,08-21
Red-breasted Merganser,02-27,03-14,04-03
Red-breasted Nuthatch,04-26,05-07,05-18
Red-bellied Woodpecker,03-07,03-07,03-07
Red Crossbill,02-28,02-28,02-28
Redhead,02-24,03-14,03-26
Red Knot,05-12,05-21,05-31
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-08,05-31,09-21
Red-headed Woodpecker,05-03,05-14,05-29
Red-necked Grebe,04-30,04-30,04-30
Red-necked Phalarope,05-15,05-21,05-29
Red-shouldered Hawk,03-19,03-31,04-13
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,05-14,05-14,05-14
Red-winged Blackbird,02-25,04-30,11-03
Ring-billed Gull,03-03,03-21,05-28
Ring-necked Duck,03-01,04-07,05-03
Rose-breasted Grosbeak,04-25,05-14,09-14
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-22,02-28,03-02
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,04-30,05-14,09-25
Ruby-crowned Kinglet,04-07,04-21,05-15
Ruddy Duck,04-17,04-21,04-25
Ruddy Turnstone,05-10,05-21,06-04
Ruffed Grouse,03-24,04-07,06-21
Rusty Blackbird,03-19,04-14,05-07
Sandhill Crane,03-02,04-07,06-07
Sanderling,05-14,05-21,06-02
Savannah Sparrow,04-03,05-14,10-14
Say's Phoebe,03-17,03-31,04-06
Scarlet Tanager,05-03,05-14,09-23
Sedge Wren,05-12,05-21,08-14
Semipalmated Plover,05-06,05-21,05-31
Semipalmated Sandpiper,05-10,05-21,06-05
Short-billed Dowitcher,05-06,05-21,05-30
Short-eared Owl,02-22,02-28,03-03
Sharp-shinned Hawk,03-21,03-21,03-21
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-04,03-07,03-11
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-26,05-07,05-21
Song Sparrow,03-09,04-07,10-28
Sora,04-22,05-21,06-13
Spotted Sandpiper,04-20,05-14,06-11
Stilt Sandpiper,05-15,05-21,05-29
Summer Tanager,04-24,05-07,05-13
Surf Scoter,03-08,03-14,03-20
Swamp Sparrow,04-02,05-31,10-16
Swainson's Thrush,05-05,05-14,05-29
Tennessee Warbler,05-03,05-14,05-27
Tree Swallow,03-24,05-14,08-25
Tricolored Heron,05-15,05-21,05-29
Trumpeter Swan,03-16,03-21,04-02
Tufted Titmouse,03-31,03-31,03-31
Tundra Swan,02-28,02-28,02-28
Turkey Vulture,03-12,03-31,10-27
Upland Sandpiper,04-09,05-21,08-10
Varied Thrush,02-28,02-28,02-28
Veery,05-07,05-31,07-20
Vesper Sparrow,04-07,04-14,07-21
Virginia Rail,04-08,05-14,08-21
Warbling Vireo,04-29,05-21,08-13
Western Meadowlark,02-28,02-28,02-28
Western Sandpiper,04-08,04-14,04-20
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-19
Whimbrel,05-06,05-21,05-29
White-rumped Sandpiper,05-14,05-21,06-05
White-throated Sparrow,04-10,04-30,05-18
White-winged Crossbill,02-28,02-28,02-28
White-winged Dove,04-22,04-30,05-06
White-winged Scoter,03-01,03-07,03-17
Willow Flycatcher,05-09,05-21,07-31
Wilson's Phalarope,04-24,05-21,06-10
Wilson's Snipe,03-17,04-14,08-14
Wild Turkey,04-02,04-30,05-20
Winter Wren,03-31,05-31,08-05
Wilson's Warbler,05-07,05-14,05-28
Worm-eating Warbler,05-15,05-21,06-02
Wood Duck,03-10,04-21,10-26
Wood Thrush,04-25,05-14,07-25
American Coot,04-07,04-07,04-07
Iceland Gull,03-07,03-07,03-07
Yellow-billed Cuckoo,05-09,05-21,09-02
Yellow-bellied Flycatcher,05-08,05-14,06-01
Yellow-bellied Sapsucker,03-31,04-14,10-09
Yellow Rail,05-15,05-21,05-29
Yellow Warbler,04-26,05-14,08-17
Yellow-rumped Warbler,04-15,05-07,06-04
