Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-14,05-31,07-10
American Black Duck,03-15,03-21,04-05
American Bittern,04-14,04-30,07-04
American Crow,02-18,03-07,05-07
American Goldfinch,04-22,05-14,05-30
American Kestrel,03-13,04-14,05-10
American Pipit,04-17,05-07,05-19
American Redstart,05-02,05-21,09-08
American Robin,03-01,04-30,11-10
American Wigeon,03-05,03-31,04-20
American Woodcock,03-05,04-07,05-28
American Golden-Plover,04-22,04-30,05-06
American Herring Gull,03-14,03-14,03-14
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,04-22,04-30,05-06
Arctic Tern,05-15,05-21,05-30
Bay-breasted Warbler,05-04,05-14,05-27
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-30,05-14,07-16
Bank Swallow,04-23,05-21,09-01
Barrow's Goldeneye,02-21,02-28,03-05
Barn Swallow,04-12,05-21,08-29
Black-and-white Warbler,04-24,05-14,09-12
Black-crowned Night Heron,04-12,04-30,05-12
Belted Kingfisher,03-30,04-30,10-24
Black-billed Cuckoo,05-09,05-21,08-13
Black-bellied Plover,05-09,05-21,05-29
Blackburnian Warbler,04-30,05-14,07-11
Black-backed Woodpecker,04-22,04-30,05-06
Black-capped Chickadee,04-30,04-30,04-30
Black-legged Kittiwake,04-22,04-30,05-06
Blackpoll Warbler,05-08,05-21,05-30
Black Scoter,03-15,03-21,03-30
Black Tern,05-08,05-31,07-14
Blue Jay,05-04,05-07,05-15
Brown-headed Cowbird,03-18,04-30,07-11
Bobolink,05-01,05-14,07-04
Bohemian Waxwing,02-24,02-28,03-02
Bonaparte's Gull,03-23,04-07,04-27
Brambling,03-03,03-14,03-20
Brant,05-07,05-21,05-30
Barred Owl,04-06,05-14,06-07
Brown Creeper,04-01,04-07,04-22
Brown Thrasher,04-10,04-30,07-15
Broad-winged Hawk,04-10,04-30,09-19
Black-throated Blue Warbler,04-30,05-14,05-21
Black-throated Green Warbler,04-25,05-14,07-21
Bufflehead,03-05,03-31,04-28
Blue-gray Gnatcatcher,04-22,05-14,05-31
Blue-headed Vireo,04-20,04-30,06-20
Blue-winged Teal,03-16,04-30,06-03
Blue-winged Warbler,05-03,05-14,06-19
Cackling Goose,03-04,03-14,04-11
Cape May Warbler,04-28,05-07,05-21
Canada Goose,02-23,03-31,05-31
Canvasback,02-13,03-14,03-26
Canada Warbler,05-02,05-21,06-21
Carolina Wren,02-28,02-28,02-28
Caspian Tern,04-09,04-30,05-28
Cedar Waxwing,05-13,05-31,10-30
Cerulean Warbler,05-07,05-21,06-26
Chipping Sparrow,04-09,04-30,10-07
Chimney Swift,04-30,05-14,08-23
Chestnut-sided Warbler,05-01,05-21,07-12
Chukar,05-08,05-14,05-20
Clay-colored Sparrow,05-06,05-14,06-18
Cliff Swallow,04-21,05-31,09-05
Common Gallinule,04-18,05-31,10-14
Common Goldeneye,02-20,03-14,03-24
Common Grackle,03-03,04-30,09-05
Common Loon,03-25,05-14,12-08
Common Merganser,02-22,03-14,04-12
