Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-15,05-31,08-20
American Black Duck,03-18,04-14,04-17
American Bittern,04-15,05-21,07-11
American Crow,02-26,05-31,10-21
American Goldfinch,03-21,03-21,03-21
American Kestrel,03-13,04-14,10-11
American Pipit,05-08,05-14,05-26
American Redstart,05-03,05-21,09-14
American Robin,03-15,05-14,10-21
American Wigeon,04-05,04-14,05-18
American Woodcock,03-16,03-31,05-27
American Herring Gull,02-27,03-21,05-30
American Tree Sparrow,03-26,04-14,04-19
American White Pelican,05-01,05-07,05-13
Bay-breasted Warbler,05-02,05-14,06-05
Bald Eagle,02-13,02-28,03-04
Baltimore Oriole,05-01,05-14,06-13
Bank Swallow,05-04,05-14,06-01
Barrow's Goldeneye,03-16,03-21,03-28
Barn Swallow,04-24,05-14,08-31
Black-and-white Warbler,04-30,05-21,09-12
Belted Kingfisher,04-06,04-30,10-16
Black-billed Cuckoo,05-15,05-21,08-17
Black-bellied Plover,05-08,05-14,06-01
Blackburnian Warbler,05-02,05-21,09-14
Black-capped Chickadee,03-21,03-21,03-21
Blackpoll Warbler,05-08,05-14,05-21
Black Scoter,05-08,05-14,05-20
Black Tern,05-08,05-14,05-21
Blue Jay,03-31,03-31,03-31
Brown-headed Cowbird,04-03,05-07,06-28
Bobolink,05-05,05-31,07-12
Bohemian Waxwing,02-21,02-28,03-03
Bonaparte's Gull,04-22,04-30,05-06
Boreal Chickadee,04-22,04-30,05-06
Barred Owl,04-02,04-14,04-30
Brewer's Blackbird,04-22,04-30,05-28
Brown Creeper,03-19,04-30,05-13
Brown Thrasher,04-26,05-14,07-05
Broad-winged Hawk,04-15,04-30,07-31
Black-throated Blue Warbler,05-01,05-14,07-27
Black-throated Green Warbler,04-30,05-14,09-21
Bufflehead,03-31,04-21,05-15
Blue-gray Gnatcatcher,05-08,05-14,05-20
Blue-headed Vireo,05-05,05-14,07-29
Blue-winged Teal,04-09,05-14,06-17
Cackling Goose,04-08,04-14,04-20
Cape May Warbler,05-01,05-14,05-22
Canada Goose,02-27,03-21,10-14
Canvasback,03-23,03-31,04-06
Canada Warbler,05-08,05-14,07-13
Caspian Tern,05-07,05-14,09-06
Cedar Waxwing,05-15,05-31,09-19
Chipping Sparrow,04-15,05-14,09-13
Chimney Swift,05-03,05-14,06-12
Chestnut-sided Warbler,05-03,05-21,07-28
Clay-colored Sparrow,05-05,05-14,07-12
Cliff Swallow,05-02,05-14,08-23
Common Goldeneye,03-15,03-21,05-06
Common Grackle,03-14,05-07,08-01
Common Loon,04-07,04-30,11-20
Common Merganser,03-16,04-21,12-22
Common Nighthawk,05-12,05-21,06-14
Common Raven,02-28,02-28,02-28
Common Tern,05-02,05-21,08-21
Common Yellowthroat,05-05,05-21,09-29
Cooper's Hawk,05-11,05-14,05-17
Dark-eyed Junco,03-21,04-14,05-04
Dickcissel,05-08,05-14,05-20
Double-crested Cormorant,04-06,05-14,10-19
Downy Woodpecker,03-14,03-14,03-14
Dunlin,05-08,05-14,05-28
Eastern Bluebird,04-05,04-14,04-20
Eastern Kingbird,05-03,05-14,09-01
Eastern Meadowlark,03-31,05-14,08-10
Eastern Phoebe,03-27,05-31,10-23
Eastern Towhee,04-08,04-14,04-20
Eastern Whip-poor-will,05-05,05-14,06-11
Eastern Wood-Pewee,05-15,05-31,09-11
European Starling,05-13,05-14,05-15
Evening Grosbeak,03-21,03-21,03-21
Field Sparrow,05-01,05-07,05-22
Fox Sparrow,03-24,04-07,04-28
Gadwall,04-06,05-14,06-14
Great Black-backed Gull,03-29,03-31,04-03
Glaucous Gull,03-19,03-21,03-24
Glossy Ibis,05-08,05-14,05-20
Green-winged Teal,04-02,04-14,05-25
Golden-crowned Kinglet,03-20,04-30,05-06
Golden-winged Warbler,05-01,05-31,06-13
Great Blue Heron,03-24,05-21,11-09
Great Crested Flycatcher,05-04,05-21,07-13
Great Egret,05-08,05-14,05-23
Greater Scaup,04-04,04-14,05-08
Greater Yellowlegs,04-05,04-21,05-21
Great Gray Owl,02-17,02-28,03-01
Great Horned Owl,03-01,03-07,03-13
Green Heron,05-04,05-21,09-08
Gray Catbird,05-06,05-14,10-05
Canada Jay,05-21,05-21,05-21
Gray-cheeked Thrush,05-08,05-14,05-20
Gyrfalcon,02-28,02-28,02-28
Hairy Woodpecker,02-28,02-28,02-28
Hermit Thrush,05-07,05-31,08-01
Hooded Merganser,03-14,03-21,06-02
Horned Grebe,04-08,04-30,05-13
Horned Lark,03-01,03-07,03-11
House Finch,04-24,04-30,05-06
House Sparrow,03-21,03-21,03-21
Northern House Wren,05-01,05-14,08-07
Indigo Bunting,05-06,05-31,08-17
Killdeer,03-30,05-21,09-06
Lapland Longspur,05-04,05-14,05-19
Lark Sparrow,05-01,05-07,05-13
Least Flycatcher,05-02,05-14,07-16
Least Sandpiper,05-04,05-14,05-27
Lesser Scaup,04-01,05-07,05-23
Lesser Yellowlegs,04-23,05-14,05-23
Lewis's Woodpecker,02-28,02-28,02-28
Lincoln's Sparrow,05-01,05-07,05-22
Loggerhead Shrike,04-08,04-14,04-20
Long-tailed Duck,05-01,05-07,05-18
Magnolia Warbler,05-03,05-14,09-21
Mallard,03-24,05-14,06-09
Marbled Godwit,05-23,05-31,06-06
Marsh Wren,05-09,05-31,07-19
Merlin,04-01,05-14,10-19
Mourning Dove,04-07,04-07,04-07
Mourning Warbler,05-15,05-31,07-19
Mute Swan,04-22,04-30,05-06
Nashville Warbler,05-01,05-21,09-19
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,05-07,05-07,05-07
Northern Flicker,04-03,04-21,10-09
American Goshawk,05-13,05-14,05-16
Northern Harrier,03-13,04-14,07-12
Northern Mockingbird,05-16,05-31,06-17
Northern Parula,05-02,05-14,07-31
Northern Pintail,04-05,04-30,05-05
Northern Shoveler,04-11,05-14,06-03
Northern Shrike,02-25,02-28,03-03
Northern Waterthrush,05-01,05-21,08-10
Northern Rough-winged Swallow,05-01,05-21,07-20
Nelson's Sparrow,05-01,05-07,05-13
Northern Saw-whet Owl,04-14,04-14,04-14
Olive-sided Flycatcher,05-01,05-07,05-27
Orchard Oriole,05-01,05-07,05-13
Orange-crowned Warbler,05-01,05-07,05-19
