Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-10,05-31,08-07
American Black Duck,04-02,04-07,04-09
American Bittern,04-17,05-07,07-06
American Crow,02-19,03-21,06-13
American Goldfinch,05-03,05-07,05-12
American Kestrel,03-21,04-07,05-13
American Pipit,04-30,05-07,05-20
American Redstart,05-05,05-21,09-14
American Robin,03-11,04-30,10-31
American Wigeon,04-01,04-14,04-27
American Woodcock,03-13,04-07,05-28
American Herring Gull,02-26,03-14,12-06
American Tree Sparrow,03-17,04-14,04-23
American Three-toed Woodpecker,05-01,05-07,05-13
Bay-breasted Warbler,05-04,05-14,05-27
Baird's Sandpiper,05-15,05-21,05-30
Bald Eagle,02-18,02-28,03-01
Baltimore Oriole,05-02,05-14,06-26
Bank Swallow,04-22,05-14,09-03
Barrow's Goldeneye,04-07,04-07,04-07
Barn Swallow,04-16,05-14,09-05
Band-tailed Pigeon,02-28,02-28,02-28
Black-and-white Warbler,04-26,05-14,09-11
Black-crowned Night Heron,05-07,05-31,08-07
Belted Kingfisher,03-29,04-21,10-11
Black-billed Cuckoo,05-08,05-21,08-20
Black-bellied Plover,05-08,05-14,05-29
Blackburnian Warbler,05-02,05-31,07-12
Black-backed Woodpecker,02-25,02-28,03-10
Black-capped Chickadee,03-07,03-07,03-07
Blackpoll Warbler,05-06,05-14,05-30
Black Tern,05-08,05-14,05-20
Black Vulture,03-07,03-07,03-07
Blue Jay,05-02,05-07,05-16
Brown-headed Cowbird,03-31,04-30,07-02
Bobolink,05-03,05-14,06-30
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,04-29,05-14,05-24
Boreal Chickadee,03-04,03-07,03-10
Boreal Owl,03-14,03-14,03-14
Barred Owl,03-26,04-07,05-29
Brown Creeper,02-26,04-07,05-10
Brown Thrasher,04-16,04-30,07-19
Broad-winged Hawk,04-14,04-30,09-14
Black-throated Blue Warbler,04-30,05-14,07-23
Black-throated Green Warbler,04-24,05-14,09-26
Bufflehead,03-20,04-21,05-13
Blue-gray Gnatcatcher,05-03,05-31,06-06
Blue-headed Vireo,04-20,05-07,10-09
Blue-winged Teal,04-03,04-21,05-20
Blue-winged Warbler,05-08,05-21,06-13
Cackling Goose,03-15,03-31,04-13
Cape May Warbler,05-01,05-14,05-27
Canada Goose,02-28,03-31,06-14
Canvasback,03-19,03-21,03-24
Canada Warbler,05-08,05-21,07-03
Carolina Wren,03-14,03-14,03-14
Caspian Tern,04-26,05-31,09-15
Cedar Waxwing,05-15,05-31,09-18
Cerulean Warbler,05-15,05-21,05-30
Chipping Sparrow,04-14,04-30,10-14
Chimney Swift,05-01,05-21,09-05
Chestnut-sided Warbler,05-04,05-21,07-21
Clay-colored Sparrow,05-02,05-21,05-30
Cliff Swallow,04-29,05-14,07-06
Common Gallinule,05-01,05-07,05-13
Common Goldeneye,02-28,03-07,03-15
Common Grackle,03-06,04-30,10-18
Common Loon,04-05,05-31,11-26
Common Merganser,03-01,04-14,04-30
Common Nighthawk,05-10,05-31,09-07
Common Raven,02-28,02-28,02-28
Common Tern,05-04,05-21,09-03
Common Yellowthroat,05-03,05-21,09-28
Connecticut Warbler,05-16,05-31,06-06
Cooper's Hawk,04-22,04-30,05-07
Dark-eyed Junco,04-02,04-14,04-23
Double-crested Cormorant,04-04,05-14,10-19
Downy Woodpecker,03-07,03-07,03-07
Dunlin,05-09,05-21,05-30
Eastern Bluebird,03-19,05-31,10-28
Eastern Kingbird,05-01,05-21,08-25
Eastern Meadowlark,03-18,05-14,07-11
Eastern Screech-Owl,04-25,04-30,05-04
Eastern Phoebe,03-28,05-31,10-08
Eastern Towhee,04-17,05-14,10-02
Eastern Whip-poor-will,05-07,05-14,07-05
Eastern Wood-Pewee,05-13,05-31,09-11
Eurasian Collared-Dove,05-08,05-14,05-20
European Starling,03-01,04-30,06-14
Evening Grosbeak,04-20,04-21,04-22
Field Sparrow,04-17,05-14,10-04
Forster's Tern,05-08,05-14,05-20
Fox Sparrow,03-20,04-07,04-27
Gadwall,04-01,04-14,06-19
Great Black-backed Gull,03-14,03-14,03-14
Glaucous Gull,04-30,04-30,04-30
Green-winged Teal,03-22,04-21,05-10
Golden-crowned Kinglet,03-24,04-14,04-30
Golden Eagle,03-01,03-07,03-13
Golden-winged Warbler,05-07,05-14,06-19
Grasshopper Sparrow,04-15,04-21,04-29
Great Blue Heron,03-21,05-31,11-06
Great Crested Flycatcher,05-04,05-21,08-26
Great Egret,04-02,04-21,04-30
Greater Scaup,04-21,04-21,04-21
Greater Yellowlegs,04-08,04-21,05-19
Great Gray Owl,02-27,02-28,03-01
Great Horned Owl,03-11,03-21,04-06
Green Heron,04-24,05-14,10-04
Gray Catbird,05-02,05-14,10-03
Canada Jay,02-28,02-28,02-28
Gray-cheeked Thrush,05-02,05-14,05-27
Hairy Woodpecker,02-28,02-28,02-28
Harris's Sparrow,03-21,03-21,03-21
Helmeted Guineafowl,05-15,05-21,05-30
Hermit Thrush,04-08,05-07,08-13
Hooded Merganser,03-11,03-31,05-10
Horned Grebe,04-03,04-14,04-22
Horned Lark,02-13,02-28,03-03
House Finch,03-18,03-21,03-29
House Sparrow,05-07,05-07,05-07
Northern House Wren,04-25,05-14,09-27
Indigo Bunting,05-08,05-21,09-21
Killdeer,03-18,05-14,08-10
Lapland Longspur,04-02,04-07,04-12
Lark Sparrow,05-01,05-07,05-13
Least Bittern,05-01,05-07,05-31
Least Flycatcher,05-01,05-14,09-09
Least Sandpiper,05-04,05-14,05-28
Lesser Scaup,03-31,04-21,05-19
Lesser Yellowlegs,04-28,05-14,05-21
Lincoln's Sparrow,04-30,05-07,05-26
Long-eared Owl,03-15,03-21,03-29
Long-tailed Duck,02-23,03-07,03-12
Magnolia Warbler,05-03,05-14,07-12
Mallard,03-15,04-07,06-30
Marsh Wren,05-08,05-31,06-14
Merlin,03-12,04-07,10-21
Mourning Dove,03-10,03-21,03-25
Mourning Warbler,05-13,05-31,07-11
Muscovy Duck,04-22,04-30,05-06
Mute Swan,02-24,02-28,03-02
Nashville Warbler,04-27,05-14,07-08
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,02-20,03-14,03-24
Northern Flicker,04-03,04-30,10-05
American Goshawk,04-21,05-07,05-13
Northern Harrier,03-21,04-14,05-14
Northern Mockingbird,05-08,05-14,06-03
Northern Parula,04-30,05-14,07-07
Northern Pintail,04-01,04-07,04-20
Northern Shoveler,04-02,04-14,05-20
Northern Shrike,03-14,03-21,03-27
Northern Waterthrush,04-23,05-14,07-03
Northern Rough-winged Swallow,04-17,05-14,06-12
Northern Saw-whet Owl,03-22,03-31,04-06
Olive-sided Flycatcher,05-09,05-21,07-06
Orange-crowned Warbler,04-28,05-14,05-27
Osprey,04-02,05-31,09-13
Ovenbird,04-29,05-21,07-19
Painted Bunting,04-15,04-21,04-30
Palm Warbler,04-19,05-07,05-19
Pectoral Sandpiper,05-01,05-07,05-13
Peregrine Falcon,04-15,04-21,06-11
Philadelphia Vireo,05-07,05-14,05-30
Pied-billed Grebe,03-16,04-14,05-04
Pileated Woodpecker,04-25,04-30,05-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-18,03-07,03-23
Pine Warbler,04-11,04-30,08-07
Prairie Warbler,05-08,05-31,07-05
Purple Finch,04-08,04-30,05-18
Purple Martin,05-09,05-31,06-06
Red-breasted Merganser,05-15,05-21,05-24
Red-breasted Nuthatch,03-07,03-07,03-07
Red-bellied Woodpecker,03-07,03-07,03-07
Red Crossbill,02-22,02-28,03-02
Redhead,04-07,04-14,05-12
Red Knot,05-15,05-21,06-13
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-09,05-31,09-14
Red-headed Woodpecker,04-28,05-14,06-05
Red-necked Grebe,03-30,04-14,04-21
Red-shouldered Hawk,03-11,03-31,06-30
Red-tailed Hawk,03-17,03-31,04-17
Red-throated Loon,02-28,02-28,02-28
Red-winged Blackbird,03-03,04-30,08-15
Ring-billed Gull,03-14,04-21,11-21
Ring-necked Duck,03-19,04-21,05-07
Ring-necked Pheasant,04-14,04-21,04-29
Rose-breasted Grosbeak,04-30,05-14,07-18
Rock Pigeon,03-02,03-07,03-10
Rough-legged Hawk,03-17,03-31,04-05
Ruby-throated Hummingbird,05-02,05-21,09-14
Ruby-crowned Kinglet,04-09,04-21,05-14
Ruddy Duck,04-15,05-07,05-28
Ruddy Turnstone,05-14,05-21,05-30
