Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-15,05-21,05-30
Alder Flycatcher,05-14,05-31,07-06
American Black Duck,02-20,02-28,03-05
American Avocet,04-15,04-21,04-29
American Bittern,04-07,05-14,06-29
American Crow,02-17,03-07,05-13
American Goldfinch,04-17,05-07,09-23
American Kestrel,03-11,03-31,05-07
American Pipit,04-22,05-07,05-19
American Redstart,05-02,05-14,07-14
American Robin,03-01,04-30,08-27
American Wigeon,02-28,03-21,04-13
American Woodcock,03-01,05-14,06-11
American Golden-Plover,05-11,05-21,05-30
American Herring Gull,03-05,03-07,03-11
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,04-30,05-07,05-18
Arctic Tern,05-15,05-21,05-30
American Three-toed Woodpecker,02-28,02-28,02-28
Bay-breasted Warbler,05-03,05-14,05-26
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-25,05-14,07-20
Bank Swallow,04-17,05-21,08-20
Barrow's Goldeneye,02-28,02-28,02-28
Barnacle Goose,05-15,05-21,05-30
Barn Swallow,04-09,05-14,09-01
Black-and-white Warbler,04-22,05-07,07-03
Black-crowned Night Heron,04-11,05-31,08-28
Belted Kingfisher,03-22,04-30,11-04
Black-billed Cuckoo,05-07,05-21,09-08
Black-bellied Plover,05-07,05-21,05-31
Blackburnian Warbler,04-30,05-14,05-30
Black-backed Woodpecker,03-08,03-14,03-20
Black-capped Chickadee,04-30,04-30,04-30
Black-headed Gull,05-22,05-31,06-06
Black-legged Kittiwake,05-18,05-21,05-26
Black-necked Stilt,04-01,04-07,04-19
Blackpoll Warbler,05-08,05-21,05-31
Black Scoter,03-06,03-07,03-12
Black Tern,04-29,05-14,05-28
Black Vulture,03-23,04-07,04-13
Blue Grosbeak,05-01,05-07,05-13
Blue Jay,04-21,05-07,06-12
Brown-headed Cowbird,03-18,04-30,07-07
Bobolink,04-25,05-14,07-24
Bohemian Waxwing,02-18,02-28,03-04
Bonaparte's Gull,04-01,05-21,06-07
Boreal Chickadee,02-28,02-28,02-28
Brant,05-03,05-21,06-04
Barred Owl,05-12,05-14,05-17
Brewer's Blackbird,03-08,03-14,03-20
Brown Creeper,03-20,04-07,05-07
Brown Thrasher,04-11,04-30,07-08
Broad-winged Hawk,04-09,05-31,10-11
Black-throated Blue Warbler,04-25,05-14,05-29
Black-throated Green Warbler,04-22,05-14,06-26
Bufflehead,03-04,03-14,04-30
Blue-gray Gnatcatcher,04-18,05-14,05-29
Blue-headed Vireo,04-18,04-30,06-12
Blue-winged Teal,03-19,04-14,06-05
Blue-winged Warbler,04-25,05-31,06-28
Cackling Goose,02-20,02-28,04-01
Cape May Warbler,04-26,05-14,05-21
Canada Goose,02-20,03-14,05-25
Canvasback,03-03,03-14,03-25
Canada Warbler,05-05,05-21,06-11
Carolina Wren,04-02,04-21,05-19
Caspian Tern,04-04,05-14,09-19
Western Cattle-Egret,05-01,05-31,06-30
Cedar Waxwing,05-09,05-31,10-03
Cerulean Warbler,05-01,05-14,05-28
Chipping Sparrow,04-08,04-30,09-04
Chimney Swift,04-26,05-21,08-28
Chestnut-sided Warbler,05-01,05-14,07-17
Clay-colored Sparrow,04-26,05-14,07-27
Cliff Swallow,04-12,05-21,08-27
Common Gallinule,04-14,05-07,10-11
Common Goldeneye,03-07,03-14,03-19
Common Grackle,03-01,05-14,09-07
Common Loon,03-24,04-14,08-30
Common Merganser,03-03,03-14,03-23
Common Nighthawk,05-07,05-21,06-26
Common Raven,04-27,04-30,05-01
Common Tern,04-22,05-14,08-31
Common Yellowthroat,04-30,05-14,10-03
Connecticut Warbler,05-15,05-21,05-30
Cooper's Hawk,04-30,04-30,04-30
Dark-eyed Junco,04-07,04-07,04-07
Double-crested Cormorant,03-23,04-30,11-14
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-08,05-21,05-31
Eared Grebe,05-23,05-31,06-11
Eastern Bluebird,03-19,04-07,04-21
Eastern Kingbird,04-27,05-14,08-30
Eastern Meadowlark,03-14,04-07,07-26
Eastern Screech-Owl,04-09,04-14,04-26
Eastern Phoebe,03-23,04-07,10-22
Eastern Towhee,04-04,04-30,08-07
Eastern Whip-poor-will,04-18,04-30,07-07
Eastern Wood-Pewee,05-08,05-21,09-23
European Goldfinch,05-01,05-07,05-13
European Greenfinch,04-15,04-21,04-29
European Starling,02-28,04-30,06-13
Eurasian Wigeon,03-08,03-21,03-31
Eurasian Tree Sparrow,05-08,05-14,05-20
Evening Grosbeak,04-14,04-14,04-14
Field Sparrow,04-04,04-30,08-11
Fish Crow,05-11,05-21,05-30
Forster's Tern,05-15,05-21,05-30
Fox Sparrow,03-31,04-14,04-21
Franklin's Gull,05-15,05-21,05-30
Gadwall,03-01,05-21,06-05
Great Black-backed Gull,03-07,03-07,03-07
Glaucous Gull,02-28,02-28,02-28
Glossy Ibis,05-08,05-14,05-20
Green-winged Teal,03-03,04-14,05-12
Golden-crowned Kinglet,03-22,04-07,04-27
Golden Eagle,03-31,03-31,03-31
