Species,Mass Arrival Date,Peak Date,Peak Over Date
African Collared-Dove,03-15,03-21,03-30
Alder Flycatcher,05-13,05-31,08-06
American Black Duck,03-03,03-21,04-11
American Bittern,04-10,05-21,09-05
American Crow,02-20,03-14,04-03
American Goldfinch,04-02,05-14,09-28
American Kestrel,03-14,04-07,09-27
American Pipit,04-22,05-07,05-19
American Redstart,05-01,05-14,09-13
American Robin,03-06,05-07,11-07
American Wigeon,03-14,04-07,05-02
American Woodcock,03-09,03-31,06-13
American Golden-Plover,05-15,05-21,05-30
American Herring Gull,03-03,03-21,05-02
American Tree Sparrow,04-07,04-07,04-07
American White Pelican,05-22,05-31,06-06
Arctic Tern,05-13,05-31,06-12
American Three-toed Woodpecker,02-28,02-28,02-28
Bay-breasted Warbler,05-03,05-14,05-27
Baird's Sandpiper,05-15,05-21,05-30
Bald Eagle,02-25,03-21,04-29
Baltimore Oriole,05-01,05-14,07-18
Bank Swallow,04-16,05-21,08-22
Barrow's Goldeneye,03-07,03-07,03-07
Barnacle Goose,03-15,03-21,03-30
Barn Swallow,04-11,05-21,08-31
Black-and-white Warbler,04-24,05-14,09-15
Black-crowned Night Heron,04-11,05-31,09-25
Belted Kingfisher,03-31,04-30,10-27
Black-billed Cuckoo,05-09,05-21,08-06
Black-bellied Plover,05-08,05-21,06-04
Blackburnian Warbler,04-30,05-14,05-29
Black-backed Woodpecker,03-07,03-07,03-07
Black-capped Chickadee,02-28,02-28,02-28
Black-legged Kittiwake,05-23,05-31,06-06
Blackpoll Warbler,05-08,05-21,05-31
Black Scoter,05-15,05-21,05-30
Black Swan,05-16,05-31,06-06
Black Tern,05-05,05-31,06-12
Black Vulture,03-15,03-21,03-31
Blue Grosbeak,05-23,05-31,06-06
Blue Jay,04-24,05-14,11-29
Brown-headed Cowbird,03-24,04-30,07-14
Bobolink,05-02,05-31,07-15
Bohemian Waxwing,03-17,03-31,04-11
Bonaparte's Gull,05-04,05-31,06-17
Boreal Chickadee,02-28,02-28,02-28
Boreal Owl,02-21,02-28,03-05
Brant,05-01,05-21,06-07
Barred Owl,02-28,02-28,02-28
Brown Creeper,03-31,04-14,05-03
Brown Thrasher,04-14,04-30,08-01
Broad-winged Hawk,04-11,04-30,09-15
Black-throated Blue Warbler,04-30,05-14,05-21
Black-throated Green Warbler,04-24,05-14,06-30
Budgerigar,03-06,03-07,03-08
Bufflehead,03-22,04-14,05-06
Blue-gray Gnatcatcher,04-15,04-30,05-15
Blue-headed Vireo,04-18,04-30,05-23
Blue-winged Teal,03-20,04-21,06-21
Blue-winged Warbler,05-08,05-31,06-20
Cackling Goose,02-23,03-21,04-25
Cape May Warbler,04-29,05-14,05-21
Canada Goose,02-27,04-07,12-12
Canvasback,03-21,03-21,03-21
Canada Warbler,05-07,05-14,06-21
Carolina Wren,04-21,04-21,04-21
Caspian Tern,05-04,05-31,09-25
Western Cattle-Egret,05-01,05-07,05-13
Cedar Waxwing,05-09,05-31,09-22
Cerulean Warbler,05-08,05-14,05-20
Chipping Sparrow,04-09,04-30,10-06
Chimney Swift,04-27,05-21,08-30
Chestnut-sided Warbler,05-03,05-14,07-21
Chukar,02-28,02-28,02-28
Chuck-will's-widow,05-08,05-14,05-20
Clay-colored Sparrow,05-03,05-31,07-30
Cliff Swallow,04-14,05-21,08-29
Common Gallinule,04-21,05-21,10-08
Common Goldeneye,03-06,03-07,03-08
Common Grackle,03-07,05-14,09-05
Common Loon,04-05,04-21,06-13
Common Merganser,03-15,04-14,05-01
Common Nighthawk,05-10,05-21,09-14
Common Raven,02-21,03-07,03-20
Common Tern,04-27,05-14,09-04
Common Yellowthroat,05-03,05-21,09-21
Connecticut Warbler,05-16,05-31,06-06
Cooper's Hawk,03-09,03-14,04-12
Dark-eyed Junco,04-01,04-14,04-23
Double-crested Cormorant,03-26,05-21,11-07
Downy Woodpecker,04-28,04-30,05-02
Dunlin,05-08,05-21,05-31
Eared Grebe,05-23,05-31,06-06
Eastern Bluebird,03-12,05-31,08-29
Eastern Kingbird,05-01,05-21,08-26
Eastern Meadowlark,03-20,05-31,07-30
Eastern Screech-Owl,05-07,05-07,05-07
Eastern Phoebe,03-26,04-14,10-11
Eastern Towhee,04-18,05-31,08-02
Eastern Whip-poor-will,04-30,05-21,07-20
Eastern Wood-Pewee,05-10,05-31,09-15
Eurasian Collared-Dove,04-22,04-30,05-06
European Goldfinch,03-01,03-07,03-20
European Starling,03-01,05-21,08-15
Eurasian Wigeon,05-01,05-21,07-05
Evening Grosbeak,04-07,04-07,04-07
Field Sparrow,04-08,05-31,08-26
Fox Sparrow,03-31,04-14,04-30
Franklin's Gull,05-14,05-21,06-21
Gadwall,04-01,05-21,08-21
Garganey,05-08,05-14,05-20
Great Black-backed Gull,03-14,03-14,03-14
Glaucous Gull,03-07,03-07,03-07
Green-winged Teal,03-18,04-21,05-11
Golden-crowned Kinglet,03-23,04-07,04-29
Golden-crowned Sparrow,02-18,02-28,03-03
Golden Eagle,02-24,03-14,03-30
Golden Pheasant,05-08,05-14,05-20
Golden-winged Warbler,04-28,05-21,06-27
Graylag Goose,03-20,03-31,04-06
Grasshopper Sparrow,05-03,05-31,07-30
Great Blue Heron,03-22,05-31,11-14
Great Crested Flycatcher,05-01,05-21,09-02
Great Egret,04-02,05-21,10-28
Greater Scaup,03-23,04-21,05-06
Greater Yellowlegs,04-07,04-21,05-18
Great Gray Owl,03-05,03-07,03-15
Great Horned Owl,04-30,05-07,05-16
Green Heron,04-23,05-21,10-01
Gray Catbird,04-30,05-14,10-04
Gray Partridge,02-28,02-28,02-28
Greater White-fronted Goose,02-22,03-21,04-11
Gray-cheeked Thrush,05-09,05-21,05-30
Gyrfalcon,03-07,03-07,03-07
Hairy Woodpecker,02-28,02-28,02-28
Harlequin Duck,02-28,02-28,02-28
Hermit Thrush,04-07,04-21,05-28
Hooded Merganser,03-11,04-07,05-08
Hooded Warbler,04-15,04-21,05-06
Horned Grebe,04-07,04-21,05-07
Horned Lark,02-18,02-28,03-16
House Finch,02-21,02-28,03-03
House Sparrow,03-03,03-14,03-20
Northern House Wren,04-23,05-31,09-15
Indigo Bunting,05-07,05-31,08-20
Killdeer,03-12,05-21,10-12
Lady Amherst's Pheasant,03-03,03-07,03-14
Lapland Longspur,02-28,02-28,02-28
Lark Sparrow,04-27,04-30,05-03
Laughing Gull,05-28,05-31,06-03
Lazuli Bunting,02-28,02-28,02-28
Lesser Black-backed Gull,03-21,04-14,05-04
Least Bittern,05-11,05-31,08-25
Least Flycatcher,05-01,05-14,07-11
Least Sandpiper,05-05,05-14,05-29
Lesser Scaup,03-25,04-21,05-13
Lesser Yellowlegs,04-16,05-07,05-21
Lincoln's Sparrow,04-30,05-14,07-01
Little Egret,05-23,05-31,06-14
Little Gull,05-22,05-31,06-14
Long-billed Dowitcher,03-15,03-21,04-05
Long-eared Owl,03-01,03-07,04-09
Loggerhead Shrike,05-01,05-07,05-15
Long-tailed Duck,04-16,04-21,04-28
Magnolia Warbler,05-03,05-14,05-30
Mallard,03-04,04-21,12-07
Marbled Godwit,05-08,05-31,06-09
Marsh Wren,05-01,05-31,08-14
Merlin,03-06,04-21,11-15
Mourning Dove,03-09,05-31,09-05
Mourning Warbler,05-07,05-21,07-10
Muscovy Duck,03-12,04-07,04-11
Mute Swan,05-15,05-21,05-30
Nashville Warbler,04-24,05-14,06-17
Neotropic Cormorant,04-09,04-21,05-03
Northern Hawk Owl,02-19,02-28,03-02
Northern Bobwhite,02-28,02-28,02-28
Northern Cardinal,04-02,05-07,05-21
Northern Flicker,04-01,04-21,10-05
American Goshawk,03-16,03-21,03-28
Northern Harrier,03-12,04-07,06-05
Northern Mockingbird,04-25,05-07,06-12
Northern Parula,04-26,05-14,05-23
Northern Pintail,02-27,04-07,04-28
Northern Shoveler,03-16,04-21,05-31
Northern Shrike,03-14,03-14,03-14
Northern Waterthrush,04-22,05-14,07-07
Northern Rough-winged Swallow,04-09,04-30,08-12
Nelson's Sparrow,05-23,05-31,06-06
Northern Saw-whet Owl,03-07,03-14,03-21
Olive-sided Flycatcher,05-11,05-31,06-14
Orchard Oriole,05-15,05-21,06-03
Orange-crowned Warbler,04-27,05-14,05-26
Osprey,04-01,04-21,09-26
Ovenbird,04-30,05-14,07-18
Painted Bunting,04-22,04-30,05-06
Palm Warbler,04-17,05-07,05-20
Parasitic Jaeger,05-15,05-21,05-30
Pectoral Sandpiper,04-05,05-14,05-21
Peregrine Falcon,03-08,03-14,03-19
Philadelphia Vireo,05-06,05-21,05-30
Pied-billed Grebe,03-22,04-21,11-06
Pink-footed Goose,04-01,04-07,04-13
Pileated Woodpecker,04-02,04-07,05-05
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-12,03-07,03-13
Pine Warbler,04-07,04-30,07-22
Piping Plover,05-01,05-07,05-13
Prairie Warbler,05-15,05-21,05-30
Purple Finch,03-06,04-30,10-15
Purple Martin,04-11,05-31,08-20
Purple Sandpiper,04-15,04-21,05-11
Red-breasted Merganser,04-03,04-14,05-06
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,02-28,02-28,02-28
Redhead,04-01,04-07,05-27
Red Junglefowl,03-22,03-31,04-06
Red Knot,05-15,05-21,05-31
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-08,05-31,09-20
Red-headed Woodpecker,05-21,05-21,05-21
Red-necked Grebe,04-09,04-30,05-17
Red-necked Phalarope,05-08,05-31,06-07
Red-shouldered Hawk,03-08,03-21,05-03
Red-tailed Hawk,03-12,03-14,03-24
Red-throated Loon,05-14,05-21,05-31
Red-winged Blackbird,03-02,04-30,08-16
Ring-billed Gull,03-01,04-07,12-08
Ring-necked Duck,03-15,04-07,05-05
Rose-breasted Grosbeak,04-30,05-14,09-20
Rock Pigeon,03-04,03-14,03-19
Rough-legged Hawk,03-10,03-14,03-31
Ross's Goose,03-08,04-07,04-21
Ruby-throated Hummingbird,05-03,05-21,09-17
Ruby-crowned Kinglet,04-10,04-21,05-14
Ruddy Duck,03-29,04-21,05-30
Ruddy Turnstone,05-15,05-31,06-07
Ruff,05-01,05-07,05-13
Ruffed Grouse,03-31,04-14,05-23
Rusty Blackbird,04-03,04-30,05-14
Sabine's Gull,05-23,05-31,06-06
Sandhill Crane,03-12,04-07,04-28
Sanderling,05-22,05-31,06-06
Savannah Sparrow,04-06,05-31,08-05
Scarlet Tanager,05-03,05-14,09-26
Scissor-tailed Flycatcher,05-23,05-31,06-06
Sedge Wren,05-04,05-31,08-07
Semipalmated Plover,05-07,05-21,06-05
Semipalmated Sandpiper,05-10,05-31,06-13
Short-billed Dowitcher,05-08,05-14,06-05
Short-eared Owl,03-31,03-31,03-31
Sharp-shinned Hawk,04-02,04-21,04-29
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-14,04-21,04-29
Snow Goose,02-23,03-21,05-04
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-22,05-14,05-23
Song Sparrow,03-14,05-14,10-21
Sora,04-17,05-14,09-12
Spotted Sandpiper,04-23,05-21,09-20
