Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-20,05-31,06-06
Alder Flycatcher,05-10,05-31,06-28
American Black Duck,02-22,03-21,04-10
American Bittern,04-12,05-31,07-20
American Crow,02-20,03-14,08-05
American Goldfinch,04-24,05-07,05-21
American Kestrel,03-18,04-14,05-16
American Pipit,04-22,04-30,05-13
American Redstart,05-01,05-14,07-03
American Robin,02-27,05-07,08-26
American Wigeon,02-26,04-07,04-28
American Woodcock,03-04,05-14,07-23
American Golden-Plover,04-21,04-30,05-07
American Herring Gull,03-04,03-07,03-19
American Tree Sparrow,02-28,02-28,02-28
Bay-breasted Warbler,05-02,05-14,05-27
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-26,05-14,08-26
Bank Swallow,04-20,05-14,08-25
Barrow's Goldeneye,04-07,04-07,04-07
Barn Swallow,04-10,05-14,08-28
Black-and-white Warbler,04-22,05-07,05-28
Black-crowned Night Heron,04-25,05-31,10-18
Belted Kingfisher,03-28,04-30,10-27
Black-billed Cuckoo,05-09,05-31,09-12
Black-bellied Plover,05-07,05-21,06-01
Blackburnian Warbler,04-29,05-14,05-28
Black-capped Chickadee,03-07,03-07,03-07
Blackpoll Warbler,05-07,05-21,05-31
Black Scoter,04-01,04-14,05-18
Black Tern,04-30,05-21,08-05
Black Vulture,04-09,04-14,04-20
Blue Grosbeak,05-15,05-21,05-29
Blue Jay,05-03,05-07,05-18
Brown-headed Cowbird,03-19,04-14,07-13
Bobolink,04-30,05-14,07-05
Bohemian Waxwing,02-28,03-07,03-13
Bonaparte's Gull,03-24,04-14,05-04
Brant,05-03,05-14,05-31
Barred Owl,02-22,02-28,03-14
Brown Creeper,03-23,04-14,04-30
Brown Thrasher,04-09,04-30,09-18
Broad-winged Hawk,04-13,05-14,06-10
Black-throated Blue Warbler,04-25,05-07,05-21
Black-throated Green Warbler,04-24,05-07,05-28
Bufflehead,03-05,03-31,05-01
Blue-gray Gnatcatcher,04-16,05-07,06-03
Blue-headed Vireo,04-17,05-07,05-21
Blue-winged Teal,03-21,04-14,05-07
Blue-winged Warbler,04-23,05-07,05-20
Cackling Goose,02-24,03-14,03-23
Cape May Warbler,04-27,05-07,05-21
Canada Goose,02-22,03-07,05-27
Canvasback,02-23,03-14,03-29
Canada Warbler,05-03,05-14,05-31
Carolina Wren,03-27,04-14,04-19
Caspian Tern,04-09,05-21,09-14
Western Cattle-Egret,04-22,04-30,05-06
Cedar Waxwing,04-28,05-14,11-26
Cerulean Warbler,04-23,05-14,05-21
Chipping Sparrow,04-08,05-07,09-01
Chimney Swift,04-30,05-14,09-08
Chestnut-sided Warbler,04-30,05-14,05-30
Chuck-will's-widow,05-08,05-21,07-17
Clay-colored Sparrow,05-01,05-14,07-25
Cliff Swallow,04-14,05-07,06-12
Common Gallinule,04-16,05-14,10-04
Common Goldeneye,03-02,03-07,03-15
Common Grackle,03-02,04-14,08-26
Common Loon,03-25,04-14,12-01
Common Merganser,02-23,03-21,05-27
Common Nighthawk,05-08,05-21,06-06
Indian Peafowl,05-08,05-14,05-20
Common Raven,03-24,04-30,05-16
Common Tern,04-19,05-31,09-07
Common Yellowthroat,04-30,05-21,09-25
Cooper's Hawk,04-18,04-21,04-26
Dark-eyed Junco,04-07,04-07,04-07
Dickcissel,05-23,05-31,06-06
Double-crested Cormorant,04-02,05-07,11-09
Downy Woodpecker,04-14,04-14,04-14
Dunlin,05-08,05-21,06-04
Eastern Bluebird,03-14,05-31,07-07
Eastern Kingbird,04-25,05-14,09-01
Eastern Meadowlark,03-12,05-31,08-10
Eastern Screech-Owl,03-09,03-14,03-23
Eastern Phoebe,03-22,04-07,10-29
Eastern Towhee,04-07,05-07,10-16
Eastern Whip-poor-will,04-28,05-21,07-14
Eastern Wood-Pewee,05-08,05-21,09-19
European Starling,02-19,03-21,05-11
Eurasian Wigeon,04-01,04-07,04-14
Eurasian Tree Sparrow,05-15,05-21,05-30
Evening Grosbeak,04-23,05-07,05-14
