Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-12,05-31,08-05
American Black Duck,03-10,03-31,05-02
American Avocet,05-01,05-07,05-13
American Bittern,04-16,04-30,10-05
American Crow,02-19,03-14,04-02
American Goldfinch,04-26,05-14,05-20
American Kestrel,03-20,04-21,05-28
American Pipit,04-29,05-07,05-22
American Redstart,05-03,05-14,07-17
American Robin,03-05,05-07,11-02
American Wigeon,03-18,04-21,11-12
American Woodcock,03-13,04-21,06-06
American Golden-Plover,05-08,05-14,05-20
American Herring Gull,03-17,03-31,04-20
American Tree Sparrow,03-14,03-14,03-14
Bay-breasted Warbler,05-07,05-14,05-29
Bald Eagle,05-02,05-07,05-16
Baltimore Oriole,05-01,05-14,08-23
Bank Swallow,05-02,05-21,09-06
Barn Swallow,04-17,05-14,09-09
Black-and-white Warbler,04-25,05-14,07-18
Black-crowned Night Heron,04-08,04-14,05-05
Belted Kingfisher,03-31,05-14,10-30
Black-billed Cuckoo,05-07,05-31,08-10
Black-bellied Plover,05-08,05-21,06-03
Blackburnian Warbler,05-02,05-14,07-13
Black-backed Woodpecker,05-14,05-14,05-14
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-12,05-21,06-03
Black Tern,04-25,05-21,06-07
Black Vulture,04-22,04-30,05-06
Blue Jay,05-07,05-07,05-07
Brown-headed Cowbird,03-26,04-14,07-18
Bobolink,05-02,05-31,09-06
Bohemian Waxwing,02-23,02-28,03-03
Bonaparte's Gull,04-24,05-14,05-27
Boreal Chickadee,02-28,02-28,02-28
Brant,05-07,05-14,06-07
Barred Owl,04-16,04-21,04-30
Brown Creeper,04-21,04-21,04-21
Brown Thrasher,04-14,04-30,07-29
Broad-winged Hawk,04-13,04-30,07-28
Black-throated Blue Warbler,05-02,05-14,05-21
Black-throated Green Warbler,04-27,05-14,07-17
Bufflehead,03-24,04-21,05-14
Blue-headed Vireo,04-22,05-07,07-12
Blue-winged Teal,04-08,05-21,10-27
Cackling Goose,03-15,03-31,05-02
Cape May Warbler,05-03,05-14,06-15
Canada Goose,03-03,03-31,06-12
Canada Warbler,05-10,05-31,07-04
Carolina Wren,03-21,03-21,03-21
Caspian Tern,05-03,05-14,05-31
Cedar Waxwing,05-14,05-31,09-19
Chipping Sparrow,04-10,05-07,08-19
Chimney Swift,05-01,05-31,09-03
Chestnut-sided Warbler,05-03,05-14,07-26
Clay-colored Sparrow,05-09,05-31,07-27
Cliff Swallow,04-19,05-21,09-17
Common Gallinule,04-27,05-21,10-17
Common Goldeneye,03-18,03-31,05-21
Common Grackle,03-03,05-14,08-21
Common Loon,04-09,04-30,06-17
Common Merganser,03-18,04-21,05-20
Common Nighthawk,05-15,05-21,06-05
Indian Peafowl,02-28,02-28,02-28
Common Raven,04-30,04-30,04-30
Common Tern,05-01,05-14,07-03
Common Yellowthroat,05-03,05-31,08-07
Cooper's Hawk,04-21,04-21,04-21
Dark-eyed Junco,04-14,04-14,04-14
Double-crested Cormorant,04-15,05-14,11-08
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-06,05-21,05-31
Eastern Bluebird,05-07,05-21,08-25
Eastern Kingbird,04-29,05-14,09-02
Eastern Meadowlark,04-04,05-31,07-31
Eastern Screech-Owl,02-27,02-28,03-01
Eastern Phoebe,03-31,05-14,10-13
Eastern Towhee,05-14,05-21,07-11
Eastern Whip-poor-will,04-27,05-31,07-14
Eastern Wood-Pewee,05-13,05-31,09-17
European Starling,05-09,05-31,06-20
Eurasian Wigeon,05-15,05-21,05-30
Eurasian Tree Sparrow,02-28,02-28,02-28
Evening Grosbeak,02-28,02-28,02-28
Field Sparrow,04-15,04-30,05-28
Fox Sparrow,04-02,04-14,04-29
Gadwall,04-07,05-21,11-01
Great Black-backed Gull,03-31,03-31,03-31
Glaucous Gull,03-07,03-07,03-07
Green-winged Teal,03-20,04-21,11-29
Golden-crowned Kinglet,04-06,04-21,04-29
Golden Eagle,03-07,03-21,04-12
Golden-winged Warbler,05-09,05-21,06-05
Graylag Goose,03-07,03-07,03-07
Grasshopper Sparrow,05-09,05-21,07-31
Great Blue Heron,03-23,05-14,11-27
Great Crested Flycatcher,05-02,05-31,08-25
Great Egret,04-15,04-21,04-29
Greater Scaup,04-02,04-21,05-18
Greater Yellowlegs,04-10,05-07,05-28
Great Gray Owl,02-27,03-07,03-12
Great Horned Owl,02-27,03-07,04-27
Green Heron,04-25,05-14,10-04
Gray Catbird,04-30,05-14,10-03
Gray Partridge,02-28,02-28,02-28
Greater White-fronted Goose,03-16,03-31,04-12
Gyrfalcon,03-09,03-14,03-21
Hairy Woodpecker,02-28,02-28,02-28
Harris's Sparrow,02-28,02-28,02-28
Hermit Thrush,04-12,04-30,07-29
Hooded Merganser,03-14,03-31,06-02
Horned Grebe,04-17,04-30,05-07
Horned Lark,02-19,02-28,03-18
House Finch,05-31,05-31,05-31
House Sparrow,05-31,05-31,05-31
Northern House Wren,04-29,05-31,08-28
Hudsonian Godwit,05-15,05-21,05-29
Indigo Bunting,05-08,05-31,08-19
Killdeer,03-18,05-21,09-13
Lapland Longspur,02-28,02-28,02-28
Laughing Gull,05-15,05-21,05-30
Lesser Black-backed Gull,03-27,03-31,04-03
Least Bittern,05-12,05-31,06-20
Least Flycatcher,04-29,05-14,07-14
Least Sandpiper,04-30,05-21,05-31
Lesser Scaup,04-01,04-21,05-24
Lesser Yellowlegs,04-20,05-07,05-28
Little Blue Heron,05-01,05-07,05-17
Lincoln's Sparrow,05-05,05-14,05-26
Long-billed Dowitcher,05-08,05-14,05-20
Long-eared Owl,04-08,04-14,04-20
Long-tailed Duck,05-08,05-14,05-28
Magnolia Warbler,05-04,05-14,07-15
Mallard,03-14,05-14,12-05
Mandarin Duck,03-08,03-14,03-20
Marbled Godwit,05-08,05-14,05-28
Marsh Wren,05-01,05-21,08-28
Merlin,03-26,05-14,05-22
Mourning Dove,04-26,04-30,05-06
Mourning Warbler,05-10,05-31,07-12
Mute Swan,05-08,05-14,05-20
Nashville Warbler,04-26,05-14,06-19
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,03-07,03-07,03-07
Northern Flicker,04-03,04-30,10-05
American Goshawk,02-28,02-28,02-28
Northern Harrier,03-16,04-07,12-06
Northern Parula,05-01,05-14,05-24
Northern Pintail,03-04,03-31,05-11
Northern Shoveler,04-04,05-21,12-02
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-23,05-14,07-07
Northern Rough-winged Swallow,04-16,05-21,06-13
Northern Saw-whet Owl,03-02,03-07,03-12
Olive-sided Flycatcher,05-08,05-21,05-30
Orange-crowned Warbler,05-08,05-14,05-20
Osprey,04-04,05-07,09-28
Ovenbird,04-30,05-14,07-17
Palm Warbler,04-19,05-07,05-20
Pectoral Sandpiper,04-23,05-07,05-28
Peregrine Falcon,05-06,05-14,05-28
Philadelphia Vireo,05-07,05-14,06-06
Pied-billed Grebe,04-17,05-21,10-17
Pink-footed Goose,03-22,03-31,04-06
Pileated Woodpecker,04-22,04-30,05-17
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-16,02-28,03-09
Pine Warbler,04-09,05-31,07-19
Purple Finch,04-07,04-30,05-21
Purple Martin,04-22,05-21,08-14
Purple Sandpiper,05-15,05-21,05-29
Red-breasted Merganser,04-12,05-14,05-28
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,03-21,03-21,03-21
Redhead,04-01,05-14,11-05
Red Knot,05-15,05-21,06-06
Redpoll,02-05,02-28,03-01
Red-eyed Vireo,05-08,05-31,09-16
Red-necked Grebe,04-16,05-07,05-13
Red-necked Phalarope,05-15,05-21,06-03
Red-shouldered Hawk,03-16,05-14,05-31
Red-tailed Hawk,04-07,04-07,04-07
Red-winged Blackbird,03-03,05-31,11-01
Ring-billed Gull,03-05,03-31,06-13
Ring-necked Duck,03-17,04-21,05-20
Rose-breasted Grosbeak,04-28,05-14,08-08
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,03-21,03-21,03-21
Ross's Goose,03-14,03-31,04-17
Ruby-throated Hummingbird,05-02,05-14,09-15
Ruby-crowned Kinglet,04-11,04-30,05-12
Ruddy Duck,04-05,05-21,11-14
Ruddy Turnstone,05-13,05-21,05-31
Ruff,04-22,04-30,05-06
Ruffed Grouse,04-09,04-30,05-20
Rusty Blackbird,04-10,04-30,05-19
Sandhill Crane,03-21,03-31,05-04
Sanderling,05-15,05-21,06-10
Savannah Sparrow,04-08,05-21,10-13
Say's Phoebe,05-01,05-07,05-13
Scarlet Tanager,05-07,05-14,07-21
Semipalmated Plover,05-04,05-21,06-05
Semipalmated Sandpiper,05-10,05-21,06-07
Short-billed Dowitcher,05-07,05-14,05-30
Short-eared Owl,05-14,05-14,05-14
Sharp-shinned Hawk,04-17,04-21,05-03
Snow Bunting,02-20,02-28,03-02
Snow Goose,03-03,03-31,06-02
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,05-02,05-14,05-21
Song Sparrow,03-15,05-31,10-25
Sora,04-26,05-21,06-11
Spotted Sandpiper,04-24,05-21,09-18
Stilt Sandpiper,05-09,05-21,05-29
Surf Scoter,05-01,05-14,05-20
Swamp Sparrow,04-11,05-14,10-14
Swainson's Thrush,05-05,05-14,05-29
Tennessee Warbler,05-07,05-14,05-28
Tree Swallow,04-04,05-14,09-15
Trumpeter Swan,03-01,03-07,03-13
Tufted Titmouse,03-09,03-14,03-19
Tundra Swan,03-01,03-07,04-08
Turkey Vulture,03-15,03-31,10-23
Upland Sandpiper,04-17,05-31,08-01
Varied Thrush,03-07,03-07,03-07
Veery,05-03,05-31,07-20
Vesper Sparrow,04-04,04-30,09-03
Virginia Rail,04-21,05-14,08-20
Warbling Vireo,04-30,05-31,08-04
Western Sandpiper,05-15,05-21,05-30
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-20
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-08,05-21,06-11
White-throated Sparrow,04-12,04-30,07-17
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,05-07,05-14,06-15
Willow Flycatcher,05-14,05-21,08-02
Willet,05-15,05-21,06-04
Wilson's Phalarope,04-25,05-14,06-03
Wilson's Snipe,04-01,04-30,08-07
Wild Turkey,04-22,04-30,05-06
Winter Wren,04-07,05-14,07-20
Wilson's Warbler,05-07,05-14,05-27
Wood Duck,03-21,05-21,10-31
Wood Thrush,05-01,05-14,07-22
American Coot,05-11,05-21,11-05
Iceland Gull,04-12,04-14,04-16
Yellow-billed Cuckoo,05-08,05-14,05-28
Yellow-bellied Flycatcher,05-15,05-21,05-29
Yellow-bellied Sapsucker,04-03,04-30,08-05
