Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-15,05-31,08-04
American Black Duck,03-21,04-21,05-02
American Avocet,04-15,04-21,04-29
American Bittern,04-16,05-21,06-21
American Crow,02-22,03-21,10-19
American Goldfinch,05-14,05-14,05-14
American Kestrel,03-21,04-21,05-19
American Pipit,05-07,05-14,05-29
American Redstart,05-02,05-21,09-13
American Robin,03-16,04-30,10-28
American Wigeon,04-08,04-21,05-19
American Woodcock,03-18,05-07,06-02
American Herring Gull,03-03,03-31,06-05
American Tree Sparrow,04-09,04-21,04-24
American White Pelican,05-01,05-07,05-13
Bay-breasted Warbler,05-02,05-14,06-01
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-30,05-14,06-19
Bank Swallow,04-30,05-31,08-27
Barn Swallow,04-16,05-21,08-30
Black-and-white Warbler,04-26,05-14,09-15
Black-crowned Night Heron,05-09,05-31,08-07
Belted Kingfisher,04-02,04-30,10-16
Black-billed Cuckoo,05-14,05-31,08-05
Black-bellied Plover,05-15,05-21,05-31
Blackburnian Warbler,05-01,05-14,07-18
Black-backed Woodpecker,02-28,03-07,03-17
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-07,05-21,06-02
Black Scoter,05-01,05-07,05-20
Black Tern,05-01,05-07,05-13
Blue Grosbeak,04-22,04-30,05-06
Blue Jay,05-14,05-14,05-14
Brown-headed Cowbird,04-02,04-30,06-06
Bobolink,05-07,05-21,07-07
Bohemian Waxwing,02-27,02-28,03-01
Bonaparte's Gull,04-25,05-07,05-28
Boreal Chickadee,03-14,03-14,03-14
Boreal Owl,03-08,03-14,03-20
Brant,05-08,05-14,05-20
Barred Owl,04-01,04-07,04-12
Brewer's Blackbird,05-01,05-07,05-13
Brown Creeper,03-25,04-14,05-07
Brown Thrasher,04-19,05-21,07-30
Broad-winged Hawk,04-15,04-30,09-18
Black-throated Blue Warbler,05-02,05-21,07-19
Black-throated Green Warbler,04-26,05-14,07-28
Bufflehead,03-24,04-14,05-13
Blue-headed Vireo,04-22,05-14,10-10
Blue-winged Teal,04-08,04-21,06-07
Blue-winged Warbler,04-22,04-30,05-10
Cackling Goose,04-15,04-21,04-29
Cape May Warbler,05-02,05-14,06-11
Canada Goose,03-03,03-31,06-16
Canvasback,03-15,03-21,03-29
Canada Warbler,05-12,05-31,07-05
Carolina Wren,03-21,03-21,03-21
Caspian Tern,04-20,05-21,09-06
Cedar Waxwing,05-15,05-31,09-15
