Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-13,05-21,08-03
American Black Duck,04-02,04-14,04-21
American Bittern,04-14,05-07,06-14
American Crow,02-28,04-14,10-27
American Goldfinch,05-05,05-07,05-10
American Kestrel,03-26,04-14,06-04
American Pipit,05-08,05-14,05-24
American Redstart,05-03,05-21,09-10
American Robin,03-16,04-14,10-28
American Wigeon,04-06,04-14,05-02
American Woodcock,03-16,05-07,06-02
American Herring Gull,03-20,04-07,10-25
American Tree Sparrow,03-18,04-14,04-26
American Three-toed Woodpecker,03-01,03-07,03-14
Bay-breasted Warbler,05-11,05-31,07-05
Bald Eagle,02-20,02-28,03-25
Baltimore Oriole,05-07,05-14,06-09
Bank Swallow,05-01,05-07,05-13
Barn Swallow,04-24,05-07,08-29
Black-and-white Warbler,04-26,05-21,09-05
Black-crowned Night Heron,05-08,05-14,05-20
Belted Kingfisher,04-03,04-30,10-18
Black-billed Cuckoo,05-14,05-31,07-29
Blackburnian Warbler,05-02,05-21,07-13
Black-backed Woodpecker,03-10,03-14,03-16
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-08,05-14,06-06
Blue Jay,02-28,02-28,02-28
Brown-headed Cowbird,04-02,04-14,05-20
Bobolink,05-06,05-21,07-21
Bohemian Waxwing,03-06,03-07,03-08
Bonaparte's Gull,05-06,05-14,05-21
Boreal Chickadee,03-31,03-31,03-31
Boreal Owl,03-07,03-07,03-07
Barred Owl,03-03,03-07,03-12
Brewer's Blackbird,04-22,04-30,05-06
Brown Creeper,02-25,02-28,03-06
Brown Thrasher,04-19,05-14,07-19
Broad-winged Hawk,04-17,04-30,09-17
Black-throated Blue Warbler,05-02,05-21,07-21
Black-throated Green Warbler,04-25,05-21,07-29
Bufflehead,03-28,04-21,05-11
Blue-headed Vireo,04-22,05-07,09-30
Blue-winged Teal,04-08,04-14,05-05
Blue-winged Warbler,05-15,05-21,05-30
Cackling Goose,04-15,04-21,04-29
Cape May Warbler,04-29,05-31,07-03
Canada Goose,03-05,04-30,06-13
Canada Warbler,05-11,05-21,07-20
Caspian Tern,04-22,05-07,06-14
Cedar Waxwing,05-15,05-31,09-18
Chipping Sparrow,04-14,05-07,10-05
Chimney Swift,05-10,05-21,07-13
Chestnut-sided Warbler,05-07,05-21,07-20
Chukar,05-23,05-31,06-06
Clay-colored Sparrow,05-03,05-21,07-08
Cliff Swallow,05-01,05-07,05-13
Common Goldeneye,03-04,03-31,04-14
Common Grackle,03-24,04-14,07-21
Common Loon,04-10,04-30,11-27
Common Merganser,03-22,04-30,12-19
Common Nighthawk,05-22,05-31,09-12
Common Raven,03-13,03-14,03-16
Common Tern,04-22,04-30,08-21
Common Yellowthroat,05-07,05-21,09-20
Connecticut Warbler,05-15,05-21,05-30
Cooper's Hawk,04-06,04-07,04-08
Dark-eyed Junco,03-19,04-07,05-04
Double-crested Cormorant,04-15,05-07,10-24
Downy Woodpecker,03-21,03-21,03-21
Eastern Bluebird,05-15,05-31,06-18
Eastern Kingbird,04-28,05-31,08-25
Eastern Meadowlark,04-02,04-14,05-07
Eastern Phoebe,04-03,05-07,09-25
Eastern Towhee,05-22,05-31,06-21
Eastern Whip-poor-will,04-25,05-07,07-05
Eastern Wood-Pewee,05-15,05-31,09-10
European Starling,03-14,04-14,04-21
Evening Grosbeak,03-21,03-21,03-21
Field Sparrow,04-22,04-30,05-06
Fox Sparrow,04-01,04-07,04-28
Gadwall,04-07,04-14,04-21
Glaucous Gull,02-28,02-28,02-28
Green-winged Teal,04-03,04-14,04-30
Golden-crowned Kinglet,04-01,05-21,10-29
Golden Eagle,02-28,02-28,02-28
Golden-winged Warbler,05-08,05-14,06-20
Grasshopper Sparrow,05-15,05-21,05-30
Great Blue Heron,03-26,05-31,10-20
Great Crested Flycatcher,05-08,05-21,07-19
Greater Scaup,04-22,04-30,05-07
Greater Yellowlegs,04-08,04-14,05-05
Great Gray Owl,02-28,02-28,02-28
Great Horned Owl,04-03,04-07,04-11
Green Heron,05-23,05-31,06-13
Gray Catbird,05-04,05-14,09-29
Canada Jay,03-11,03-14,03-16
Greater White-fronted Goose,04-22,04-30,05-06
Gray-cheeked Thrush,05-15,05-21,05-30
Hairy Woodpecker,02-28,02-28,02-28
Hermit Thrush,04-17,05-31,08-14
Hooded Merganser,03-19,04-07,05-21
Horned Grebe,04-01,04-07,04-13
Horned Lark,04-15,04-21,05-18
House Finch,03-01,03-07,03-13
House Sparrow,04-12,04-14,04-16
Northern House Wren,04-30,05-31,09-05
Indigo Bunting,05-07,05-21,08-05
Killdeer,03-17,04-14,06-19
Kirtland's Warbler,05-16,05-31,06-06
Lapland Longspur,04-17,04-21,04-24
Least Flycatcher,04-28,05-21,08-27
LeConte's Sparrow,05-01,05-07,05-13
Lesser Scaup,04-21,04-30,05-07
Lesser Yellowlegs,04-15,04-30,05-10
Lincoln's Sparrow,05-10,05-31,07-30
Long-eared Owl,02-28,02-28,02-28
Long-tailed Duck,04-01,04-07,04-13
Magnolia Warbler,05-07,05-21,07-21
Mallard,03-19,04-21,06-06
Marsh Wren,05-15,05-31,06-06
Merlin,03-17,04-30,10-27
Mourning Dove,04-21,04-21,04-21
Mourning Warbler,05-14,05-21,07-19
Nashville Warbler,04-30,05-21,07-13
Northern Hawk Owl,03-18,03-21,04-03
Northern Cardinal,03-18,03-21,03-28
Northern Flicker,04-04,04-30,10-03
American Goshawk,04-11,04-14,04-18
Northern Harrier,03-26,04-14,05-14
Northern Mockingbird,02-28,02-28,02-28
Northern Parula,05-08,05-21,07-19
Northern Pintail,04-03,04-14,04-21
Northern Shoveler,04-10,05-14,05-26
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,05-01,05-21,07-19
Northern Saw-whet Owl,03-11,03-14,03-18
Olive-sided Flycatcher,05-09,05-31,08-26
Orange-crowned Warbler,05-01,05-14,05-24
Osprey,04-02,05-14,06-06
Ovenbird,05-02,05-21,07-19
Palm Warbler,04-24,05-07,05-19
Peregrine Falcon,04-15,04-21,05-06
Philadelphia Vireo,05-05,05-21,07-30
Pied-billed Grebe,04-03,04-14,04-20
Pileated Woodpecker,04-19,04-30,05-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,03-07,03-14,03-17
Pine Warbler,04-18,05-07,09-28
Prairie Warbler,05-15,05-21,05-30
Purple Finch,04-03,05-07,05-23
Red-breasted Merganser,04-02,04-07,04-12
Red-breasted Nuthatch,02-12,02-28,03-04
Red-bellied Woodpecker,05-14,05-14,05-14
Red Crossbill,03-07,03-07,03-07
Redhead,04-16,05-07,05-13
Redpoll,03-19,03-21,03-25
Red-eyed Vireo,05-09,05-21,09-02
Red-headed Woodpecker,04-22,04-30,05-06
Red-necked Grebe,04-15,04-21,04-29
Red-shouldered Hawk,05-17,05-31,06-21
Red-tailed Hawk,04-08,04-14,04-18
Red-winged Blackbird,03-15,04-30,07-30
Ring-billed Gull,03-24,04-30,11-26
Ring-necked Duck,03-31,04-14,06-06
Ring-necked Pheasant,04-14,04-14,04-14
Rose-breasted Grosbeak,05-01,05-21,07-11
Rock Pigeon,04-14,04-14,04-14
Rough-legged Hawk,03-05,03-07,03-10
Ruby-throated Hummingbird,05-01,05-14,06-07
Ruby-crowned Kinglet,04-11,04-30,07-07
Ruddy Duck,05-01,05-07,05-13
Ruffed Grouse,03-30,04-30,05-09
Rusty Blackbird,04-07,04-14,05-02
Sandhill Crane,03-26,04-14,10-19
Savannah Sparrow,04-14,05-07,07-29
Scarlet Tanager,05-09,05-31,07-14
Sedge Wren,05-15,05-21,05-30
Semipalmated Sandpiper,05-23,05-31,06-06
Short-billed Dowitcher,05-08,05-14,05-20
Sharp-shinned Hawk,04-03,04-21,05-16
Slaty-backed Gull,02-28,02-28,02-28
Snow Bunting,04-01,04-07,04-12
Solitary Sandpiper,04-22,04-30,05-20
Song Sparrow,03-18,04-30,10-22
Sora,05-15,05-21,06-13
Spotted Sandpiper,04-22,05-31,09-27
Spruce Grouse,03-03,03-07,03-11
Surf Scoter,05-08,05-14,05-24
Swamp Sparrow,04-14,05-21,08-14
Swainson's Thrush,05-16,05-31,08-04
Tennessee Warbler,05-04,05-21,07-03
Tree Swallow,04-08,04-30,07-18
Trumpeter Swan,03-15,03-31,04-25
Tundra Swan,04-02,04-21,04-29
Turkey Vulture,03-25,04-14,10-14
Upland Sandpiper,05-15,05-21,05-30
Veery,05-08,05-21,07-21
Vesper Sparrow,04-15,04-21,05-08
Virginia Rail,05-15,05-21,05-30
Warbling Vireo,05-03,05-14,06-06
White-breasted Nuthatch,02-25,02-28,03-03
White-crowned Sparrow,04-26,05-07,05-19
White-throated Sparrow,04-14,05-21,10-20
White-winged Crossbill,03-07,03-07,03-07
Wilson's Phalarope,05-08,05-14,05-20
Wilson's Snipe,04-07,05-21,07-11
Wild Turkey,03-28,03-31,04-03
Winter Wren,04-07,05-31,08-09
Wilson's Warbler,04-22,04-30,05-06
Wood Duck,03-20,04-14,06-14
Wood Thrush,05-01,05-14,06-06
American Coot,05-08,05-14,05-28
Iceland Gull,02-28,02-28,02-28
Yellow-billed Cuckoo,05-23,05-31,08-06
Yellow-bellied Flycatcher,05-15,05-31,07-09
Yellow-bellied Sapsucker,04-07,04-30,09-23
Yellow Warbler,05-01,05-21,08-17
Yellow-rumped Warbler,04-15,04-30,10-14
Yellow-throated Vireo,05-15,05-21,05-30
