Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-12,05-21,08-08
American Black Duck,03-14,03-31,04-22
American Bittern,04-08,04-21,09-04
American Crow,02-24,02-28,05-01
American Goldfinch,04-21,05-14,09-23
American Kestrel,03-17,04-21,10-07
American Pipit,04-23,04-30,05-24
American Redstart,05-03,05-14,09-07
American Robin,03-03,04-14,11-08
American Wigeon,03-09,03-31,05-06
American Woodcock,03-10,04-07,06-03
American Herring Gull,03-15,03-21,04-04
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-01,05-07,05-13
Arctic Tern,05-15,05-21,05-29
Bay-breasted Warbler,05-07,05-14,05-28
Bald Eagle,04-16,04-21,05-04
Baltimore Oriole,04-30,05-14,08-23
Bank Swallow,04-26,05-21,06-30
Barrow's Goldeneye,03-03,03-07,03-11
Barn Swallow,04-16,05-21,08-30
Black-and-white Warbler,04-25,05-14,07-13
Black-crowned Night Heron,04-04,05-14,10-12
Belted Kingfisher,04-05,04-21,10-27
Black-billed Cuckoo,05-09,05-21,08-25
Black-bellied Plover,05-07,05-14,05-31
Blackburnian Warbler,05-04,05-14,05-29
Black-backed Woodpecker,04-20,04-21,04-22
Black-capped Chickadee,04-14,04-14,04-14
Blackpoll Warbler,05-09,05-21,05-31
Black Tern,05-07,05-21,08-03
Black Vulture,04-15,04-30,05-06
Blue Jay,05-01,05-14,05-17
Brown-headed Cowbird,03-21,04-21,07-10
Bobolink,05-02,05-31,07-11
Bohemian Waxwing,03-03,03-21,04-05
Bonaparte's Gull,04-26,05-21,06-01
Boreal Chickadee,02-28,02-28,02-28
Brant,04-30,05-14,06-08
Barred Owl,02-27,02-28,03-01
Brown Creeper,04-02,04-14,05-06
Brown Thrasher,04-13,05-21,07-26
Broad-winged Hawk,04-14,04-21,09-23
Black-throated Blue Warbler,05-02,05-14,05-24
Black-throated Green Warbler,04-26,05-14,07-01
Bufflehead,03-08,04-21,05-06
Blue-headed Vireo,04-17,05-14,05-31
Blue-winged Teal,04-07,04-21,06-06
Blue-winged Warbler,05-15,05-31,06-13
Cackling Goose,03-08,03-14,04-05
Cape May Warbler,04-30,05-14,05-28
Canada Goose,03-01,03-31,06-10
Canvasback,03-21,03-31,04-08
Canada Warbler,05-05,05-21,07-04
Carolina Wren,04-30,04-30,04-30
Caspian Tern,04-14,04-30,10-05
Cedar Waxwing,05-12,05-31,09-29
Chipping Sparrow,04-07,04-30,08-21
Chimney Swift,04-29,05-14,08-28
Chestnut-sided Warbler,05-07,05-14,07-17
Clay-colored Sparrow,05-06,05-21,08-04
Cliff Swallow,04-17,05-21,08-29
Common Gallinule,04-16,05-21,10-07
Common Goldeneye,03-05,03-21,04-16
Common Grackle,03-04,04-21,08-31
Common Loon,04-06,04-21,05-07
