Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-14,05-31,07-02
American Black Duck,04-01,04-14,11-02
American Bittern,04-21,05-21,06-26
American Crow,03-01,03-21,11-21
American Goldfinch,05-03,05-14,09-15
American Kestrel,03-26,04-14,10-03
American Pipit,04-30,05-14,05-22
American Redstart,05-08,05-21,09-06
American Robin,03-24,05-31,08-31
American Wigeon,04-08,04-30,07-13
American Woodcock,03-25,04-14,06-15
American Golden-Plover,05-15,05-21,05-30
American Herring Gull,03-03,04-07,12-09
American Tree Sparrow,04-03,04-21,05-10
American White Pelican,05-22,05-31,06-14
American Three-toed Woodpecker,04-21,04-21,04-21
Bay-breasted Warbler,05-07,05-21,07-08
Bald Eagle,03-02,03-21,05-01
Baltimore Oriole,05-07,05-21,06-21
Bank Swallow,05-07,05-31,06-07
Barn Swallow,04-26,05-14,08-28
Black-and-white Warbler,05-01,05-14,09-04
Belted Kingfisher,04-11,05-14,10-04
Black-billed Cuckoo,05-14,05-31,07-28
Black-bellied Plover,05-09,05-21,05-29
Blackburnian Warbler,05-08,05-31,07-20
Black-backed Woodpecker,05-31,05-31,05-31
Black-capped Chickadee,03-07,03-07,03-07
Blackpoll Warbler,05-07,05-21,06-03
Black Tern,05-09,05-21,08-09
Blue Jay,03-07,03-07,03-07
Brown-headed Cowbird,04-04,05-07,06-16
Bobolink,05-04,05-21,07-06
Bohemian Waxwing,03-07,03-07,03-07
Bonaparte's Gull,04-28,05-14,06-14
Boreal Chickadee,05-21,05-21,05-21
Boreal Owl,03-01,03-07,03-13
Brant,05-08,05-14,05-28
Barred Owl,05-28,05-31,06-02
Brown Creeper,05-02,05-14,05-21
Brown Thrasher,04-24,05-21,07-06
Broad-winged Hawk,04-21,04-30,09-13
Black-throated Blue Warbler,05-04,05-21,07-19
Black-throated Green Warbler,05-02,05-31,07-18
Bufflehead,04-13,04-30,05-20
Blue-headed Vireo,04-30,05-21,08-14
Blue-winged Teal,04-21,05-21,06-26
Cackling Goose,04-01,04-07,04-28
Cape May Warbler,04-29,05-14,06-21
Canada Goose,03-22,04-14,06-28
Canvasback,04-08,04-14,05-05
Canada Warbler,05-10,05-21,06-19
Carolina Wren,02-17,03-07,03-13
Caspian Tern,05-08,05-14,05-20
Cedar Waxwing,05-15,05-31,09-10
Chipping Sparrow,04-23,05-14,10-05
Chimney Swift,05-15,05-31,06-07
Chestnut-sided Warbler,05-08,05-21,07-20
Clay-colored Sparrow,05-07,05-14,06-06
Cliff Swallow,05-01,05-14,08-17
Common Gallinule,05-15,05-21,06-27
Common Goldeneye,03-25,04-30,11-15
Common Grackle,03-19,05-14,10-11
Common Loon,04-17,05-31,11-20
Common Merganser,04-01,04-21,06-17
Common Nighthawk,05-16,05-31,09-15
Common Raven,02-25,02-28,03-09
Common Tern,05-08,05-21,06-14
Common Yellowthroat,05-07,05-21,09-23
Connecticut Warbler,05-18,05-31,06-06
Dark-eyed Junco,04-04,04-21,05-09
Double-crested Cormorant,04-14,05-07,06-29
Downy Woodpecker,05-07,05-07,05-07
Dunlin,05-07,05-21,06-01
Eastern Bluebird,04-27,05-21,09-11
Eastern Kingbird,05-04,05-21,08-31
Eastern Meadowlark,05-01,05-07,06-05
Eastern Phoebe,04-02,05-14,10-09
Eastern Towhee,04-22,04-30,05-06
Eastern Whip-poor-will,05-02,05-31,06-09
Eastern Wood-Pewee,05-17,05-31,06-20
Eurasian Collared-Dove,02-28,02-28,02-28
European Starling,03-19,03-21,03-27
Evening Grosbeak,05-07,05-07,05-07
Fox Sparrow,04-06,04-21,05-04
Gadwall,04-22,05-31,06-23
Great Black-backed Gull,03-23,04-21,05-09
Glaucous Gull,04-08,04-14,05-16
Green-winged Teal,04-05,04-30,06-25
Golden-crowned Kinglet,04-06,05-31,10-20
Golden Eagle,03-01,03-07,03-13
Great Blue Heron,04-02,04-30,10-27
Great Crested Flycatcher,05-11,05-21,06-06
Great Egret,05-15,05-21,05-29
Greater Scaup,04-16,04-30,05-21
Greater Yellowlegs,04-11,04-30,05-20
Great Gray Owl,03-06,03-07,03-09
Great Horned Owl,03-04,03-31,04-22
Green Heron,05-15,05-21,05-29
Gray Catbird,05-07,05-21,09-23
Canada Jay,03-14,03-14,03-14
Greater White-fronted Goose,04-22,04-30,05-12
Gray-cheeked Thrush,05-12,05-31,06-06
Gyrfalcon,03-11,03-14,03-17
Hairy Woodpecker,03-07,03-07,03-07
Hermit Thrush,04-17,05-31,08-07
Hooded Merganser,03-19,04-14,06-01
Horned Grebe,04-21,04-30,05-23
Horned Lark,02-28,02-28,02-28
House Sparrow,02-18,02-28,03-08
Northern House Wren,05-08,05-31,08-11
Hudsonian Godwit,05-07,05-14,05-26
Indigo Bunting,05-09,05-31,06-06
Killdeer,03-29,05-14,08-30
Lapland Longspur,02-28,02-28,02-28
Lazuli Bunting,05-15,05-21,05-29
Lesser Black-backed Gull,04-15,04-21,05-06
Least Bittern,05-22,05-31,06-06
Least Flycatcher,05-03,05-21,07-16
Least Sandpiper,05-03,05-14,05-30
LeConte's Sparrow,05-22,05-31,06-06
Lesser Scaup,04-09,04-30,06-13
Lesser Yellowlegs,04-24,05-14,05-24
Lincoln's Sparrow,04-24,05-14,06-06
Little Gull,05-04,05-14,05-28
Long-eared Owl,05-18,05-31,06-06
Long-tailed Duck,05-08,05-21,05-30
Magnolia Warbler,05-05,05-21,07-21
Mallard,03-28,04-21,11-06
Merlin,03-06,04-14,10-17
Mourning Dove,04-11,05-31,06-27
Mourning Warbler,05-14,05-31,07-11
Nashville Warbler,04-30,05-14,09-22
Northern Hawk Owl,03-05,03-07,03-09
Northern Cardinal,03-07,03-07,03-07
Northern Flicker,04-09,05-07,09-23
American Goshawk,02-24,02-28,03-06
Northern Harrier,03-25,04-14,06-09
Northern Mockingbird,04-26,05-21,06-01
Northern Parula,05-02,05-21,09-15
Northern Pintail,04-03,04-21,05-07
Northern Shoveler,04-10,05-21,06-23
Northern Shrike,04-07,04-14,04-15
Northern Waterthrush,05-02,05-14,07-01
Northern Rough-winged Swallow,05-15,05-21,05-29
Nelson's Sparrow,05-21,05-31,06-12
Northern Saw-whet Owl,05-21,05-31,06-06
Olive-sided Flycatcher,05-15,05-31,08-13
Orange-crowned Warbler,05-01,05-07,05-26
Osprey,04-16,05-14,09-12
Ovenbird,05-05,05-31,07-16
Palm Warbler,04-24,05-07,05-23
Pectoral Sandpiper,05-08,05-14,05-20
Peregrine Falcon,04-16,04-30,07-29
Philadelphia Vireo,05-08,05-21,06-27
Pied-billed Grebe,04-16,05-21,07-14
Pileated Woodpecker,03-14,03-14,03-14
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-30,05-14,05-29
Pine Warbler,05-21,05-31,06-14
Prairie Falcon,02-28,02-28,02-28
Purple Finch,04-09,05-07,10-11
Red-breasted Merganser,05-08,05-21,06-04
Red-breasted Nuthatch,03-03,03-07,03-15
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,03-31,03-31,03-31
Redhead,04-15,05-21,06-21
Red Knot,05-15,05-21,06-05
Redpoll,03-03,03-07,03-10
Red-eyed Vireo,05-13,05-31,09-07
Red-necked Grebe,04-22,05-07,05-21
Red-necked Phalarope,05-12,05-31,06-09
Red-tailed Hawk,03-19,04-14,04-30
Red-winged Blackbird,03-16,05-14,08-13
Ring-billed Gull,03-24,04-21,11-28
Ring-necked Duck,04-06,04-30,06-29
Ring-necked Pheasant,04-27,04-30,05-02
Rose-breasted Grosbeak,05-03,05-14,06-19
Rock Pigeon,02-19,03-07,03-11
Rough-legged Hawk,03-19,04-14,04-29
Ross's Goose,04-08,04-14,04-20
Ruby-throated Hummingbird,05-04,05-21,09-14
Ruby-crowned Kinglet,04-14,05-07,07-21
Ruddy Duck,04-21,05-21,10-17
Ruddy Turnstone,05-08,05-31,06-06
Ruffed Grouse,04-28,05-07,05-22
Rusty Blackbird,04-09,05-07,05-16
Sandhill Crane,03-31,04-14,06-20
Savannah Sparrow,04-22,05-14,07-25
Scarlet Tanager,05-09,05-21,06-13
Sedge Wren,05-15,05-21,05-29
Semipalmated Plover,05-08,05-21,06-07
Semipalmated Sandpiper,05-11,05-31,06-12
Short-billed Dowitcher,05-07,05-14,05-27
Short-eared Owl,04-08,04-14,04-28
Sharp-shinned Hawk,03-26,05-21,06-12
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-24,04-21,05-05
Snowy Owl,02-24,02-28,03-01
Solitary Sandpiper,05-01,05-14,05-21
Song Sparrow,04-03,04-30,10-15
Sora,04-29,05-21,07-02
Spotted Sandpiper,05-02,05-21,09-04
Spruce Grouse,03-10,03-14,03-18
Summer Tanager,05-08,05-14,05-21
Surf Scoter,05-22,05-31,06-06
Swamp Sparrow,04-21,05-14,10-10
Swainson's Thrush,05-11,05-31,07-21
Tennessee Warbler,05-06,05-21,06-20
Tree Swallow,04-18,05-14,07-12
Trumpeter Swan,03-01,03-31,06-10
Tundra Swan,04-02,04-21,05-05
Turkey Vulture,03-26,04-21,10-15
Upland Sandpiper,05-01,05-07,05-13
Varied Thrush,02-28,02-28,02-28
Veery,05-08,05-31,07-21
Vesper Sparrow,04-23,05-31,07-21
Virginia Rail,05-02,05-21,06-25
Warbling Vireo,05-18,05-31,06-28
Western Meadowlark,05-01,05-07,05-13
White-breasted Nuthatch,03-06,03-07,03-08
White-crowned Sparrow,04-25,05-07,05-22
White-eyed Vireo,05-01,05-07,05-13
Whimbrel,05-10,05-21,05-29
White-rumped Sandpiper,05-17,05-31,06-19
White-throated Sparrow,04-15,05-07,10-22
White-winged Crossbill,02-20,02-28,03-01
White-winged Dove,05-01,05-07,05-13
White-winged Scoter,05-15,05-31,06-16
Willet,05-22,05-31,06-06
Wilson's Phalarope,05-06,05-14,06-01
Wilson's Snipe,04-12,05-14,07-06
Wild Turkey,02-22,02-28,03-06
Winter Wren,04-23,05-31,08-04
Wilson's Warbler,05-07,05-21,06-03
Wood Duck,04-03,05-31,10-18
Wood Thrush,05-08,05-31,06-13
American Coot,04-15,05-31,10-30
Iceland Gull,05-15,05-21,05-29
Yellow-bellied Flycatcher,05-14,05-31,07-06
Yellow-bellied Sapsucker,04-11,05-07,09-19
Yellow-headed Blackbird,04-28,05-14,05-20
Yellow Rail,05-15,05-21,05-29
Yellow Warbler,05-05,05-21,08-31
Yellow-rumped Warbler,04-23,05-14,08-14
