Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-08,05-14,06-09
Alder Flycatcher,05-11,05-21,06-06
American Black Duck,03-14,03-14,03-14
American Avocet,04-22,04-30,05-06
American Bittern,04-02,04-21,05-20
American Crow,02-19,03-21,05-05
American Goldfinch,03-20,05-14,12-20
American Kestrel,03-18,03-31,04-21
American Pipit,04-29,04-30,05-01
American Redstart,05-02,05-14,06-02
American Robin,03-01,04-07,09-06
American Wigeon,03-11,03-21,03-25
American Woodcock,03-03,03-21,05-18
American Golden-Plover,05-15,05-21,05-29
American Herring Gull,02-28,02-28,02-28
American Tree Sparrow,03-07,03-07,03-07
American White Pelican,04-08,04-14,04-29
Arctic Tern,05-14,05-21,05-29
Bay-breasted Warbler,05-03,05-14,05-26
Baird's Sandpiper,05-08,05-14,05-20
Bald Eagle,03-21,03-21,03-21
Baltimore Oriole,04-25,05-14,08-25
Bank Swallow,04-15,05-21,09-01
Barrow's Goldeneye,03-21,03-31,04-05
Barn Swallow,04-07,05-21,09-05
Black-and-white Warbler,04-21,05-07,05-21
Black-crowned Night Heron,03-31,05-21,10-27
Belted Kingfisher,03-20,04-21,11-04
Black-billed Cuckoo,05-07,05-21,06-20
Black-bellied Plover,05-10,05-21,05-30
Blackburnian Warbler,04-28,05-14,05-27
Black-backed Woodpecker,03-20,03-31,04-06
Black-capped Chickadee,03-05,03-07,03-09
Black-headed Gull,05-07,05-14,05-20
Blackpoll Warbler,05-08,05-21,05-31
Black Scoter,05-18,05-21,05-23
Black Tern,05-21,05-31,06-06
Black Vulture,04-05,04-14,04-21
Blue Grosbeak,05-15,05-21,05-30
Blue Jay,04-14,05-14,12-03
Brown-headed Cowbird,03-15,04-30,08-17
Bobolink,04-25,05-14,05-26
Bohemian Waxwing,03-15,04-14,04-20
Bonaparte's Gull,03-27,04-07,05-31
Boreal Chickadee,02-28,02-28,02-28
Boreal Owl,02-18,02-28,03-05
Brant,05-08,05-21,05-29
Barred Owl,03-14,03-14,03-14
Brown Creeper,03-22,04-07,04-30
Brown Pelican,05-15,05-21,05-29
Brown Thrasher,04-09,04-30,05-21
Broad-winged Hawk,04-09,04-21,05-28
Black-throated Blue Warbler,04-24,05-14,05-21
Black-throated Green Warbler,04-21,05-07,05-25
Budgerigar,05-21,05-21,05-21
Bufflehead,03-04,03-31,04-06
Blue-gray Gnatcatcher,04-17,05-14,09-06
Blue-headed Vireo,04-17,04-30,05-20
Bullock's Oriole,02-17,02-28,03-01
Burrowing Owl,02-28,02-28,02-28
Blue-winged Teal,03-15,04-07,05-24
Blue-winged Warbler,04-23,05-07,05-24
Cackling Goose,02-26,03-07,03-22
Cape May Warbler,04-26,05-14,05-21
Canada Goose,02-20,03-14,05-05
Canvasback,03-04,05-21,05-30
Canada Warbler,05-06,05-14,05-30
Carolina Wren,03-08,04-30,05-30
Caspian Tern,04-08,05-21,09-15
Western Cattle-Egret,04-08,04-14,04-28
Cedar Waxwing,05-05,05-21,09-28
Cerulean Warbler,04-21,04-30,05-06
Chipping Sparrow,04-05,04-30,08-21
Chimney Swift,04-23,05-31,09-07
Chestnut-sided Warbler,05-01,05-14,05-26
Clay-colored Sparrow,04-22,04-30,05-19
Cliff Swallow,04-17,05-21,08-23
Cockatiel,05-01,05-07,05-13
Common Gallinule,04-15,04-21,05-03
Common Goldeneye,03-07,03-07,03-07
Common Grackle,02-28,05-21,10-10
Common Loon,03-24,04-30,05-30
Common Merganser,02-20,02-28,03-07
Common Nighthawk,05-07,05-21,09-26
Common Raven,03-30,04-14,05-13
Common Tern,04-17,05-21,08-26
Common Yellowthroat,04-30,05-14,06-03
Connecticut Warbler,05-13,05-21,06-05
Cooper's Hawk,03-05,04-21,05-16
Dark-eyed Junco,03-21,04-07,04-20
Dickcissel,05-14,05-14,05-14
Double-crested Cormorant,03-19,04-21,11-11
Downy Woodpecker,03-23,04-07,05-05
Dunlin,05-09,05-21,06-02
Eared Grebe,04-21,04-21,04-21
Eastern Bluebird,04-15,05-07,05-29
Eastern Kingbird,04-28,05-21,09-05
Eastern Meadowlark,03-11,04-07,04-28
Eastern Screech-Owl,05-01,05-07,05-18
Eastern Phoebe,03-20,04-07,05-22
Eastern Towhee,04-01,04-21,05-12
Eastern Whip-poor-will,04-15,04-30,05-20
Eastern Wood-Pewee,05-08,05-21,09-21
European Goldfinch,05-08,05-14,05-20
European Greenfinch,02-28,02-28,02-28
European Starling,03-01,05-31,08-20
Eurasian Wigeon,02-22,02-28,03-20
Evening Grosbeak,05-14,05-14,05-14
Field Sparrow,04-01,04-21,05-15
Fish Crow,04-05,04-30,05-27
Forster's Tern,05-06,05-21,06-10
Fox Sparrow,03-23,04-07,04-26
Franklin's Gull,05-15,05-21,05-30
Gadwall,03-05,03-21,04-03
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,03-07,03-07,03-07
Green-winged Teal,03-10,03-31,04-18
Golden-crowned Kinglet,03-19,04-07,04-27
Golden-crowned Sparrow,04-14,04-14,04-14
Golden Eagle,03-08,03-14,03-20
Golden-winged Warbler,04-30,05-07,05-20
Graylag Goose,03-21,03-21,03-21
Grasshopper Sparrow,04-16,04-30,05-19
Great Blue Heron,03-17,05-21,12-17
Great Crested Flycatcher,04-25,05-31,09-12
Great Egret,04-01,05-21,10-27
Greater Scaup,03-07,03-07,03-07
Greater Yellowlegs,04-09,04-30,05-19
Great Gray Owl,03-07,03-07,03-07
Great Horned Owl,03-21,03-21,03-21
Green Heron,04-16,04-30,10-03
Gray Catbird,04-26,05-14,10-07
Greater White-fronted Goose,04-07,04-07,04-07
Gray-cheeked Thrush,05-08,05-14,05-28
Gyrfalcon,03-08,03-14,03-20
Hairy Woodpecker,03-27,04-07,04-08
Harlequin Duck,03-07,03-07,03-07
Hermit Thrush,04-02,04-21,05-14
Hooded Merganser,03-13,03-21,04-01
Hooded Warbler,04-30,05-07,05-21
Horned Grebe,03-07,04-07,04-30
Horned Lark,02-17,03-07,03-20
House Finch,03-14,04-07,05-15
House Sparrow,03-20,05-31,08-11
Northern House Wren,04-19,05-14,09-19
Indigo Bunting,05-02,05-14,08-22
Ivory Gull,02-28,02-28,02-28
Kentucky Warbler,05-01,05-07,05-19
Killdeer,03-04,05-21,10-06
King Eider,02-28,02-28,02-28
Kirtland's Warbler,05-08,05-21,05-29
Lapland Longspur,05-12,05-14,05-16
Lark Sparrow,04-14,04-21,04-26
Laughing Gull,05-14,05-21,05-29
Lesser Black-backed Gull,04-07,04-14,05-28
Least Bittern,05-13,05-21,05-30
Least Flycatcher,04-27,05-14,05-31
Least Sandpiper,05-01,05-14,05-31
LeConte's Sparrow,04-22,04-30,05-06
Lesser Scaup,03-15,03-31,04-17
Lesser Yellowlegs,04-16,05-07,05-26
Little Blue Heron,05-01,05-07,05-13
Lincoln's Sparrow,04-26,05-14,05-21
Little Gull,05-08,05-21,05-31
Long-billed Dowitcher,04-22,04-30,05-06
Long-eared Owl,03-07,03-07,03-07
Loggerhead Shrike,05-11,05-21,05-29
Long-tailed Duck,03-03,03-07,03-13
Louisiana Waterthrush,04-01,04-07,04-13
Magnolia Warbler,05-01,05-14,05-28
Mallard,02-28,03-31,05-01
Marbled Godwit,05-15,05-21,05-29
Marsh Wren,04-14,04-21,10-18
Merlin,03-05,04-07,05-12
Monk Parakeet,02-25,02-28,03-03
Mourning Dove,02-23,04-30,09-16
Mourning Warbler,05-07,05-21,06-04
Muscovy Duck,03-09,03-14,03-20
Mute Swan,02-22,03-14,04-17
Nashville Warbler,04-22,05-07,05-20
Neotropic Cormorant,04-15,04-21,05-05
Northern Cardinal,02-20,04-07,06-15
Northern Flicker,03-26,04-21,10-16
American Goshawk,04-21,04-21,04-21
Northern Harrier,04-13,04-14,04-16
Northern Mockingbird,03-16,04-07,05-07
Northern Parula,04-25,05-14,05-22
Northern Pintail,03-07,03-07,03-07
Northern Shoveler,03-01,03-21,04-24
Northern Shrike,03-07,03-07,03-07
