Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-12,05-31,08-07
American Black Duck,03-03,03-07,03-16
American Bittern,04-14,05-21,07-21
American Crow,02-18,02-28,05-03
American Goldfinch,04-29,05-07,05-21
American Kestrel,03-20,04-21,09-04
American Pipit,04-22,05-07,05-14
American Redstart,05-02,05-21,09-13
American Robin,03-01,04-30,11-01
American Wigeon,03-01,03-31,05-02
American Woodcock,03-05,04-07,06-21
American Herring Gull,02-22,03-07,04-06
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-15,05-21,05-29
Bay-breasted Warbler,05-01,05-14,05-27
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-30,05-14,07-11
Bank Swallow,04-20,05-21,08-14
Barn Swallow,04-17,05-21,09-01
Black-and-white Warbler,04-24,05-14,09-15
Black-crowned Night Heron,05-01,05-07,05-13
Belted Kingfisher,03-23,04-30,10-13
Black-billed Cuckoo,05-08,05-31,08-19
Black-bellied Plover,05-14,05-21,05-31
Blackburnian Warbler,04-29,05-14,06-29
Black-backed Woodpecker,02-28,02-28,02-28
Black-capped Chickadee,02-28,02-28,02-28
Blackpoll Warbler,05-08,05-21,05-31
Black Tern,05-02,05-14,08-03
Blue Jay,04-25,05-07,05-19
Brown-headed Cowbird,03-18,05-07,07-14
Bobolink,05-02,05-21,07-17
Bohemian Waxwing,02-28,02-28,02-28
Bonaparte's Gull,03-31,04-07,05-04
Boreal Chickadee,03-22,03-31,04-06
Brant,05-15,05-21,06-05
Barred Owl,05-14,05-14,05-14
Brown Creeper,04-02,04-14,04-30
Brown Thrasher,04-13,05-31,08-12
Broad-winged Hawk,04-14,04-21,09-21
Black-throated Blue Warbler,04-30,05-14,07-21
Black-throated Green Warbler,04-24,05-14,07-19
Bufflehead,03-05,03-31,05-03
Blue-gray Gnatcatcher,05-08,05-14,05-29
Blue-headed Vireo,04-20,05-07,07-13
Blue-winged Teal,03-31,04-14,10-21
Blue-winged Warbler,05-01,05-14,06-25
Cackling Goose,02-26,03-07,04-13
Cape May Warbler,04-30,05-07,05-25
Canada Goose,02-23,03-31,06-01
Canvasback,03-12,03-14,03-19
Canada Warbler,05-07,05-21,09-10
Carolina Wren,04-14,04-14,04-14
Caspian Tern,04-14,05-07,09-09
Cedar Waxwing,05-15,05-31,09-29
Cerulean Warbler,05-08,05-14,05-20
Chipping Sparrow,04-10,05-07,10-06
Chimney Swift,04-25,05-07,08-29
Chestnut-sided Warbler,05-03,05-21,07-14
Chuck-will's-widow,05-08,05-14,05-20
Clay-colored Sparrow,05-06,05-31,07-25
Cliff Swallow,05-02,05-21,08-11
Common Gallinule,04-17,05-21,10-05
Common Goldeneye,02-23,03-07,04-09
Common Grackle,03-01,05-07,10-18
Common Loon,03-24,04-30,11-17
Common Merganser,02-25,03-31,04-23
Common Nighthawk,05-09,05-21,08-31
Common Raven,05-16,05-21,05-24
Common Tern,05-07,05-21,07-07
Common Yellowthroat,05-02,05-31,09-22
Connecticut Warbler,05-08,05-14,05-20
Cooper's Hawk,02-28,02-28,02-28
Dark-eyed Junco,04-07,04-07,04-07
Double-crested Cormorant,03-25,04-30,11-11
Downy Woodpecker,02-28,02-28,02-28
Dunlin,05-03,05-21,05-30
Eastern Bluebird,04-03,05-21,08-15
Eastern Kingbird,04-30,05-21,08-29
Eastern Meadowlark,03-25,05-31,08-12
Eastern Screech-Owl,03-20,03-21,03-22
Eastern Phoebe,03-27,05-14,10-11
Eastern Towhee,04-15,05-31,09-01
Eastern Whip-poor-will,05-02,05-21,09-28
Eastern Wood-Pewee,05-09,05-31,09-12
European Starling,03-28,04-30,05-06
Evening Grosbeak,03-21,03-21,03-21
Field Sparrow,04-12,05-31,08-12
Fox Sparrow,03-16,04-14,04-22
Gadwall,03-02,03-14,05-13
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,02-28,02-28,02-28
Green-winged Teal,03-12,04-07,05-06
Golden-crowned Kinglet,03-21,04-07,04-27
Golden Eagle,03-04,03-07,03-09
Golden-winged Warbler,05-03,05-21,06-25
Grasshopper Sparrow,05-03,05-21,08-05
Great Blue Heron,03-18,05-31,11-02
Great Crested Flycatcher,05-02,05-21,08-23
Great Egret,04-03,04-21,05-11
Greater Scaup,03-04,03-31,04-30
Greater Yellowlegs,04-03,04-21,05-15
Great Gray Owl,02-24,02-28,03-04
Great Horned Owl,05-15,05-21,05-28
Green Heron,04-24,05-31,09-27
Gray Catbird,05-01,05-14,10-02
Canada Jay,02-28,02-28,02-28
Greater White-fronted Goose,04-15,04-21,05-01
Gray-cheeked Thrush,05-05,05-21,06-01
Hairy Woodpecker,02-28,02-28,02-28
Harris's Sparrow,04-26,04-30,05-02
Henslow's Sparrow,05-08,05-14,05-20
Hermit Thrush,04-11,05-14,09-02
Hooded Merganser,03-01,03-31,04-20
Hooded Warbler,05-08,05-21,06-06
Horned Grebe,03-23,04-14,05-02
Horned Lark,02-18,02-28,03-11
House Finch,03-07,03-07,03-07
House Sparrow,02-23,03-07,03-09
Northern House Wren,04-24,05-31,08-16
Indigo Bunting,05-07,05-31,08-14
Killdeer,03-13,05-21,10-05
Lapland Longspur,05-14,05-14,05-14
Lesser Black-backed Gull,02-22,02-28,03-06
Least Bittern,05-06,05-21,08-02
Least Flycatcher,05-01,05-21,07-13
Least Sandpiper,04-28,05-14,06-02
Lesser Scaup,03-06,04-14,05-23
Lesser Yellowlegs,04-10,05-07,05-21
Lincoln's Sparrow,04-27,05-14,05-21
Long-eared Owl,05-02,05-21,05-29
Loggerhead Shrike,04-11,05-31,08-14
Long-tailed Duck,02-27,03-07,03-19
Magnolia Warbler,05-01,05-14,07-02
Mallard,03-01,04-07,06-16
Marsh Wren,04-28,05-21,08-11
Merlin,02-28,04-21,05-24
Mourning Dove,04-24,04-30,05-10
Mourning Warbler,05-08,05-21,07-17
Mute Swan,05-16,05-21,06-10
Nashville Warbler,04-25,05-14,07-09
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,02-17,02-28,03-02
Northern Flicker,04-01,04-21,10-03
American Goshawk,03-21,03-21,03-21
Northern Harrier,03-16,04-21,11-07
Northern Mockingbird,05-10,05-31,06-29
Northern Parula,04-27,05-14,05-22
Northern Pintail,02-28,03-21,04-25
Northern Shoveler,03-23,04-14,06-05
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-22,05-07,07-17
Northern Rough-winged Swallow,04-19,05-21,07-22
Nelson's Sparrow,05-15,05-21,06-06
Northern Saw-whet Owl,04-11,04-14,04-18
Olive-sided Flycatcher,05-09,05-21,09-14
Orchard Oriole,05-05,05-21,07-10
Orange-crowned Warbler,04-23,05-07,05-18
Osprey,03-24,04-21,09-27
Ovenbird,04-30,05-21,07-19
Palm Warbler,04-17,04-30,05-19
Pectoral Sandpiper,04-08,04-21,05-21
Peregrine Falcon,04-16,04-30,06-01
Philadelphia Vireo,05-07,05-21,06-03
Pied-billed Grebe,03-22,04-21,05-30
Pileated Woodpecker,04-27,05-07,05-11
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-16,02-28,03-04
Pine Warbler,04-09,04-30,10-04
Prairie Warbler,05-11,05-21,06-21
Purple Finch,04-11,04-30,05-24
Purple Martin,04-16,05-21,07-13
Red-breasted Merganser,03-23,04-07,04-13
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,05-21,05-21,05-21
Redhead,03-01,03-14,04-12
Redpoll,02-14,02-28,03-01
Red-eyed Vireo,05-08,05-31,09-10
Red-headed Woodpecker,05-07,05-31,07-28
Red-necked Grebe,03-02,03-14,03-28
Red-shouldered Hawk,03-23,05-21,07-16
Red-tailed Hawk,05-21,05-21,05-21
Red-winged Blackbird,02-25,05-21,08-14
Ring-billed Gull,03-01,03-31,12-05
Ring-necked Duck,03-03,03-31,05-06
Ring-necked Pheasant,04-08,04-14,04-20
Rose-breasted Grosbeak,04-26,05-07,09-13
Rock Pigeon,02-27,02-28,03-02
Rough-legged Hawk,03-21,03-21,03-21
Ruby-throated Hummingbird,04-29,05-14,09-13
Ruby-crowned Kinglet,04-08,04-21,05-13
Ruddy Duck,04-02,04-14,04-28
Ruddy Turnstone,05-18,05-31,06-06
Ruffed Grouse,03-27,05-14,06-09
Rusty Blackbird,03-31,04-21,05-11
Sandhill Crane,03-05,05-21,11-06
Sanderling,05-15,05-21,05-29
Savannah Sparrow,04-10,05-31,08-12
Say's Phoebe,04-15,04-21,04-29
Scarlet Tanager,05-02,05-21,09-16
Sedge Wren,05-07,05-31,08-11
Semipalmated Plover,05-04,05-14,05-31
Semipalmated Sandpiper,05-08,05-21,06-06
Short-billed Dowitcher,05-04,05-14,05-28
Short-eared Owl,04-30,04-30,04-30
Sharp-shinned Hawk,04-28,04-30,05-02
Snow Bunting,02-28,02-28,02-28
Snow Goose,04-03,04-07,04-10
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-24,05-07,05-21
Song Sparrow,03-13,05-31,10-18
Sora,04-17,05-21,06-21
Spotted Sandpiper,04-24,05-14,09-20
Stilt Sandpiper,05-15,05-21,06-05
Summer Tanager,05-08,05-14,05-20
Surf Scoter,03-15,03-21,03-30
Swamp Sparrow,04-05,05-31,10-09
Swainson's Thrush,05-02,05-14,05-31
Tennessee Warbler,05-03,05-14,05-28
Tree Swallow,04-02,05-21,08-03
Trumpeter Swan,02-22,03-31,05-08
Tufted Titmouse,02-28,02-28,02-28
Tundra Swan,02-23,03-07,03-28
Turkey Vulture,03-14,05-31,10-24
Upland Sandpiper,04-17,05-31,07-28
Veery,05-05,05-21,08-28
Vesper Sparrow,04-10,05-31,08-13
Virginia Rail,04-15,05-21,06-30
Warbling Vireo,05-01,05-21,07-26
Western Meadowlark,05-10,05-21,06-13
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-19
White-faced Ibis,04-22,04-30,05-06
Whimbrel,05-08,05-14,05-20
White-rumped Sandpiper,05-08,05-21,06-01
White-throated Sparrow,04-11,04-30,07-21
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,04-26,04-30,05-03
Willow Flycatcher,05-12,05-31,06-30
Wilson's Phalarope,05-01,05-07,05-13
Wilson's Snipe,04-01,05-21,07-17
Wild Turkey,04-08,05-21,06-16
Winter Wren,04-01,05-07,08-09
Wilson's Warbler,05-07,05-21,05-31
Wood Duck,03-14,04-07,10-30
Wood Thrush,05-01,05-14,07-27
American Coot,03-09,04-21,05-07
Iceland Gull,03-21,03-21,03-21
Yellow-billed Cuckoo,05-10,05-21,07-06
Yellow-bellied Flycatcher,05-08,05-21,06-12
Yellow-bellied Sapsucker,04-02,05-07,10-04
Yellow-headed Blackbird,05-01,05-07,05-13
Yellow Rail,04-20,04-30,05-31
Yellow Warbler,04-27,05-31,08-11
Yellow-rumped Warbler,04-14,05-07,07-13
Yellow-throated Vireo,05-01,05-21,07-06
