Species,Mass Arrival Date,Peak Date,Peak Over Date
Alder Flycatcher,05-13,05-31,06-30
American Black Duck,02-28,02-28,02-28
American Bittern,04-10,05-21,08-31
American Crow,02-19,02-28,04-02
American Goldfinch,04-09,05-14,09-29
American Kestrel,03-15,04-14,04-30
American Pipit,04-21,05-07,05-20
American Redstart,05-02,05-14,07-19
American Robin,02-27,05-14,11-10
American Wigeon,02-28,03-31,04-28
American Woodcock,02-28,03-21,04-21
American Herring Gull,03-07,03-07,03-07
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-08,05-14,05-20
Bay-breasted Warbler,05-03,05-14,05-22
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-27,05-14,07-21
Bank Swallow,04-22,05-21,08-19
Barn Swallow,04-13,05-21,09-03
Black-and-white Warbler,04-22,05-07,07-03
Black-crowned Night Heron,04-03,04-21,05-06
Belted Kingfisher,03-28,04-21,11-06
Black-billed Cuckoo,05-10,05-21,08-13
Black-bellied Plover,05-14,05-21,05-31
Blackburnian Warbler,04-30,05-14,05-24
Black-capped Chickadee,04-30,04-30,04-30
Black-necked Stilt,05-03,05-14,05-27
Blackpoll Warbler,05-08,05-21,05-31
Black Tern,05-02,05-21,08-06
Blue Jay,04-15,05-07,11-26
Brown-headed Cowbird,03-14,04-30,07-18
Bobolink,04-29,05-31,07-07
Bohemian Waxwing,03-22,03-31,04-07
Bonaparte's Gull,03-31,04-14,06-09
Boreal Chickadee,04-22,04-30,05-06
Barred Owl,03-07,03-07,03-07
Brewer's Blackbird,05-15,05-21,05-30
Brown Creeper,04-02,04-14,05-07
Brown Thrasher,04-13,04-30,07-17
Broad-winged Hawk,04-08,04-21,05-23
Black-throated Blue Warbler,04-30,05-14,05-21
Black-throated Green Warbler,04-22,05-14,06-12
Bufflehead,03-05,03-31,05-03
Blue-gray Gnatcatcher,04-19,05-07,06-11
Blue-headed Vireo,04-17,05-07,05-21
Blue-winged Teal,03-19,04-14,05-22
Blue-winged Warbler,04-25,05-14,07-05
Cackling Goose,02-20,03-07,03-22
Cape May Warbler,04-27,05-14,05-21
Canada Goose,02-20,04-14,05-25
Canvasback,03-15,03-21,04-03
Canada Warbler,05-05,05-21,06-22
Carolina Wren,04-01,05-07,05-15
Caspian Tern,04-03,04-21,05-30
Western Cattle-Egret,05-03,05-14,05-20
Cedar Waxwing,05-14,05-31,10-26
Cerulean Warbler,05-23,05-31,06-06
Chipping Sparrow,04-07,04-30,10-16
Chimney Swift,04-26,05-14,09-03
Chestnut-sided Warbler,05-01,05-14,05-31
Chukar,05-01,05-07,05-13
Clay-colored Sparrow,05-01,05-31,07-23
Cliff Swallow,04-20,05-21,08-20
Common Gallinule,04-05,05-07,10-06
Common Goldeneye,02-20,03-21,04-02
Common Grackle,02-27,05-14,10-09
Common Loon,03-19,03-31,05-25
Common Merganser,02-21,03-31,04-11
Common Nighthawk,05-07,05-21,06-06
Common Raven,04-14,04-14,04-14
Common Tern,04-29,05-21,08-28
Common Yellowthroat,04-29,05-21,09-29
Connecticut Warbler,05-15,05-21,05-29
Cooper's Hawk,04-07,04-07,04-07
Dark-eyed Junco,03-31,03-31,03-31
Dickcissel,05-15,05-21,05-30
Double-crested Cormorant,03-26,04-21,11-11
Downy Woodpecker,04-30,04-30,04-30
Dunlin,05-04,05-21,05-30
Eastern Bluebird,03-25,05-31,07-21
Eastern Kingbird,05-01,05-21,08-28
Eastern Meadowlark,03-13,04-30,07-31
Eastern Screech-Owl,03-21,03-21,03-21
Eastern Phoebe,03-23,04-07,10-21
Eastern Towhee,04-04,04-30,08-19
Eastern Whip-poor-will,05-01,05-07,05-17
Eastern Wood-Pewee,05-08,05-21,09-16
European Starling,02-22,05-21,07-29
Eurasian Wigeon,04-01,04-07,05-03
Evening Grosbeak,04-30,04-30,04-30
Field Sparrow,04-04,04-30,08-15
Fish Crow,03-17,04-07,04-13
Forster's Tern,04-01,04-07,04-13
Fox Sparrow,03-18,04-07,04-24
Gadwall,02-28,04-07,05-02
Great Black-backed Gull,02-28,02-28,02-28
Glaucous Gull,03-07,03-07,03-07
Green-winged Teal,03-10,04-07,05-04
Golden-crowned Kinglet,03-25,04-07,04-23
Golden Eagle,04-07,04-07,04-07
Golden-winged Warbler,05-23,05-31,06-06
Graylag Goose,03-08,03-14,03-25
Grasshopper Sparrow,04-25,05-21,08-06
Great Blue Heron,03-18,05-31,11-16
Great Crested Flycatcher,04-30,05-21,08-30
Great Egret,03-31,04-07,11-03
Greater Scaup,03-17,03-31,04-21
Greater Yellowlegs,04-03,04-21,05-19
Great Horned Owl,04-14,04-14,04-14
Green Heron,04-21,05-31,09-29
Gray Catbird,04-30,05-14,10-04
Greater White-fronted Goose,03-01,03-07,03-14
Gray-cheeked Thrush,05-06,05-14,05-29
Hairy Woodpecker,05-07,05-14,05-17
Harris's Sparrow,03-07,03-07,03-07
Hermit Thrush,04-05,04-21,05-12
Hooded Merganser,02-24,03-31,04-19
Hooded Warbler,05-01,05-14,05-20
Horned Grebe,03-16,03-31,04-29
Horned Lark,02-17,02-28,03-10
House Finch,03-04,03-07,03-11
House Sparrow,04-19,05-07,08-11
Northern House Wren,04-22,05-14,09-23
Indigo Bunting,05-06,05-31,08-19
Killdeer,03-02,05-21,10-24
Lapland Longspur,03-07,03-07,03-07
Lark Sparrow,05-08,05-14,05-20
Lesser Black-backed Gull,04-07,04-07,04-07
Least Bittern,04-21,05-31,08-06
Least Flycatcher,05-01,05-14,06-18
Least Sandpiper,04-30,05-14,05-29
Lesser Scaup,03-10,04-07,05-03
Lesser Yellowlegs,04-11,05-07,05-26
Lincoln's Sparrow,04-22,05-07,05-21
Long-billed Dowitcher,04-15,04-21,05-05
Long-eared Owl,03-31,03-31,03-31
Long-tailed Duck,03-26,03-31,04-06
Magnolia Warbler,05-01,05-14,05-25
Mallard,02-24,04-07,05-29
Marbled Godwit,05-08,05-14,05-20
Marsh Wren,04-29,05-31,08-30
Merlin,03-09,04-07,05-12
Mountain Bluebird,04-14,04-14,04-14
Mourning Dove,04-02,05-31,09-15
Mourning Warbler,05-09,05-31,07-09
Muscovy Duck,04-30,04-30,04-30
Mute Swan,02-24,03-31,04-20
Nashville Warbler,04-23,05-14,06-06
Northern Cardinal,04-03,04-30,06-08
Northern Flicker,03-28,04-21,10-09
American Goshawk,05-15,05-21,05-27
Northern Harrier,03-22,04-14,04-30
Northern Mockingbird,05-15,05-21,05-26
Northern Parula,04-27,05-14,05-21
Northern Pintail,02-22,03-21,04-14
Northern Shoveler,03-14,04-14,05-05
Northern Shrike,03-14,03-14,03-14
Northern Waterthrush,04-19,05-14,07-08
Northern Rough-winged Swallow,04-11,05-07,07-28
Northern Saw-whet Owl,03-14,03-14,03-14
Olive-sided Flycatcher,05-08,05-21,06-07
Orchard Oriole,05-01,05-21,07-12
Orange-crowned Warbler,05-01,05-14,05-19
Osprey,03-25,04-21,09-21
Ovenbird,04-29,05-14,07-11
Palm Warbler,04-17,04-30,05-18
Pectoral Sandpiper,04-10,04-21,05-05
Peregrine Falcon,03-14,03-14,03-14
Philadelphia Vireo,05-05,05-14,05-28
Pied-billed Grebe,03-16,04-14,11-13
Pileated Woodpecker,03-25,05-14,05-31
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-18,02-28,03-21
Pine Warbler,04-08,04-30,07-20
Prairie Warbler,05-01,05-07,05-13
Prothonotary Warbler,05-15,05-21,05-30
Purple Finch,04-11,05-07,07-28
Purple Martin,04-18,05-31,08-13
Red-breasted Merganser,03-19,03-31,04-13
Red-breasted Nuthatch,04-30,04-30,04-30
Red-bellied Woodpecker,04-20,05-07,05-17
Red Crossbill,03-14,03-14,03-14
Redhead,03-01,03-31,04-22
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-05,05-21,09-19
Red-headed Woodpecker,05-09,05-31,06-13
Red-necked Grebe,03-20,04-14,04-21
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,03-14,03-14,03-14
Red-tailed Hawk,02-28,02-28,02-28
Red-winged Blackbird,02-24,04-30,08-25
Ring-billed Gull,02-25,03-21,12-21
Ring-necked Duck,03-01,03-31,04-30
Rose-breasted Grosbeak,04-27,05-14,08-03
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-22,03-21,03-29
Ruby-throated Hummingbird,05-01,05-21,09-20
Ruby-crowned Kinglet,04-08,04-21,05-14
Ruddy Duck,03-15,04-14,05-06
Ruddy Turnstone,05-15,05-21,05-29
Ruffed Grouse,04-01,05-14,05-29
Rusty Blackbird,03-25,04-30,05-07
Sandhill Crane,02-25,05-21,12-03
Savannah Sparrow,04-06,05-31,08-07
Scarlet Tanager,05-02,05-14,07-02
Sedge Wren,04-27,05-31,07-19
Semipalmated Plover,05-03,05-21,05-31
Semipalmated Sandpiper,05-11,05-21,06-03
Short-billed Dowitcher,05-03,05-14,05-27
Short-eared Owl,03-31,03-31,03-31
Sharp-shinned Hawk,04-13,04-14,04-15
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-03,03-07,03-11
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-18,05-07,05-19
Song Sparrow,03-09,05-14,10-25
Sora,04-06,04-30,05-19
Spotted Sandpiper,04-18,05-14,09-26
Stilt Sandpiper,05-08,05-14,05-20
Summer Tanager,04-22,04-30,05-06
Surf Scoter,04-22,04-30,05-06
Swamp Sparrow,04-07,05-31,10-30
Swainson's Thrush,05-04,05-14,05-22
Tennessee Warbler,05-03,05-14,05-25
Tree Swallow,04-01,05-14,08-07
Trumpeter Swan,02-18,03-14,04-06
Tufted Titmouse,03-07,03-07,03-07
Tundra Swan,02-21,03-07,03-28
