Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-13,05-31,07-04
Alder Flycatcher,05-11,05-21,06-28
American Black Duck,02-28,02-28,02-28
American Avocet,04-15,04-21,04-29
American Bittern,04-07,04-21,05-20
American Crow,02-19,02-28,03-31
American Goldfinch,04-04,05-07,09-26
American Kestrel,03-16,04-07,04-24
American Pipit,04-23,04-30,05-18
American Redstart,05-02,05-14,07-07
American Robin,02-26,05-14,11-09
American Wigeon,03-01,03-14,04-19
American Woodcock,03-06,03-21,05-07
American Herring Gull,03-01,03-07,03-16
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-22,05-31,06-14
Bay-breasted Warbler,05-02,05-14,05-21
Bald Eagle,02-28,02-28,02-28
Baltimore Oriole,04-26,05-14,07-16
Bank Swallow,04-20,05-14,08-13
Barn Swallow,04-14,05-14,09-04
Black-and-white Warbler,04-21,05-07,05-20
Black-crowned Night Heron,05-21,05-21,05-21
Belted Kingfisher,03-27,04-30,11-17
Black-billed Cuckoo,05-09,05-21,07-14
Black-bellied Plover,05-15,05-21,05-29
Blackburnian Warbler,04-29,05-14,05-24
Black-capped Chickadee,04-23,04-30,05-06
Blackpoll Warbler,05-07,05-14,05-30
Black Tern,05-15,05-21,05-29
Blue Jay,04-10,05-07,07-05
Brown-headed Cowbird,03-19,05-07,07-18
Bobolink,04-26,05-31,07-10
Bohemian Waxwing,04-03,04-07,04-10
Bonaparte's Gull,03-11,04-14,04-28
Boreal Owl,02-28,02-28,02-28
Barred Owl,03-04,03-14,03-17
Brewer's Blackbird,04-01,04-07,04-13
Brown Creeper,04-03,04-14,04-22
Brown Thrasher,04-11,04-30,07-07
Broad-winged Hawk,04-08,04-30,05-20
Black-throated Blue Warbler,04-26,05-14,05-21
Black-throated Green Warbler,04-21,05-07,05-23
Budgerigar,04-01,04-07,04-13
Bufflehead,03-03,03-31,04-27
Blue-gray Gnatcatcher,04-17,05-14,07-13
Blue-headed Vireo,04-18,05-07,05-20
Blue-winged Teal,03-17,04-21,05-15
Blue-winged Warbler,04-28,05-07,06-23
Cackling Goose,03-02,03-07,03-14
Cape May Warbler,04-26,05-07,05-20
Canada Goose,02-21,04-14,05-25
Canvasback,03-09,04-07,04-14
Canada Warbler,05-07,05-14,05-29
Carolina Wren,02-28,02-28,02-28
Caspian Tern,04-07,04-21,05-21
Cedar Waxwing,05-07,05-31,11-05
Cerulean Warbler,05-14,05-21,05-29
Chipping Sparrow,04-07,04-30,08-23
Chimney Swift,04-25,05-14,09-05
Chestnut-sided Warbler,05-02,05-14,05-21
Chukar,05-28,05-31,06-03
