Species,Mass Arrival Date,Peak Date,Peak Over Date
Acadian Flycatcher,05-21,05-31,07-02
Alder Flycatcher,05-12,05-31,07-06
American Black Duck,03-11,03-31,04-05
American Bittern,04-04,05-14,06-29
American Crow,02-19,03-07,06-20
American Goldfinch,04-07,05-07,09-21
American Kestrel,03-24,04-07,04-29
American Pipit,04-21,05-07,06-01
American Redstart,05-02,05-14,07-16
American Robin,02-28,05-31,11-08
American Wigeon,03-09,03-31,04-22
American Woodcock,03-08,03-21,06-02
American Golden-Plover,04-01,04-07,04-13
American Herring Gull,03-11,03-21,04-03
American Tree Sparrow,02-28,02-28,02-28
American White Pelican,05-15,05-21,05-30
Bay-breasted Warbler,05-03,05-14,05-23
Bald Eagle,03-07,03-07,03-07
Baltimore Oriole,04-27,05-14,07-14
Bank Swallow,04-23,05-14,08-28
Barnacle Goose,03-03,03-14,03-26
Barn Swallow,04-15,05-21,09-03
Black-and-white Warbler,04-21,05-07,05-22
Black-crowned Night Heron,03-18,04-14,10-13
Belted Kingfisher,03-25,04-30,10-21
Black-billed Cuckoo,05-08,05-31,07-30
Black-bellied Plover,05-09,05-21,05-31
Blackburnian Warbler,04-25,05-14,05-25
Black-capped Chickadee,04-30,04-30,04-30
Black-legged Kittiwake,04-22,04-30,05-07
Blackpoll Warbler,05-05,05-14,06-01
Black Scoter,04-01,04-07,04-13
Black Tern,05-05,05-21,08-05
Blue Jay,04-19,05-07,11-21
Brown-headed Cowbird,03-19,04-30,07-21
Bobolink,04-29,05-31,07-11
Bohemian Waxwing,03-16,03-21,04-10
Bonaparte's Gull,03-27,04-30,05-11
Brant,05-22,05-31,06-06
Barred Owl,03-07,03-07,03-07
Brown Creeper,03-26,04-07,05-04
Brown Thrasher,04-11,04-30,07-25
Broad-winged Hawk,04-09,04-21,09-28
Black-throated Blue Warbler,04-24,05-14,05-26
Black-throated Green Warbler,04-21,05-14,07-09
Bufflehead,03-10,03-31,05-04
Blue-gray Gnatcatcher,04-21,05-07,08-07
Blue-headed Vireo,04-18,04-30,05-26
Blue-winged Teal,03-21,04-21,05-31
Blue-winged Warbler,05-01,05-21,07-09
Cackling Goose,03-04,03-21,04-05
Cape May Warbler,04-26,05-14,05-20
Canada Goose,02-22,03-21,05-30
Canvasback,03-18,03-31,04-09
Canada Warbler,05-07,05-14,05-30
Carolina Wren,02-26,03-07,03-11
Caspian Tern,04-09,04-21,06-07
Western Cattle-Egret,05-15,05-31,06-06
Cedar Waxwing,05-09,05-31,10-28
Cerulean Warbler,05-21,05-31,06-06
Chipping Sparrow,04-07,04-30,09-13
Chimney Swift,05-01,05-21,09-05
